MJD	mag	err_1sigma
55051.5	17.78	0.12
55061.5	17.52	0.09
55812.5	17.77	0.05
55816.5	17.84	0.10
55817.4	17.93	0.09
55818.4	17.76	0.10
55820.4	17.72	0.06
55822.5	17.70	0.09
55824.5	17.79	0.05
55826.5	17.74	0.06
55830.5	17.72	0.06
55832.5	17.83	0.06
55836.5	17.83	0.05
55842.4	17.94	0.07
55843.4	17.85	0.07
55844.4	17.88	0.07
55851.5	17.74	0.06
55852.5	17.89	0.08
55853.5	17.84	0.06
55854.4	17.78	0.06
55855.5	17.90	0.06
55856.5	17.91	0.06
55857.5	17.90	0.08
55858.5	17.89	0.06
55859.5	17.89	0.06
55860.5	17.91	0.06
55862.4	17.86	0.07
55864.5	17.88	0.06
55866.5	17.90	0.06
55868.4	17.80	0.03
55873.3	17.76	0.06
55880.4	17.92	0.05
55882.4	17.91	0.08
55882.4	17.91	0.08
55888.4	17.90	0.09
55894.4	17.73	0.05
55898.3	17.96	0.06
55901.3	17.79	0.08
55902.2	17.99	0.10
55912.3	17.81	0.09
55914.3	17.83	0.06
55916.2	17.91	0.05
55918.3	17.92	0.05
55935.2	17.72	0.08
55944.2	18.10	0.31
55951.1	18.00	0.15
55955.1	17.85	0.07
55962.2	17.93	0.07
55983.2	17.80	0.23
56166.5	18.01	0.09
56168.5	18.13	0.07
56169.5	17.97	0.08
56170.5	18.03	0.06
56173.5	18.19	0.08
56174.5	18.00	0.08
56177.5	18.27	0.17
56178.5	18.09	0.09
56179.5	18.16	0.11
56182.5	18.07	0.07
56184.5	18.10	0.09
56189.5	18.14	0.08
56190.5	18.08	0.05
56191.4	18.05	0.07
56194.5	18.09	0.06
56198.4	18.04	0.08
56200.5	18.12	0.13
56201.5	18.12	0.16
56203.4	18.09	0.08
56207.4	17.99	0.08
56208.5	18.02	0.08
56214.5	17.98	0.04
56215.4	18.00	0.07
56218.5	18.01	0.07
56219.4	18.16	0.09
56220.4	18.12	0.06
56224.5	18.11	0.17
56228.3	17.98	0.11
56309.1	18.24	0.11
56312.1	17.99	0.09
56527.5	18.25	0.08
56533.5	18.18	0.12
56535.5	18.13	0.15
56540.5	18.15	0.09
56547.5	18.19	0.10
56548.5	18.13	0.10
56549.5	18.15	0.06
56552.4	18.28	0.16
56554.4	18.19	0.16
56558.4	18.20	0.09
56561.4	18.19	0.13
56563.5	18.27	0.09
56567.4	18.44	0.13
56570.5	18.20	0.07
56571.4	18.12	0.11
56573.4	18.28	0.07
56579.4	18.08	0.09
56581.4	18.36	0.14
56583.4	18.44	0.13
56588.4	18.36	0.07
56590.5	18.16	0.21
56592.4	18.12	0.07
56598.4	18.29	0.07
56601.4	18.18	0.10
56603.4	18.54	0.37
56605.5	18.06	0.08
56610.2	18.16	0.14
56612.3	18.27	0.14
56620.4	18.17	0.09
56625.3	18.47	0.11
56627.3	18.35	0.13
56636.3	18.27	0.10
56639.2	18.33	0.11
56668.2	18.07	0.13
56679.2	18.21	0.08
56682.2	18.29	0.08
56883.5	18.54	0.22
56893.4	18.42	0.06
56893.5	18.49	0.08
56895.5	18.40	0.05
56896.5	18.47	0.05
56898.5	18.44	0.05
56903.5	18.54	0.10
