JD,Filter,mag,magunc
2457403.07,ATLAS-c,20.26,-99.0
2457404.08,ATLAS-c,20.13,-99.0
2457421.09,ATLAS-c,20.17,-99.0
2457428.07,ATLAS-c,20.26,-99.0
2457433.05,ATLAS-c,20.07,-99.0
2457479.94,ATLAS-c,20.04,-99.0
2457483.91,ATLAS-c,20.13,-99.0
2457487.9,ATLAS-c,20.2,-99.0
2457489.9,ATLAS-c,20.17,-99.0
2457758.09,ATLAS-c,20.06,-99.0
2457778.07,ATLAS-c,20.21,-99.0
2457782.05,ATLAS-c,20.12,-99.0
2457817.91,ATLAS-c,20.08,-99.0
2457893.85,ATLAS-c,20.35,-99.0
2457901.84,ATLAS-c,20.29,-99.0
2457924.8,ATLAS-o,20.12,-99.0
2457926.8,ATLAS-o,20.02,-99.0
2457928.79,ATLAS-o,20.34,-99.0
2458102.14,ATLAS-o,20.15,-99.0
2458110.13,ATLAS-o,20.46,-99.0
2458114.1,ATLAS-o,20.19,-99.0
2458128.08,ATLAS-o,20.29,-99.0
2458132.14,ATLAS-o,20.45,-99.0
2458136.13,ATLAS-c,20.76,-99.0
2458138.1,ATLAS-o,20.14,-99.0
2458140.1,ATLAS-o,20.18,-99.0
2458148.15,ATLAS-o,20.25,-99.0
2458168.06,ATLAS-c,20.52,-99.0
2458221.94,ATLAS-o,20.14,-99.0
2458231.88,ATLAS-o,20.45,0.32
2458251.88,ATLAS-c,20.55,-99.0
2458253.86,ATLAS-o,20.04,-99.0
2458255.87,ATLAS-c,20.33,-99.0
2458257.83,ATLAS-o,20.31,0.33
2458271.81,ATLAS-o,20.25,-99.0
2458275.78,ATLAS-o,20.14,-99.0
2458279.83,ATLAS-c,20.44,-99.0
2458303.81,ATLAS-o,20.09,-99.0
2458307.78,ATLAS-c,20.32,-99.0
2458436.026,ZTF_r,19.99,0.27
2458460.13,ATLAS-c,20.14,-99.0
2458462.14,ATLAS-o,20.08,-99.0
2458466.13,ATLAS-o,20.21,-99.0
2458470.13,ATLAS-o,20.63,0.32
2458484.09,ATLAS-o,20.21,-99.0
2458486.08,ATLAS-o,20.18,-99.0
2458488.1,ATLAS-c,20.46,-99.0
2458490.08,ATLAS-o,20.3,-99.0
2458492.09,ATLAS-c,20.68,-99.0
2458494.06,ATLAS-o,20.21,-99.0
2458496.07,ATLAS-o,20.77,-99.0
2458498.06,ATLAS-o,20.23,-99.0
2458500.02,ATLAS-o,20.23,-99.0
2458520.04,ATLAS-c,20.65,-99.0
2458545.98,ATLAS-o,20.54,-99.0
2458565.93,ATLAS-o,19.85,0.26
2458571.91,ATLAS-o,20.38,-99.0
2458573.92,ATLAS-o,20.02,-99.0
2458575.92,ATLAS-c,20.29,-99.0
2458577.91,ATLAS-o,20.14,-99.0
2458579.93,ATLAS-c,20.41,-99.0
2458583.89,ATLAS-c,20.03,-99.0
2458595.89,ATLAS-o,20.25,-99.0
2458597.88,ATLAS-o,20.19,-99.0
2458599.88,ATLAS-o,20.49,-99.0
2458603.89,ATLAS-c,20.72,0.28
2458605.86,ATLAS-o,20.1,-99.0
2458607.88,ATLAS-c,20.54,0.26
2458609.85,ATLAS-o,20.1,-99.0
2458611.85,ATLAS-c,20.58,-99.0
2458625.82,ATLAS-o,20.17,-99.0
2458627.81,ATLAS-o,20.91,0.35
2458629.78,ATLAS-o,20.45,-99.0
2458631.77,ATLAS-o,20.24,0.26
