JD,Filter,mag,magunc
2457608.08,ATLAS-c,20.1,-99.0
2457631.03,ATLAS-c,20.07,-99.0
2457639.01,ATLAS-c,20.13,-99.0
2457670.95,ATLAS-o,20.12,-99.0
2457716.88,ATLAS-c,20.1,-99.0
2457959.11,ATLAS-o,20.41,-99.0
2457967.1,ATLAS-o,20.7,-99.0
2457969.08,ATLAS-o,20.14,-99.0
2457980.08,ATLAS-o,20.19,-99.0
2457982.05,ATLAS-o,20.23,-99.0
2457986.05,ATLAS-o,20.23,-99.0
2457988.05,ATLAS-c,20.29,-99.0
2457992.08,ATLAS-c,20.59,-99.0
2457998.01,ATLAS-o,20.08,-99.0
2458008.02,ATLAS-o,20.28,-99.0
2458009.99,ATLAS-o,20.16,-99.0
2458018.95,ATLAS-c,20.8,-99.0
2458019.98,ATLAS-c,20.76,-99.0
2458021.96,ATLAS-o,20.14,-99.0
2458023.98,ATLAS-o,20.32,-99.0
2458027.96,ATLAS-o,20.25,-99.0
2458028.92,ATLAS-o,20.14,0.35
2458054.88,ATLAS-o,20.19,-99.0
2458066.87,ATLAS-o,20.21,-99.0
2458071.88,ATLAS-c,20.36,-99.0
2458074.86,ATLAS-c,20.46,-99.0
2458075.87,ATLAS-c,20.62,-99.0
2458079.88,ATLAS-c,20.6,-99.0
2458081.84,ATLAS-o,20.06,-99.0
2458099.81,ATLAS-o,20.1,-99.0
2458111.85,ATLAS-o,20.1,-99.0
2458123.74,ATLAS-o,20.2,-99.0
2458125.73,ATLAS-o,20.17,-99.0
2458135.79,ATLAS-c,20.28,-99.0
2458352.1,ATLAS-o,20.65,-99.0
2458368.06,ATLAS-o,20.38,-99.0
2458372.04,ATLAS-o,20.38,-99.0
2458376.06,ATLAS-c,20.47,-99.0
2458380.02,ATLAS-o,20.41,-99.0
2458396.01,ATLAS-c,20.33,-99.0
2458397.792,ZTF_r,20.45,0.12
2458397.829,ZTF_i,20.55,0.24
2458397.844,ZTF_g,20.61,0.15
2458397.98,ATLAS-o,20.41,0.18
2458401.99,ATLAS-o,20.15,0.3
2458403.99,ATLAS-c,20.48,0.31
2458407.96,ATLAS-o,19.8,0.17
2458409.95,ATLAS-o,19.31,0.11
2458423.757,ZTF_i,19.73,0.13
2458423.92,ATLAS-o,19.63,0.12
2458424.703,ZTF_g,20.18,0.19
2458424.763,ZTF_r,19.97,0.19
2458425.694,ZTF_g,20.33,0.14
2458425.727,ZTF_r,19.57,0.21
2458427.93,ATLAS-c,20.15,0.18
2458428.714,ZTF_g,20.37,0.12
2458428.735,ZTF_r,19.82,0.09
2458428.77,ZTF_r,19.83,0.09
2458429.749,ZTF_g,20.61,0.12
2458430.764,ZTF_g,20.81,0.15
2458431.693,ZTF_r,20.05,0.17
2458432.745,ZTF_g,20.69,0.15
2458434.651,ZTF_g,20.73,0.22
2458434.694,ZTF_r,20.02,0.12
2458437.735,ZTF_g,20.57,0.2
2458437.737,ZTF_g,20.55,0.21
2458437.773,ZTF_r,20.53,0.22
2458437.778,ZTF_r,20.52,0.2
2458451.86,ATLAS-o,20.14,0.2
2458453.85,ATLAS-o,20.17,0.33
2458455.85,ATLAS-c,21.02,0.3
2458456.669,ZTF_r,20.81,0.29
2458456.683,ZTF_r,20.87,0.26
2458459.85,ATLAS-c,21.07,0.34
2458464.77,ZTF_r,20.69,0.27
2458479.8,ATLAS-o,20.02,-99.0
2458485.76,ATLAS-o,20.08,-99.0
2458487.599,ZTF_r,20.96,0.22
2458487.8,ATLAS-c,20.19,-99.0
2458491.8,ATLAS-c,20.33,-99.0
2458519.75,ATLAS-c,20.21,-99.0
2458666.07,ATLAS-o,20.14,-99.0
2458672.0,ATLAS-o,20.02,-99.0
2458694.04,ATLAS-o,20.3,-99.0
2458703.95,ATLAS-c,20.65,-99.0
2458708.04,ATLAS-c,20.12,-99.0
2458719.99,ATLAS-o,20.74,-99.0
2458721.92,ATLAS-o,20.46,-99.0
2458723.93,ATLAS-c,20.34,-99.0
2458727.95,ATLAS-c,20.49,-99.0
