JD,Filter,mag,magunc
2457470.96,ATLAS-o,inf,-99.0
2457871.01,ATLAS-c,20.24,-99.0
2457894.91,ATLAS-c,20.15,-99.0
2457898.9,ATLAS-c,20.06,-99.0
2457902.9,ATLAS-c,20.19,-99.0
2457927.83,ATLAS-o,20.0,-99.0
2458195.05,ATLAS-c,20.23,-99.0
2458256.93,ATLAS-c,20.12,-99.0
2458263.776,ZTF_g,21.62,-99.0
2458282.88,ATLAS-o,20.23,-99.0
2458503.055,ZTF_r,20.64,0.2
2458506.055,ZTF_r,19.68,0.18
2458507.16,ATLAS-o,19.1,0.2
2458509.008,ZTF_r,18.9,0.07
2458509.14,ATLAS-o,18.63,0.07
2458509.978,ZTF_r,18.8,0.06
2458511.13,ATLAS-o,18.15,0.05
2458511.987,ZTF_g,19.45,0.06
2458512.031,ZTF_r,18.04,0.04
2458513.963,ZTF_r,17.57,0.04
2458515.13,ATLAS-o,17.16,0.02
2458519.1,ATLAS-o,16.72,0.02
2458521.16,ATLAS-c,17.36,0.02
2458522.988,ZTF_g,17.84,0.02
2458523.13,ATLAS-o,16.47,0.02
2458526.952,ZTF_g,17.82,0.02
2458531.1,ATLAS-o,16.47,0.02
2458534.891,ZTF_r,16.71,0.02
2458534.903,ZTF_r,16.69,0.02
2458534.923,ZTF_r,16.66,0.02
2458534.955,ZTF_r,16.66,0.02
2458534.956,ZTF_r,16.65,0.02
2458538.841,ZTF_r,16.51,0.04
2458538.869,ZTF_r,16.6,0.03
2458538.893,ZTF_i,16.13,0.03
2458538.904,ZTF_g,17.85,0.09
2458538.926,ZTF_g,17.84,0.08
2458538.927,ZTF_g,17.71,0.08
2458538.954,ZTF_g,17.79,0.05
2458538.99,ZTF_r,16.66,0.01
2458539.09,ATLAS-o,16.52,0.02
2458539.789,ZTF_g,17.8,0.02
2458539.828,ZTF_r,16.55,0.02
2458539.845,ZTF_r,16.65,0.01
2458539.869,ZTF_r,16.63,0.01
2458539.889,ZTF_g,17.71,0.03
2458539.904,ZTF_g,17.8,0.03
2458540.791,ZTF_r,16.64,0.02
2458540.8,ZTF_r,16.67,0.01
2458540.82,ZTF_r,16.56,0.03
2458540.847,ZTF_r,16.8,0.01
2458540.875,ZTF_g,17.98,0.02
2458540.898,ZTF_g,17.89,0.02
2458541.998,ZTF_r,16.72,0.01
2458541.998,ZTF_r,16.74,0.01
2458542.021,ZTF_r,16.69,0.01
2458543.1,ATLAS-o,16.57,0.01
2458543.799,ZTF_g,17.88,0.03
2458543.871,ZTF_r,16.73,0.01
2458543.908,ZTF_i,16.49,0.21
2458543.955,ZTF_r,16.65,0.02
2458543.986,ZTF_g,17.82,0.04
2458547.1,ATLAS-o,16.61,0.01
2458547.83,ZTF_g,17.95,0.02
2458547.889,ZTF_g,17.93,0.02
2458547.923,ZTF_i,16.3,0.01
2458547.97,ZTF_r,16.83,0.01
2458547.987,ZTF_r,16.81,0.01
2458551.07,ATLAS-o,16.63,0.01
2458555.04,ATLAS-o,16.69,0.01
2458556.884,ZTF_g,18.27,0.04
2458556.885,ZTF_g,18.22,0.03
2458556.908,ZTF_i,16.4,0.01
2458556.922,ZTF_r,16.93,0.01
2458556.923,ZTF_r,16.9,0.01
2458556.957,ZTF_g,18.23,0.03
2458556.962,ZTF_g,18.17,0.03
2458557.889,ZTF_r,16.94,0.02
2458557.902,ZTF_r,16.9,0.01
2458557.93,ZTF_r,16.94,0.01
2458557.945,ZTF_g,18.29,0.03
2458558.739,ZTF_r,16.95,0.02
2458558.815,ZTF_r,16.9,0.01
2458558.852,ZTF_r,16.92,0.01
2458558.86,ZTF_r,16.91,0.01
2458558.908,ZTF_g,18.31,0.03
2458558.926,ZTF_g,18.31,0.03
2458559.06,ATLAS-o,16.74,0.01
2458559.786,ZTF_r,16.9,0.01
2458559.82,ZTF_g,18.29,0.04
2458559.846,ZTF_g,18.37,0.04
2458559.847,ZTF_g,18.37,0.04
2458560.738,ZTF_g,18.28,0.05
2458560.757,ZTF_g,18.29,0.05
2458560.786,ZTF_g,18.35,0.05
2458560.808,ZTF_i,16.43,0.01
2458560.855,ZTF_r,16.9,0.01
2458560.863,ZTF_r,16.9,0.01
2458560.887,ZTF_r,16.93,0.01
2458561.773,ZTF_g,18.55,0.11
2458561.797,ZTF_g,18.38,0.07
2458561.83,ZTF_g,18.4,0.06
2458561.848,ZTF_r,16.88,0.01
