JD,Filter,mag,magunc
2457747.91,ATLAS-c,20.2,-99.0
2457779.84,ATLAS-c,20.09,-99.0
2457783.84,ATLAS-c,20.12,-99.0
2457807.81,ATLAS-c,20.22,-99.0
2458012.09,ATLAS-o,20.0,-99.0
2458014.09,ATLAS-c,20.58,-99.0
2458018.11,ATLAS-c,20.52,-99.0
2458022.11,ATLAS-c,20.62,-99.0
2458024.06,ATLAS-o,20.0,-99.0
2458055.99,ATLAS-o,20.0,-99.0
2458073.96,ATLAS-c,20.25,-99.0
2458081.93,ATLAS-c,20.41,-99.0
2458097.92,ATLAS-o,20.3,-99.0
2458109.88,ATLAS-c,19.41,0.14
2458127.87,ATLAS-o,20.08,-99.0
2458135.86,ATLAS-o,20.02,-99.0
2458158.81,ATLAS-o,20.02,-99.0
2458161.82,ATLAS-c,20.3,-99.0
2458183.76,ATLAS-o,20.0,-99.0
2458193.75,ATLAS-c,20.3,-99.0
2458402.03,ATLAS-c,20.62,-99.0
2458406.12,ATLAS-c,20.38,-99.0
2458430.06,ATLAS-c,20.19,-99.0
2458455.95,ATLAS-o,20.1,-99.0
2458465.95,ATLAS-o,20.55,-99.0
2458485.91,ATLAS-c,20.46,-99.0
2458491.87,ATLAS-o,20.37,-99.0
2458493.87,ATLAS-c,20.49,-99.0
2458495.88,ATLAS-o,20.0,-99.0
2458515.81,ATLAS-o,20.08,-99.0
2458565.76,ATLAS-o,20.45,-99.0
2458724.1,ATLAS-o,20.36,-99.0
2458730.13,ATLAS-c,20.25,-99.0
2458752.05,ATLAS-o,20.35,-99.0
2458756.1,ATLAS-o,20.21,-99.0
2458760.96,ZTF_g,20.55,0.28
2458761.004,ZTF_r,20.15,0.24
2458762.1,ATLAS-c,20.19,0.23
2458764.939,ZTF_r,19.94,0.11
2458765.003,ZTF_g,20.68,0.22
2458766.08,ATLAS-c,20.26,0.28
2458768.004,ZTF_r,20.2,0.24
2458780.03,ATLAS-o,20.56,0.36
2458786.07,ATLAS-c,20.72,0.29
2458787.99,ATLAS-o,20.79,0.35
2458790.0,ATLAS-c,20.43,-99.0
2458807.98,ATLAS-o,20.02,-99.0
2458812.02,ATLAS-o,20.33,-99.0
2458814.05,ATLAS-c,20.55,-99.0
2458815.94,ATLAS-o,20.89,0.34
2458821.95,ATLAS-o,20.58,0.24
2458841.9,ATLAS-c,20.52,-99.0
2458845.95,ATLAS-c,20.21,-99.0
2458867.82,ATLAS-o,20.15,-99.0
2458869.84,ATLAS-c,20.36,-99.0
2458871.87,ATLAS-o,20.16,-99.0
2458873.88,ATLAS-c,20.18,-99.0
2458875.84,ATLAS-o,20.23,-99.0
2458903.81,ATLAS-o,20.12,-99.0
2458905.77,ATLAS-c,20.43,-99.0
2458919.75,ATLAS-o,20.23,-99.0
2459102.07,ATLAS-o,20.1,-99.0
2459104.09,ATLAS-o,20.1,-99.0
2459106.11,ATLAS-o,20.25,-99.0
2459108.11,ATLAS-o,20.33,-99.0
2459110.09,ATLAS-c,20.36,-99.0
2459114.05,ATLAS-c,20.21,-99.0
2459116.05,ATLAS-o,20.28,-99.0
2459118.07,ATLAS-c,20.38,-99.0
2459120.03,ATLAS-o,20.23,-99.0
2459132.07,ATLAS-o,20.28,-99.0
2459138.01,ATLAS-c,20.32,-99.0
2459142.0,ATLAS-c,20.25,-99.0
2459146.01,ATLAS-c,20.46,-99.0
2459147.98,ATLAS-o,20.49,-99.0
2459169.94,ATLAS-c,20.55,-99.0
2459173.94,ATLAS-c,20.36,-99.0
2459189.93,ATLAS-o,20.16,-99.0
2459191.9,ATLAS-o,20.35,-99.0
2459193.92,ATLAS-c,20.62,-99.0
2459195.91,ATLAS-c,20.65,-99.0
2459197.96,ATLAS-c,20.38,-99.0
2459204.89,ATLAS-o,20.15,-99.0
2459205.91,ATLAS-o,20.08,-99.0
2459207.9,ATLAS-o,20.08,-99.0
2459219.85,ATLAS-c,20.72,-99.0
2459221.84,ATLAS-c,20.62,-99.0
2459227.87,ATLAS-c,20.55,-99.0
2459229.84,ATLAS-c,20.32,-99.0
2459231.86,ATLAS-c,20.41,-99.0
2459247.86,ATLAS-o,20.16,-99.0
2459248.83,ATLAS-c,20.29,-99.0
2459251.84,ATLAS-c,20.38,-99.0
2459253.86,ATLAS-c,20.25,-99.0
2459255.8,ATLAS-c,20.36,-99.0
2459257.79,ATLAS-c,20.25,-99.0
2459259.85,ATLAS-c,20.32,-99.0
2459275.78,ATLAS-o,20.14,-99.0
2459277.79,ATLAS-c,20.11,-99.0
2459442.11,ATLAS-o,20.08,-99.0
2459458.1,ATLAS-o,20.28,-99.0
2459462.08,ATLAS-c,20.28,-99.0
2459486.07,ATLAS-o,20.04,-99.0
2459490.05,ATLAS-o,20.25,-99.0
2459494.05,ATLAS-o,20.46,-99.0
2459502.04,ATLAS-o,20.21,-99.0
2459518.05,ATLAS-o,20.02,-99.0
2459519.98,ATLAS-o,20.1,-99.0
2459523.98,ATLAS-o,20.02,-99.0
2459526.04,ATLAS-c,20.28,-99.0
2459529.96,ATLAS-c,20.27,-99.0
2459551.97,ATLAS-o,20.02,-99.0
2459589.88,ATLAS-o,20.04,-99.0
2459603.85,ATLAS-o,20.02,-99.0
