JD,Filter,mag,magunc
2457995.06,ATLAS-o,20.41,-99.0
2457999.03,ATLAS-o,20.02,-99.0
2458010.99,ATLAS-o,20.28,-99.0
2458018.97,ATLAS-c,20.41,-99.0
2458022.96,ATLAS-o,20.23,-99.0
2458054.91,ATLAS-o,20.3,-99.0
2458066.9,ATLAS-o,20.14,-99.0
2458070.89,ATLAS-o,20.3,-99.0
2458072.88,ATLAS-o,20.02,-99.0
2458074.89,ATLAS-c,20.43,-99.0
2458078.88,ATLAS-c,20.41,-99.0
2458110.82,ATLAS-c,20.58,-99.0
2458111.89,ATLAS-o,20.12,-99.0
2458130.8,ATLAS-o,20.23,-99.0
2458134.82,ATLAS-c,20.21,-99.0
2458162.76,ATLAS-c,20.11,-99.0
2458371.1,ATLAS-o,20.14,-99.0
2458379.07,ATLAS-o,20.12,-99.0
2458395.03,ATLAS-o,20.05,-99.0
2458407.0,ATLAS-o,20.35,-99.0
2458430.97,ATLAS-c,20.35,-99.0
2458434.95,ATLAS-c,20.38,-99.0
2458454.9,ATLAS-c,20.33,-99.0
2458458.87,ATLAS-c,20.41,-99.0
2458462.87,ATLAS-c,20.18,-99.0
2458486.83,ATLAS-c,20.28,-99.0
2458490.82,ATLAS-c,20.05,-99.0
2458518.78,ATLAS-c,20.19,-99.0
2458703.08,ATLAS-c,20.18,-99.0
2458725.09,ATLAS-o,20.49,-99.0
2458727.03,ATLAS-c,20.49,-99.0
2458731.03,ATLAS-c,20.38,-99.0
2458737.01,ATLAS-o,20.02,-99.0
2458751.03,ATLAS-c,20.35,-99.0
2458753.08,ATLAS-o,20.41,-99.0
2458756.9,ATLAS-o,20.23,-99.0
2458762.9,ATLAS-o,20.08,-99.0
2458763.98,ATLAS-c,20.18,-99.0
2458764.94,ATLAS-o,20.1,-99.0
2458780.92,ATLAS-o,20.35,-99.0
2458784.92,ATLAS-o,20.28,-99.0
2458790.86,ATLAS-o,19.64,0.14
2458791.793,ZTF_g,19.03,0.04
2458791.81,ATLAS-o,18.21,0.04
2458791.84,ZTF_r,18.19,0.03
2458792.91,ATLAS-o,17.8,0.03
2458794.797,ZTF_r,17.52,0.02
2458794.98,ATLAS-o,17.59,0.04
2458800.713,ZTF_g,17.63,0.06
2458800.97,ATLAS-o,17.47,0.04
2458801.784,ZTF_r,17.42,0.04
2458801.8,ATLAS-o,17.53,0.03
2458802.96,ATLAS-o,17.72,0.13
2458803.706,ZTF_g,17.65,0.04
2458803.789,ZTF_r,17.46,0.02
2458803.79,ZTF_r,17.49,0.02
2458803.79,ZTF_r,17.51,0.02
2458806.693,ZTF_g,17.84,0.02
2458806.749,ZTF_r,17.56,0.02
2458808.89,ATLAS-o,17.83,0.03
2458811.664,ZTF_r,17.87,0.02
2458811.71,ZTF_g,18.15,0.04
2458812.723,ZTF_r,17.85,0.02
2458812.724,ZTF_r,17.93,0.02
2458812.724,ZTF_r,17.9,0.02
2458812.85,ATLAS-o,17.95,0.03
2458813.686,ZTF_g,18.28,0.04
2458814.689,ZTF_r,17.9,0.06
2458814.732,ZTF_g,18.29,0.04
2458814.87,ATLAS-c,18.12,0.07
2458816.87,ATLAS-o,18.06,0.03
2458818.9,ATLAS-c,17.79,0.18
2458819.649,ZTF_r,18.08,0.03
2458819.689,ZTF_g,18.57,0.1
2458820.91,ATLAS-o,18.17,0.03
2458822.81,ATLAS-o,18.29,0.12
2458828.625,ZTF_g,19.0,0.22
2458828.85,ATLAS-o,18.58,0.12
2458829.89,ATLAS-o,18.67,0.11
2458830.706,ZTF_g,19.26,0.13
2458830.707,ZTF_g,19.29,0.13
2458830.707,ZTF_g,19.16,0.11
2458830.83,ATLAS-o,18.47,0.12
2458831.604,ZTF_r,18.63,0.05
2458831.623,ZTF_g,19.33,0.11
2458832.86,ATLAS-o,18.74,0.17
2458835.602,ZTF_r,18.32,0.25
2458836.82,ATLAS-o,18.79,0.07
