JD,Filter,mag,magunc
2457819.07,ATLAS-o,18.71,0.25
2457927.79,ATLAS-o,20.25,-99.0
2458101.14,ATLAS-o,19.95,0.34
2458105.14,ATLAS-o,19.45,0.19
2458131.08,ATLAS-o,20.28,-99.0
2458248.91,ATLAS-o,20.03,-99.0
2458254.9,ATLAS-c,20.2,-99.0
2458286.84,ATLAS-c,20.08,-99.0
2458432.049,ZTF_r,19.18,0.18
2458442.002,ZTF_g,20.33,0.21
2458442.056,ZTF_r,19.19,0.24
2458447.997,ZTF_r,20.1,0.29
2458487.12,ATLAS-c,20.28,-99.0
2458493.991,ZTF_r,21.06,0.27
2458494.939,ZTF_r,20.65,0.2
2458499.07,ATLAS-o,20.04,-99.0
2458519.06,ATLAS-c,20.38,-99.0
2458556.98,ATLAS-o,20.09,-99.0
2458570.96,ATLAS-o,20.0,-99.0
2458578.95,ATLAS-c,20.25,-99.0
2458582.94,ATLAS-c,20.19,-99.0
2458600.9,ATLAS-o,20.11,-99.0
2458610.91,ATLAS-c,20.05,-99.0
2458626.86,ATLAS-o,20.16,-99.0
2458630.81,ATLAS-o,20.11,-99.0
2458634.81,ATLAS-c,20.15,-99.0
2458642.81,ATLAS-c,20.08,-99.0
2458666.77,ATLAS-c,20.12,-99.0
2458790.032,ZTF_r,20.02,0.27
2458790.041,ZTF_r,19.77,0.22
2458792.035,ZTF_r,19.77,0.2
2458792.045,ZTF_r,20.03,0.27
2458794.037,ZTF_r,19.45,0.15
2458794.041,ZTF_r,19.51,0.16
2458794.046,ZTF_r,19.92,0.25
2458794.051,ZTF_r,19.66,0.28
2458796.038,ZTF_r,19.62,0.16
2458796.043,ZTF_r,19.76,0.22
2458796.048,ZTF_r,19.94,0.26
2458796.053,ZTF_r,19.6,0.23
2458801.041,ZTF_r,19.28,0.12
2458813.09,ATLAS-o,19.36,0.14
2458815.014,ZTF_g,20.12,0.27
2458815.15,ATLAS-c,20.03,0.2
2458817.16,ATLAS-o,19.21,0.29
2458821.11,ATLAS-o,18.92,0.08
2458825.13,ATLAS-o,18.9,0.08
2458827.13,ATLAS-o,18.74,0.06
2458829.046,ZTF_g,19.84,0.23
2458829.08,ATLAS-o,18.62,0.19
2458831.944,ZTF_r,18.51,0.11
2458832.047,ZTF_g,19.61,0.17
2458833.13,ATLAS-o,18.63,0.36
2458838.999,ZTF_g,19.2,0.14
2458839.017,ZTF_r,18.34,0.08
2458845.14,ATLAS-o,18.49,0.07
2458847.06,ATLAS-c,19.1,0.09
2458850.984,ZTF_r,18.54,0.05
2458851.14,ATLAS-o,18.51,0.05
2458853.09,ATLAS-o,18.48,0.07
2458854.002,ZTF_g,19.41,0.05
2458854.046,ZTF_r,18.34,0.03
2458857.039,ZTF_g,19.38,0.07
2458860.877,ZTF_r,18.45,0.09
2458867.11,ATLAS-o,18.63,0.05
2458869.06,ATLAS-o,18.62,0.11
2458871.981,ZTF_r,18.64,0.05
2458873.1,ATLAS-o,18.68,0.06
2458873.899,ZTF_g,19.73,0.08
2458874.007,ZTF_r,18.68,0.04
2458875.1,ATLAS-c,19.71,0.13
2458876.85,ZTF_r,18.79,0.04
2458877.007,ZTF_g,19.9,0.09
2458877.07,ATLAS-o,18.96,0.07
2458879.01,ATLAS-c,19.76,0.2
2458879.963,ZTF_g,19.93,0.15
2458881.09,ATLAS-o,19.15,0.13
2458883.04,ATLAS-c,20.01,0.23
2458883.96,ZTF_g,20.13,0.16
2458884.002,ZTF_r,19.15,0.09
2458885.0,ATLAS-o,18.91,0.1
2458887.923,ZTF_g,19.49,0.14
2458889.06,ATLAS-o,18.74,0.23
2458892.833,ZTF_r,18.59,0.06
2458892.88,ZTF_g,19.39,0.12
2458895.882,ZTF_g,19.58,0.07
2458895.937,ZTF_r,18.56,0.03
2458899.835,ZTF_r,18.7,0.03
2458899.877,ZTF_g,19.81,0.07
2458901.08,ATLAS-o,18.92,0.07
2458901.881,ZTF_r,18.95,0.06
2458902.93,ATLAS-c,19.82,0.16
2458903.856,ZTF_g,19.9,0.09
2458903.877,ZTF_r,18.78,0.04
2458905.0,ATLAS-o,19.06,0.1
2458905.812,ZTF_g,20.06,0.15
2458906.855,ZTF_g,19.88,0.11
2458906.945,ZTF_r,18.81,0.05
2458908.835,ZTF_g,19.76,0.09
2458909.776,ZTF_g,20.07,0.2
