JD,Filter,mag,magunc
2457668.93,ATLAS-c,20.17,-99.0
2457686.88,ATLAS-c,20.0,-99.0
2457690.88,ATLAS-c,20.02,-99.0
2457964.11,ATLAS-o,20.18,-99.0
2457966.09,ATLAS-o,20.23,-99.0
2457968.09,ATLAS-o,20.18,-99.0
2457977.08,ATLAS-o,20.04,-99.0
2457981.06,ATLAS-o,20.23,-99.0
2457989.05,ATLAS-c,20.55,-99.0
2457993.04,ATLAS-o,20.41,-99.0
2457997.06,ATLAS-o,20.38,-99.0
2458012.98,ATLAS-c,20.55,-99.0
2458036.98,ATLAS-o,20.21,-99.0
2458040.96,ATLAS-o,20.28,-99.0
2458044.97,ATLAS-c,20.08,-99.0
2458046.94,ATLAS-o,20.08,-99.0
2458076.9,ATLAS-c,20.02,-99.0
2458096.86,ATLAS-o,20.28,-99.0
2458112.81,ATLAS-o,20.28,-99.0
2458124.8,ATLAS-o,20.35,-99.0
2458128.75,ATLAS-o,20.02,-99.0
2458132.8,ATLAS-o,20.33,-99.0
2458134.75,ATLAS-o,20.08,-99.0
2458152.75,ATLAS-o,20.19,-99.0
2458319.968,ZTF_r,21.51,-99.0
2458341.09,ATLAS-c,20.32,-99.0
2458343.06,ATLAS-o,20.14,-99.0
2458346.905,ZTF_r,21.57,-99.0
2458347.905,ZTF_r,21.61,-99.0
2458348.91,ZTF_r,21.67,-99.0
2458348.929,ZTF_r,21.69,-99.0
2458349.06,ATLAS-o,20.33,-99.0
2458349.846,ZTF_r,21.66,-99.0
2458349.967,ZTF_r,21.65,-99.0
2458349.968,ZTF_r,21.71,-99.0
2458349.98,ZTF_r,21.71,-99.0
2458350.893,ZTF_r,21.7,-99.0
2458350.902,ZTF_r,21.73,-99.0
2458351.867,ZTF_r,21.66,-99.0
2458351.887,ZTF_r,21.68,-99.0
2458352.909,ZTF_g,21.56,-99.0
2458352.92,ZTF_g,21.65,-99.0
2458352.969,ZTF_r,21.71,-99.0
2458352.97,ZTF_r,21.64,-99.0
2458352.98,ZTF_r,21.73,-99.0
2458353.955,ZTF_r,21.64,-99.0
2458353.972,ZTF_r,21.61,-99.0
2458353.988,ZTF_r,21.7,-99.0
2458354.989,ZTF_r,21.68,-99.0
2458364.764,ZTF_g,21.52,-99.0
2458366.862,ZTF_r,21.54,-99.0
2458367.838,ZTF_r,21.58,-99.0
2458367.864,ZTF_r,21.62,-99.0
2458367.887,ZTF_r,21.57,-99.0
2458367.915,ZTF_g,21.58,-99.0
2458367.917,ZTF_g,21.57,-99.0
2458368.816,ZTF_r,21.5,-99.0
