JD,Filter,mag,magunc
2457576.77,ATLAS-c,19.14,0.21
2457577.77,ATLAS-c,19.57,0.25
2457805.17,ATLAS-o,inf,-99.0
2457895.91,ATLAS-c,20.08,-99.0
2457903.91,ATLAS-c,20.25,-99.0
2457918.82,ATLAS-o,20.3,-99.0
2457948.78,ATLAS-o,20.1,-99.0
2458132.12,ATLAS-o,20.12,-99.0
2458160.1,ATLAS-o,20.04,-99.0
2458162.1,ATLAS-c,20.65,-99.0
2458193.98,ATLAS-c,20.62,-99.0
2458250.89,ATLAS-c,20.14,-99.0
2458257.87,ATLAS-c,20.38,-99.0
2458281.83,ATLAS-c,20.43,-99.0
2458285.83,ATLAS-c,20.29,-99.0
2458309.8,ATLAS-c,20.14,-99.0
2458494.14,ATLAS-c,20.41,-99.0
2458498.15,ATLAS-o,20.25,-99.0
2458500.1,ATLAS-o,20.04,-99.0
2458524.11,ATLAS-o,20.12,-99.0
2458569.99,ATLAS-o,20.08,-99.0
2458572.01,ATLAS-o,20.1,0.29
2458573.97,ATLAS-c,20.28,-99.0
2458577.98,ATLAS-c,20.28,-99.0
2458579.97,ATLAS-o,20.21,-99.0
2458581.99,ATLAS-c,20.71,-99.0
2458583.99,ATLAS-o,20.12,-99.0
2458599.94,ATLAS-o,20.14,-99.0
2458605.94,ATLAS-c,20.14,-99.0
2458609.9,ATLAS-c,20.15,-99.0
2458611.92,ATLAS-o,20.22,-99.0
2458613.86,ATLAS-o,20.33,-99.0
2458631.84,ATLAS-o,20.26,-99.0
2458633.84,ATLAS-c,20.58,-99.0
2458635.85,ATLAS-o,20.02,-99.0
2458637.84,ATLAS-c,20.33,-99.0
2458641.87,ATLAS-c,20.21,-99.0
2458665.77,ATLAS-c,20.21,-99.0
2458669.85,ATLAS-c,20.3,-99.0
2458670.8,ATLAS-c,20.33,-99.0
2458671.79,ATLAS-c,20.12,-99.0
2458852.16,ATLAS-o,20.3,-99.0
2458874.1,ATLAS-c,20.38,-99.0
2458876.14,ATLAS-o,20.11,-99.0
2458878.08,ATLAS-c,20.55,-99.0
2458879.99,ATLAS-o,20.0,-99.0
2458904.11,ATLAS-o,20.05,-99.0
2458908.07,ATLAS-o,20.5,-99.0
2458912.07,ATLAS-o,20.7,-99.0
2458928.05,ATLAS-o,20.21,0.28
2458930.02,ATLAS-c,21.0,0.34
2458944.05,ATLAS-o,18.25,0.15
2458950.04,ATLAS-o,18.05,0.13
2458951.99,ATLAS-o,17.92,0.05
2458957.91,ATLAS-c,18.32,0.05
2458959.92,ATLAS-o,17.79,0.05
2458962.0,ATLAS-c,18.3,0.04
2458963.91,ATLAS-o,17.85,0.34
2458964.772,ZTF_r,17.94,0.02
2458964.836,ZTF_g,18.78,0.05
2458965.92,ATLAS-c,18.4,0.04
2458967.751,ZTF_g,18.92,0.06
2458967.836,ZTF_r,17.94,0.03
2458967.87,ATLAS-o,17.84,0.03
2458969.95,ATLAS-o,17.88,0.03
2458970.856,ZTF_r,17.9,0.02
2458971.9,ATLAS-o,17.86,0.04
2458973.73,ZTF_g,19.29,0.16
2458973.773,ZTF_r,18.01,0.05
2458973.94,ATLAS-o,17.87,0.08
2458979.794,ZTF_r,18.01,0.04
2458979.95,ATLAS-o,17.85,0.05
2458981.91,ATLAS-o,17.97,0.03
2458983.87,ATLAS-o,17.88,0.03
2458985.85,ATLAS-c,18.72,0.05
2458987.73,ZTF_g,19.52,0.07
2458987.796,ZTF_r,18.08,0.02
2458987.88,ATLAS-o,18.0,0.03
2458989.85,ATLAS-c,18.74,0.06
2458991.85,ATLAS-o,17.99,0.03
2458993.775,ZTF_r,18.1,0.03
2458993.91,ATLAS-c,18.8,0.06
2458995.86,ATLAS-o,18.03,0.03
2458996.668,ZTF_g,19.92,0.14
2458997.86,ATLAS-o,18.02,0.03
2458999.773,ZTF_r,18.19,0.04
2458999.84,ATLAS-o,18.03,0.03
2459001.82,ATLAS-o,18.17,0.11
2459005.7,ZTF_g,19.48,0.23
2459005.752,ZTF_r,18.13,0.06
2459005.88,ATLAS-o,18.16,0.1
2459006.85,ATLAS-o,18.11,0.09
2459011.86,ATLAS-o,18.08,0.03
2459013.709,ZTF_g,20.1,0.16
2459015.83,ATLAS-o,18.17,0.03
2459016.8,ATLAS-c,19.24,0.06
2459017.81,ATLAS-c,19.2,0.05
2459021.82,ATLAS-c,19.48,0.1
2459023.82,ATLAS-o,18.26,0.05
2459027.671,ZTF_r,18.63,0.07
2459027.69,ZTF_g,20.24,0.29
2459027.81,ATLAS-o,18.37,0.04
2459031.79,ATLAS-o,18.46,0.09
2459033.8,ATLAS-o,18.42,0.12
2459037.81,ATLAS-o,18.72,0.1
2459039.76,ATLAS-o,18.75,0.07
2459041.77,ATLAS-c,19.81,0.21
2459043.77,ATLAS-o,19.02,0.07
2459051.76,ATLAS-o,19.46,0.11
2459067.75,ATLAS-o,19.94,0.36
2459228.1,ATLAS-c,20.77,-99.0
2459230.06,ATLAS-c,20.18,-99.0
2459232.09,ATLAS-c,20.69,-99.0
2459252.15,ATLAS-o,20.02,-99.0
2459256.07,ATLAS-c,20.58,-99.0
2459258.05,ATLAS-c,20.52,-99.0
2459260.06,ATLAS-c,20.46,-99.0
2459262.06,ATLAS-c,20.49,-99.0
2459291.98,ATLAS-o,20.25,-99.0
2459295.96,ATLAS-o,20.14,-99.0
2459308.01,ATLAS-o,20.31,-99.0
2459311.97,ATLAS-c,20.24,-99.0
2459315.91,ATLAS-c,20.8,-99.0
2459319.89,ATLAS-c,20.7,-99.0
2459321.89,ATLAS-o,20.21,-99.0
2459323.89,ATLAS-o,20.43,-99.0
2459324.94,ATLAS-o,20.28,-99.0
2459337.95,ATLAS-c,20.62,-99.0
2459351.87,ATLAS-o,20.11,-99.0
2459365.89,ATLAS-o,20.05,-99.0
2459367.85,ATLAS-c,20.49,-99.0
2459373.83,ATLAS-o,20.16,-99.0
2459379.83,ATLAS-c,20.36,-99.0
2459387.86,ATLAS-o,inf,-99.0
2459394.8,ATLAS-c,20.18,-99.0
2459395.81,ATLAS-o,20.05,-99.0
2459399.78,ATLAS-o,20.08,-99.0
2459403.8,ATLAS-o,20.25,-99.0
2459409.77,ATLAS-c,20.08,-99.0
2459411.76,ATLAS-o,20.14,-99.0
