JD,Filter,mag,magunc
2457328.99,ATLAS-o,19.38,0.35
2457661.06,ATLAS-c,20.02,-99.0
2457669.0,ATLAS-c,20.19,-99.0
2457690.96,ATLAS-c,20.1,-99.0
2457698.94,ATLAS-c,20.36,-99.0
2457746.86,ATLAS-c,20.29,-99.0
2457778.83,ATLAS-c,20.02,-99.0
2457782.82,ATLAS-c,20.0,-99.0
2457999.12,ATLAS-o,20.02,-99.0
2458023.04,ATLAS-o,20.13,-99.0
2458027.06,ATLAS-o,20.12,-99.0
2458037.07,ATLAS-o,20.12,-99.0
2458041.04,ATLAS-o,20.47,-99.0
2458043.03,ATLAS-o,20.04,-99.0
2458045.05,ATLAS-c,20.25,-99.0
2458057.01,ATLAS-o,20.41,-99.0
2458070.99,ATLAS-o,20.14,-99.0
2458112.91,ATLAS-o,20.8,-99.0
2458132.9,ATLAS-o,20.41,-99.0
2458152.83,ATLAS-o,20.06,-99.0
2458367.1,ATLAS-o,20.21,-99.0
2458369.1,ATLAS-o,20.59,-99.0
2458373.08,ATLAS-o,20.21,-99.0
2458379.06,ATLAS-o,20.1,-99.0
2458381.08,ATLAS-o,20.05,-99.0
2458391.04,ATLAS-o,20.41,-99.0
2458393.05,ATLAS-o,20.1,-99.0
2458395.04,ATLAS-o,20.06,-99.0
2458401.04,ATLAS-c,20.58,-99.0
2458409.02,ATLAS-o,20.85,-99.0
2458428.97,ATLAS-c,20.62,-99.0
2458432.97,ATLAS-c,20.41,-99.0
2458434.95,ATLAS-o,20.21,-99.0
2458436.97,ATLAS-c,20.36,-99.0
2458439.0,ATLAS-o,20.14,-99.0
2458452.93,ATLAS-o,20.41,-99.0
2458460.96,ATLAS-c,20.33,-99.0
2458462.92,ATLAS-o,20.21,-99.0
2458480.91,ATLAS-o,20.27,-99.0
2458486.88,ATLAS-o,20.13,-99.0
2458488.9,ATLAS-c,20.16,-99.0
2458492.91,ATLAS-c,20.49,-99.0
2458494.87,ATLAS-o,20.08,-99.0
2458508.83,ATLAS-o,20.43,-99.0
2458510.83,ATLAS-o,20.02,-99.0
2458514.81,ATLAS-o,20.04,-99.0
2458542.76,ATLAS-o,20.0,-99.0
2458725.07,ATLAS-c,20.38,-99.0
2458727.05,ATLAS-o,20.25,-99.0
2458728.99,ATLAS-c,20.65,-99.0
2458731.09,ATLAS-o,20.18,-99.0
2458733.07,ATLAS-o,20.25,-99.0
2458735.01,ATLAS-o,20.25,-99.0
2458737.06,ATLAS-o,20.02,-99.0
2458742.019,ZTF_g,19.82,0.28
2458751.1,ATLAS-o,20.25,-99.0
2458753.04,ATLAS-c,20.49,-99.0
2458754.99,ATLAS-o,20.38,-99.0
2458759.0,ATLAS-o,20.29,-99.0
2458762.99,ATLAS-o,20.43,-99.0
2458764.05,ATLAS-c,20.35,-99.0
2458765.03,ATLAS-c,20.58,-99.0
2458778.99,ATLAS-o,20.21,-99.0
2458780.98,ATLAS-c,20.3,-99.0
2458785.0,ATLAS-c,20.18,-99.0
2458789.0,ATLAS-c,20.43,-99.0
2458790.9,ATLAS-o,20.58,-99.0
2458792.97,ATLAS-c,20.52,-99.0
2458795.0,ATLAS-o,20.36,-99.0
2458814.89,ATLAS-o,20.33,-99.0
2458816.89,ATLAS-c,20.08,-99.0
2458820.96,ATLAS-o,20.55,-99.0
2458836.95,ATLAS-o,20.28,-99.0
2458838.85,ATLAS-o,20.02,-99.0
2458845.0,ATLAS-c,20.42,-99.0
2458846.8,ATLAS-o,20.45,-99.0
2458863.788,ZTF_g,21.58,-99.0
2458863.799,ZTF_g,21.58,-99.0
2458866.79,ATLAS-o,20.29,-99.0
2458868.85,ATLAS-c,20.41,-99.0
2458870.8,ATLAS-o,20.55,-99.0
2458872.79,ATLAS-c,20.55,-99.0
2458874.83,ATLAS-o,20.46,-99.0
2458876.85,ATLAS-c,20.58,-99.0
2458878.81,ATLAS-o,20.28,-99.0
