JD,Filter,mag,magunc
2457420.96,ATLAS-c,20.0,-99.0
2457471.84,ATLAS-o,inf,-99.0
2457698.11,ATLAS-c,20.04,-99.0
2457746.0,ATLAS-c,20.22,-99.0
2457757.97,ATLAS-c,20.44,-99.0
2457777.95,ATLAS-c,20.12,-99.0
2457781.94,ATLAS-c,20.18,-99.0
2458056.11,ATLAS-o,20.38,-99.0
2458068.08,ATLAS-o,20.08,-99.0
2458072.08,ATLAS-c,20.18,-99.0
2458074.06,ATLAS-o,20.22,-99.0
2458076.08,ATLAS-c,20.61,-99.0
2458080.1,ATLAS-c,20.14,-99.0
2458102.02,ATLAS-o,20.12,-99.0
2458114.0,ATLAS-o,20.09,-99.0
2458126.06,ATLAS-o,20.0,-99.0
2458127.97,ATLAS-o,20.25,-99.0
2458132.0,ATLAS-o,20.14,-99.0
2458133.99,ATLAS-o,20.19,-99.0
2458136.01,ATLAS-c,20.56,-99.0
2458161.98,ATLAS-o,20.02,-99.0
2458183.88,ATLAS-o,20.12,-99.0
2458185.87,ATLAS-o,20.0,-99.0
2458216.66,ZTF_r,21.59,-99.0
2458222.645,ZTF_r,21.51,-99.0
2458251.76,ATLAS-c,20.11,-99.0
2458424.975,ZTF_r,20.34,0.11
2458428.974,ZTF_r,21.77,-99.0
2458442.13,ATLAS-o,20.01,-99.0
2458452.09,ATLAS-o,20.36,-99.0
2458456.05,ATLAS-c,20.21,-99.0
2458460.04,ATLAS-c,20.46,-99.0
2458461.87,ZTF_r,20.65,0.15
2458465.87,ZTF_r,21.72,-99.0
2458466.01,ATLAS-o,20.05,-99.0
2458479.98,ATLAS-o,20.08,-99.0
2458485.97,ATLAS-o,20.31,-99.0
2458487.99,ATLAS-c,20.43,-99.0
2458491.98,ATLAS-c,20.6,-99.0
2458493.95,ATLAS-o,20.2,-99.0
2458494.788,ZTF_r,21.89,-99.0
2458495.96,ATLAS-o,20.34,-99.0
2458497.95,ATLAS-o,20.06,-99.0
2458499.92,ATLAS-o,20.02,-99.0
2458517.91,ATLAS-o,20.02,-99.0
2458519.92,ATLAS-c,20.52,-99.0
2458523.93,ATLAS-c,20.29,-99.0
2458545.86,ATLAS-o,20.39,-99.0
2458579.82,ATLAS-c,20.35,-99.0
2458595.74,ATLAS-o,20.02,-99.0
2458598.679,ZTF_r,20.49,0.13
2458603.78,ATLAS-c,20.38,-99.0
2458607.77,ATLAS-c,20.02,-99.0
2458611.76,ATLAS-c,20.08,-99.0
