JD,Filter,mag,magunc
2457507.91,ATLAS-c,20.0,-99.0
2457816.98,ATLAS-c,20.06,-99.0
2457892.87,ATLAS-o,20.14,-99.0
2457900.85,ATLAS-c,20.14,-99.0
2457924.8,ATLAS-o,20.04,-99.0
2458101.09,ATLAS-o,20.06,-99.0
2458105.09,ATLAS-o,20.2,-99.0
2458133.12,ATLAS-o,20.12,-99.0
2458135.14,ATLAS-c,20.62,-99.0
2458137.11,ATLAS-o,20.12,-99.0
2458161.07,ATLAS-o,20.06,-99.0
2458163.07,ATLAS-c,20.21,-99.0
2458214.741,ZTF_r,19.76,0.29
2458254.87,ATLAS-c,20.35,-99.0
2458282.83,ATLAS-o,20.09,-99.0
2458286.8,ATLAS-c,20.06,-99.0
2458457.15,ATLAS-o,20.05,-99.0
2458461.13,ATLAS-o,20.39,-99.0
2458463.15,ATLAS-c,20.47,-99.0
2458471.1,ATLAS-o,20.38,-99.0
2458487.1,ATLAS-c,20.32,-99.0
2458489.08,ATLAS-o,20.17,-99.0
2458493.08,ATLAS-o,20.23,-99.0
2458495.05,ATLAS-c,20.45,-99.0
2458497.06,ATLAS-o,20.04,-99.0
2458513.04,ATLAS-o,20.22,-99.0
2458519.06,ATLAS-c,20.27,-99.0
2458529.01,ATLAS-o,20.06,-99.0
2458540.99,ATLAS-o,20.62,0.36
2458556.96,ATLAS-o,20.12,-99.0
2458570.94,ATLAS-o,20.21,-99.0
2458572.93,ATLAS-o,20.4,-99.0
2458576.93,ATLAS-o,20.14,-99.0
2458580.92,ATLAS-o,20.14,-99.0
2458582.92,ATLAS-c,20.21,-99.0
2458584.91,ATLAS-o,20.02,-99.0
2458596.88,ATLAS-o,20.04,-99.0
2458600.745,ZTF_g,21.58,-99.0
2458600.752,ZTF_g,21.61,-99.0
2458600.87,ATLAS-o,20.02,-99.0
2458610.88,ATLAS-c,20.82,-99.0
2458612.81,ATLAS-o,20.08,-99.0
2458614.84,ATLAS-o,20.21,-99.0
2458626.84,ATLAS-o,20.14,-99.0
2458628.79,ATLAS-o,20.1,-99.0
2458630.8,ATLAS-o,20.1,-99.0
2458632.8,ATLAS-o,20.1,-99.0
2458634.79,ATLAS-c,20.46,-99.0
2458642.78,ATLAS-c,20.62,-99.0
2458813.1,ATLAS-o,20.56,0.32
2458815.13,ATLAS-c,20.25,-99.0
2458817.12,ATLAS-o,20.06,-99.0
2458825.1,ATLAS-o,20.05,-99.0
2458829.05,ATLAS-o,19.78,0.32
2458845.04,ATLAS-o,20.41,-99.0
2458847.02,ATLAS-c,20.63,-99.0
2458850.08,ATLAS-o,20.52,-99.0
2458851.08,ATLAS-o,20.63,0.34
2458867.08,ATLAS-o,20.56,0.32
2458869.02,ATLAS-o,20.84,0.34
2458870.08,ATLAS-c,20.29,-99.0
2458871.01,ATLAS-c,20.49,-99.0
2458873.05,ATLAS-o,20.11,-99.0
2458875.06,ATLAS-c,20.62,-99.0
2458877.02,ATLAS-o,20.35,-99.0
2458878.07,ATLAS-c,20.46,-99.0
2458878.95,ATLAS-c,20.46,-99.0
2458884.98,ATLAS-o,20.14,-99.0
2458901.0,ATLAS-o,20.08,-99.0
2458902.97,ATLAS-c,20.27,-99.0
2458904.98,ATLAS-o,20.38,-99.0
2458912.99,ATLAS-o,20.55,-99.0
2458924.94,ATLAS-o,20.15,-99.0
2458929.9,ATLAS-c,20.54,-99.0
2458930.97,ATLAS-c,20.14,-99.0
2458936.95,ATLAS-o,20.44,-99.0
2458949.94,ATLAS-o,20.06,-99.0
2458952.91,ATLAS-o,20.41,-99.0
2458956.86,ATLAS-o,20.49,-99.0
2458958.86,ATLAS-c,20.58,-99.0
2458960.89,ATLAS-o,20.11,-99.0
2458966.86,ATLAS-c,20.49,-99.0
2458968.86,ATLAS-o,20.38,-99.0
2458980.669,ZTF_g,21.16,0.25
2458980.81,ATLAS-o,20.62,-99.0
2458982.85,ATLAS-c,21.03,0.35
2458985.8,ATLAS-c,20.25,-99.0
2458986.84,ATLAS-c,20.25,-99.0
2458988.83,ATLAS-o,20.3,-99.0
2458989.82,ATLAS-c,20.49,-99.0
2458992.82,ATLAS-o,20.18,-99.0
2458994.85,ATLAS-c,20.03,-99.0
2458998.79,ATLAS-o,20.19,-99.0
2459010.81,ATLAS-o,20.08,-99.0
2459171.1,ATLAS-c,20.3,-99.0
2459194.15,ATLAS-o,20.1,-99.0
2459195.14,ATLAS-c,20.3,-99.0
2459205.11,ATLAS-c,20.34,-99.0
2459207.08,ATLAS-c,20.55,-99.0
2459209.1,ATLAS-c,20.62,-99.0
2459219.919,ZTF_g,18.6,0.08
2459220.934,ZTF_r,18.82,0.19
2459220.955,ZTF_g,18.17,0.25
2459221.05,ATLAS-o,18.65,0.06
2459222.01,ATLAS-o,18.78,0.1
2459222.964,ZTF_r,18.59,0.05
2459222.966,ZTF_r,18.5,0.04
2459223.12,ATLAS-o,18.59,0.04
2459224.956,ZTF_g,18.61,0.04
2459224.957,ZTF_g,18.62,0.05
2459224.982,ZTF_r,18.63,0.06
2459224.984,ZTF_r,18.54,0.05
2459225.05,ATLAS-c,18.59,0.04
2459226.982,ZTF_r,18.56,0.05
2459226.984,ZTF_r,18.5,0.04
2459227.024,ZTF_g,18.65,0.03
2459227.041,ZTF_g,18.6,0.04
2459227.06,ATLAS-c,18.57,0.04
2459228.937,ZTF_g,18.63,0.03
2459228.953,ZTF_g,18.72,0.04
2459228.977,ZTF_r,18.53,0.03
2459228.978,ZTF_r,18.54,0.03
2459229.06,ATLAS-c,18.64,0.05
2459230.941,ZTF_r,18.52,0.04
2459230.942,ZTF_r,18.48,0.04
2459230.962,ZTF_g,18.67,0.04
2459230.963,ZTF_g,18.7,0.03
2459231.04,ATLAS-c,18.68,0.05
2459232.936,ZTF_g,18.75,0.03
2459232.977,ZTF_g,18.79,0.04
2459232.983,ZTF_r,18.45,0.03
2459232.984,ZTF_r,18.48,0.03
2459233.02,ATLAS-c,18.62,0.04
2459235.07,ATLAS-c,18.78,0.06
2459249.08,ATLAS-o,18.64,0.09
2459249.897,ZTF_r,18.7,0.08
2459249.92,ZTF_g,19.41,0.13
2459249.92,ZTF_g,19.25,0.09
2459251.898,ZTF_g,19.29,0.06
2459251.9,ZTF_g,19.22,0.06
2459251.941,ZTF_r,18.61,0.04
2459251.941,ZTF_r,18.64,0.04
2459253.03,ATLAS-c,18.96,0.06
2459253.852,ZTF_r,18.6,0.04
2459253.877,ZTF_g,19.15,0.06
2459253.878,ZTF_g,19.34,0.06
2459255.16,ATLAS-c,19.03,0.15
2459255.879,ZTF_g,19.38,0.05
2459255.879,ZTF_g,19.23,0.05
2459255.9,ZTF_r,18.58,0.04
2459255.9,ZTF_r,18.53,0.03
2459257.03,ATLAS-c,18.97,0.05
2459257.873,ZTF_g,19.28,0.14
2459257.878,ZTF_g,19.39,0.13
2459258.96,ATLAS-c,18.98,0.06
2459261.04,ATLAS-c,19.05,0.12
2459262.06,ATLAS-c,19.01,0.07
2459262.859,ZTF_r,18.64,0.04
2459262.86,ZTF_r,18.54,0.04
2459262.9,ZTF_g,19.43,0.13
2459262.914,ZTF_g,19.34,0.27
2459262.98,ATLAS-c,19.0,0.05
2459264.835,ZTF_g,19.22,0.06
2459264.857,ZTF_r,18.54,0.04
2459266.8,ZTF_g,19.51,0.21
2459266.857,ZTF_r,18.68,0.08
2459266.857,ZTF_r,18.71,0.09
2459266.9,ZTF_g,19.26,0.1
2459268.92,ZTF_g,19.6,0.1
2459268.92,ATLAS-o,18.52,0.06
2459268.92,ZTF_g,19.41,0.11
2459270.883,ZTF_g,19.96,0.27
2459270.884,ZTF_g,19.6,0.19
2459272.815,ZTF_r,18.68,0.14
2459272.91,ZTF_g,18.98,0.22
2459274.857,ZTF_r,18.71,0.15
2459275.728,ZTF_g,19.37,0.18
2459275.729,ZTF_g,19.73,0.27
2459275.838,ZTF_r,18.61,0.07
