JD,Filter,mag,magunc
2457365.06,ATLAS-o,19.59,0.28
2457386.06,ATLAS-o,19.12,0.31
2457428.05,ATLAS-c,20.04,-99.0
2457746.1,ATLAS-c,20.29,-99.0
2457751.05,ATLAS-c,19.68,0.31
2457758.08,ATLAS-c,20.45,-99.0
2457778.05,ATLAS-c,20.26,-99.0
2457779.02,ATLAS-c,20.02,-99.0
2457782.05,ATLAS-c,20.19,-99.0
2457787.01,ATLAS-c,20.15,-99.0
2457802.92,ATLAS-o,20.3,-99.0
2457817.96,ATLAS-o,18.9,0.16
2457843.88,ATLAS-o,19.18,0.3
2457869.97,ATLAS-c,20.95,0.33
2457901.85,ATLAS-c,20.03,-99.0
2458103.14,ATLAS-o,20.06,-99.0
2458111.11,ATLAS-o,20.25,-99.0
2458113.12,ATLAS-o,20.49,-99.0
2458117.11,ATLAS-o,20.72,-99.0
2458129.09,ATLAS-o,20.65,-99.0
2458132.12,ATLAS-o,20.83,-99.0
2458133.12,ATLAS-o,20.83,-99.0
2458134.11,ATLAS-o,20.19,-99.0
2458136.13,ATLAS-c,20.72,-99.0
2458138.09,ATLAS-o,20.23,-99.0
2458139.08,ATLAS-o,20.36,-99.0
2458148.15,ATLAS-o,20.05,-99.0
2458157.06,ATLAS-o,20.28,-99.0
2458163.06,ATLAS-o,20.02,-99.0
2458168.06,ATLAS-c,20.62,-99.0
2458172.02,ATLAS-c,20.25,-99.0
2458184.0,ATLAS-o,20.16,-99.0
2458219.717,ZTF_r,21.07,0.29
2458221.93,ATLAS-o,20.14,-99.0
2458231.87,ATLAS-o,20.08,-99.0
2458251.88,ATLAS-c,20.49,-99.0
2458254.84,ATLAS-o,20.14,-99.0
2458255.87,ATLAS-c,20.35,-99.0
2458257.84,ATLAS-o,20.04,-99.0
2458263.706,ZTF_r,22.01,-99.0
2458263.715,ZTF_r,21.92,-99.0
2458275.84,ATLAS-o,20.16,-99.0
2458285.84,ATLAS-o,20.02,-99.0
2458307.79,ATLAS-c,20.1,-99.0
2458460.13,ATLAS-c,20.68,-99.0
2458462.11,ATLAS-o,20.19,-99.0
2458484.07,ATLAS-o,20.41,-99.0
2458486.08,ATLAS-o,20.34,-99.0
2458488.09,ATLAS-c,20.36,-99.0
2458491.12,ATLAS-o,20.21,-99.0
2458493.16,ATLAS-c,20.14,-99.0
2458494.06,ATLAS-o,20.21,-99.0
2458496.06,ATLAS-o,20.33,-99.0
2458497.12,ATLAS-o,20.43,-99.0
2458498.05,ATLAS-o,20.28,-99.0
2458500.02,ATLAS-o,20.28,-99.0
2458518.02,ATLAS-o,20.1,-99.0
2458520.03,ATLAS-c,20.62,-99.0
2458545.96,ATLAS-o,20.38,-99.0
2458547.01,ATLAS-o,20.08,-99.0
