JD,Filter,mag,magunc
2457452.89,ATLAS-c,20.05,-99.0
2457460.9,ATLAS-c,20.02,-99.0
2457757.04,ATLAS-c,20.06,-99.0
2457777.04,ATLAS-c,20.17,-99.0
2457781.01,ATLAS-c,20.39,-99.0
2457832.83,ATLAS-o,20.01,-99.0
2458049.1,ATLAS-o,20.04,-99.0
2458055.07,ATLAS-o,19.91,0.16
2458059.03,ATLAS-o,19.23,0.13
2458071.05,ATLAS-o,20.15,-99.0
2458073.04,ATLAS-o,20.41,0.23
2458075.06,ATLAS-c,20.32,-99.0
2458079.04,ATLAS-c,20.98,0.3
2458081.03,ATLAS-o,20.16,-99.0
2458099.0,ATLAS-o,20.11,-99.0
2458100.99,ATLAS-o,20.01,0.19
2458110.97,ATLAS-c,20.54,-99.0
2458112.95,ATLAS-o,20.19,-99.0
2458128.95,ATLAS-o,20.18,-99.0
2458130.96,ATLAS-o,20.65,-99.0
2458133.02,ATLAS-o,20.45,0.31
2458135.04,ATLAS-c,20.28,0.17
2458140.98,ATLAS-o,20.11,-99.0
2458160.95,ATLAS-o,20.08,-99.0
2458164.95,ATLAS-o,20.23,-99.0
2458184.91,ATLAS-o,20.01,-99.0
2458426.006,ZTF_g,20.6,0.24
2458442.881,ZTF_r,18.38,0.21
2458442.881,ZTF_r,17.6,0.12
2458449.944,ZTF_r,19.33,0.21
2458455.12,ATLAS-c,21.02,0.35
2458457.05,ATLAS-o,20.29,-99.0
2458459.06,ATLAS-c,20.56,-99.0
2458463.06,ATLAS-c,20.55,-99.0
2458465.03,ATLAS-o,20.19,-99.0
2458468.99,ATLAS-o,20.14,-99.0
2458471.0,ATLAS-o,20.39,0.3
2458481.0,ATLAS-o,20.02,-99.0
2458487.02,ATLAS-c,20.14,-99.0
2458488.99,ATLAS-o,20.0,-99.0
2458491.0,ATLAS-c,20.55,-99.0
2458492.98,ATLAS-o,19.93,0.16
2458494.96,ATLAS-c,20.32,0.2
2458496.97,ATLAS-o,20.19,-99.0
2458498.95,ATLAS-o,19.97,0.19
2458503.789,ZTF_r,18.39,0.27
2458508.95,ATLAS-o,20.48,0.3
2458512.94,ATLAS-o,20.39,0.3
2458518.94,ATLAS-c,20.29,-99.0
2458540.9,ATLAS-o,20.58,0.32
2458560.87,ATLAS-o,19.45,0.28
2458568.84,ATLAS-o,20.24,0.21
2458576.83,ATLAS-o,20.23,0.26
2458578.85,ATLAS-c,20.25,-99.0
2458596.8,ATLAS-o,20.2,0.27
2458598.8,ATLAS-o,19.64,0.21
2458610.8,ATLAS-c,20.18,-99.0
2458614.76,ATLAS-o,20.23,0.31
2458626.76,ATLAS-o,20.26,0.33
2458757.09,ATLAS-o,20.23,-99.0
2458763.13,ATLAS-c,20.42,0.24
2458765.1,ATLAS-o,20.11,-99.0
2458769.1,ATLAS-o,19.4,0.25
2458771.09,ATLAS-o,19.6,0.27
2458773.05,ATLAS-o,19.78,0.23
2458781.1,ATLAS-o,19.41,0.1
2458783.13,ATLAS-c,20.28,0.28
2458785.07,ATLAS-o,20.43,0.28
2458789.0,ATLAS-o,19.43,0.2
2458791.026,ZTF_g,21.17,0.28
2458791.05,ATLAS-c,20.19,0.19
2458793.1,ATLAS-o,19.4,0.11
2458795.07,ATLAS-c,20.49,-99.0
2458797.02,ATLAS-o,19.26,0.13
2458802.01,ATLAS-o,19.61,0.22
2458809.08,ATLAS-o,20.3,-99.0
2458813.05,ATLAS-o,20.08,-99.0
2458815.09,ATLAS-c,20.41,-99.0
2458817.07,ATLAS-o,20.25,-99.0
2458821.08,ATLAS-o,19.91,0.13
2458824.95,ATLAS-o,20.06,-99.0
2458827.06,ATLAS-o,20.22,0.29
2458837.08,ATLAS-o,20.19,-99.0
2458844.96,ATLAS-o,20.23,0.3
2458846.97,ATLAS-c,20.76,0.26
2458850.909,ZTF_r,20.44,0.29
2458850.99,ATLAS-o,20.21,0.29
2458852.88,ATLAS-o,19.58,0.12
2458854.768,ZTF_r,19.63,0.26
2458868.88,ATLAS-o,20.42,0.32
2458870.93,ATLAS-c,20.49,-99.0
2458872.795,ZTF_r,20.27,0.15
2458872.96,ATLAS-o,20.18,-99.0
2458874.96,ATLAS-c,20.2,0.16
2458878.84,ATLAS-o,19.48,0.22
2458880.94,ATLAS-o,19.64,0.1
2458882.93,ATLAS-o,20.43,0.35
2458900.87,ATLAS-o,20.25,-99.0
2458902.86,ATLAS-c,20.36,-99.0
2458904.752,ZTF_g,20.86,0.26
2458906.92,ATLAS-o,18.69,0.09
2458912.91,ATLAS-o,19.66,0.22
2458930.84,ATLAS-c,20.27,0.18
2458932.81,ATLAS-o,20.08,-99.0
2458934.8,ATLAS-c,20.69,0.35
2458936.87,ATLAS-o,20.16,-99.0
2458949.83,ATLAS-o,19.86,0.23
2458952.82,ATLAS-o,19.58,0.18
2458956.77,ATLAS-o,20.8,0.36
2458958.77,ATLAS-c,20.16,0.18
2458960.8,ATLAS-o,20.02,-99.0
2458964.76,ATLAS-o,20.31,0.29
2458966.76,ATLAS-o,20.1,-99.0
2458968.77,ATLAS-o,19.79,0.19
2458972.74,ATLAS-o,19.71,0.26
2458986.76,ATLAS-c,20.76,0.35
2458994.77,ATLAS-o,19.96,0.32
2459111.11,ATLAS-c,19.57,0.21
2459137.13,ATLAS-o,20.0,-99.0
2459141.09,ATLAS-o,20.47,0.33
2459143.07,ATLAS-c,20.43,0.23
2459145.07,ATLAS-o,19.87,0.15
2459147.13,ATLAS-c,20.19,-99.0
2459153.89,ZTF_r,19.52,0.22
2459161.07,ATLAS-o,19.84,0.22
2459173.961,ZTF_g,21.08,0.24
2459179.05,ATLAS-c,20.43,-99.0
2459180.88,ZTF_r,19.6,0.13
2459180.99,ATLAS-o,20.04,-99.0
2459191.02,ATLAS-o,20.05,-99.0
2459193.02,ATLAS-o,19.87,0.16
2459194.98,ATLAS-c,20.41,-99.0
2459197.12,ATLAS-c,20.1,-99.0
2459200.96,ATLAS-c,19.66,0.07
2459204.98,ATLAS-c,19.72,0.07
2459206.95,ATLAS-o,20.16,-99.0
2459209.01,ATLAS-o,20.06,-99.0
2459221.02,ATLAS-o,20.28,0.28
2459221.96,ATLAS-c,20.26,0.2
2459223.01,ATLAS-c,20.25,-99.0
2459224.98,ATLAS-c,20.23,0.15
2459225.733,ZTF_g,20.55,0.25
2459226.99,ATLAS-c,20.32,0.19
2459228.846,ZTF_r,21.12,0.28
2459228.97,ATLAS-c,20.49,-99.0
2459230.831,ZTF_g,21.03,0.25
2459230.92,ATLAS-c,19.79,0.16
2459232.92,ATLAS-c,20.35,0.17
2459248.99,ATLAS-o,19.92,0.17
2459251.771,ZTF_g,20.77,0.21
2459252.93,ATLAS-c,20.01,0.15
2459256.96,ATLAS-c,20.17,0.18
2459258.91,ATLAS-c,20.03,0.18
2459260.9,ATLAS-c,20.59,0.24
2459262.91,ATLAS-c,20.02,0.15
2459268.89,ATLAS-o,19.82,0.24
2459271.729,ZTF_g,19.7,0.23
2459271.756,ZTF_r,19.51,0.17
2459271.818,ZTF_i,19.34,0.26
2459273.672,ZTF_g,19.54,0.22
2459273.733,ZTF_r,19.35,0.19
2459275.689,ZTF_g,19.8,0.11
2459275.732,ZTF_r,19.23,0.09
2459276.87,ATLAS-o,19.15,0.09
2459278.688,ZTF_r,18.97,0.05
2459278.712,ZTF_g,19.51,0.16
2459280.88,ATLAS-o,18.85,0.06
2459281.726,ZTF_r,19.06,0.05
2459288.82,ATLAS-o,18.83,0.05
2459290.705,ZTF_g,19.82,0.08
2459290.736,ZTF_r,19.29,0.06
2459291.68,ZTF_i,19.01,0.08
2459292.669,ZTF_g,20.2,0.13
2459292.69,ZTF_r,19.55,0.08
2459292.82,ATLAS-o,19.09,0.08
2459294.669,ZTF_g,20.43,0.2
2459294.729,ZTF_r,19.34,0.1
2459300.81,ATLAS-o,19.24,0.3
2459301.673,ZTF_r,19.71,0.22
2459303.674,ZTF_i,19.58,0.19
2459304.93,ATLAS-o,19.47,0.33
2459306.691,ZTF_r,20.5,0.18
2459306.84,ATLAS-o,19.63,0.12
2459307.673,ZTF_i,20.11,0.2
2459308.695,ZTF_r,20.06,0.11
2459311.654,ZTF_r,20.61,0.24
2459311.693,ZTF_g,20.59,0.3
2459312.66,ZTF_i,19.68,0.15
2459312.81,ATLAS-c,19.76,0.17
2459315.675,ZTF_i,20.27,0.22
2459317.659,ZTF_r,20.52,0.15
2459324.78,ATLAS-o,19.37,0.14
2459326.76,ATLAS-o,19.89,0.3
2459329.694,ZTF_r,20.2,0.3
2459332.75,ATLAS-o,19.62,0.15
2459334.77,ATLAS-o,20.01,0.2
2459336.78,ATLAS-o,20.42,0.32
2459338.8,ATLAS-c,19.87,0.17
2459342.76,ATLAS-c,20.35,-99.0
2459344.75,ATLAS-o,20.36,0.27
2459497.09,ATLAS-o,20.37,0.32
2459507.11,ATLAS-o,20.44,0.34
