JD,Filter,mag,magunc
2457416.11,ATLAS-o,18.52,0.18
2457428.07,ATLAS-c,19.45,0.25
2457433.06,ATLAS-c,19.95,0.29
2457434.04,ATLAS-c,20.08,0.31
2457463.97,ATLAS-o,19.16,0.21
2457479.94,ATLAS-c,20.1,0.31
2457500.97,ATLAS-o,18.9,0.33
2457546.82,ATLAS-c,19.94,0.3
2457568.77,ATLAS-o,18.99,0.24
2457794.99,ATLAS-o,18.92,0.31
2457799.01,ATLAS-o,18.55,0.18
2457800.09,ATLAS-o,17.86,0.17
2457802.07,ATLAS-o,17.34,0.09
2457802.94,ATLAS-o,18.51,0.06
2457804.05,ATLAS-o,17.57,0.09
2457806.05,ATLAS-o,17.96,0.15
2457807.0,ATLAS-c,19.85,0.22
2457808.04,ATLAS-o,17.77,0.09
2457829.98,ATLAS-o,19.13,0.26
2457840.95,ATLAS-o,19.24,0.31
2457843.94,ATLAS-o,18.71,0.16
2457844.95,ATLAS-o,18.86,0.27
2457847.94,ATLAS-o,18.52,0.22
2457855.89,ATLAS-o,18.68,0.29
2457856.9,ATLAS-o,18.84,0.26
2457859.89,ATLAS-o,19.27,0.3
2457865.01,ATLAS-o,18.61,0.18
2457894.86,ATLAS-c,20.17,0.29
2457898.85,ATLAS-c,20.1,-99.0
2458136.15,ATLAS-c,20.53,0.35
2458168.08,ATLAS-c,20.08,-99.0
2458194.95,ATLAS-c,20.28,-99.0
2458214.96,ATLAS-o,19.66,0.24
2458251.93,ATLAS-c,20.22,-99.0
2458252.92,ATLAS-c,20.06,-99.0
2458263.75,ZTF_g,21.64,-99.0
2458494.08,ATLAS-o,20.08,-99.0
2458521.11,ATLAS-c,20.23,-99.0
2458580.97,ATLAS-c,20.24,-99.0
2458581.93,ATLAS-o,20.01,-99.0
2458583.92,ATLAS-c,20.24,0.36
2458612.85,ATLAS-c,20.16,-99.0
2458635.82,ATLAS-c,20.08,-99.0
2458639.79,ATLAS-c,20.12,-99.0
2458847.07,ATLAS-o,20.0,-99.0
2458870.06,ATLAS-o,20.22,-99.0
2458875.08,ATLAS-o,20.59,0.32
2458879.02,ATLAS-o,20.15,-99.0
2458911.94,ATLAS-o,20.06,0.27
2458932.95,ATLAS-c,20.12,-99.0
2458956.95,ATLAS-c,20.12,-99.0
2458958.88,ATLAS-o,20.06,-99.0
2458959.85,ATLAS-c,20.06,-99.0
2458960.93,ATLAS-c,20.02,-99.0
2458969.85,ATLAS-o,20.31,-99.0
2458980.81,ATLAS-c,20.07,-99.0
2458984.84,ATLAS-c,20.38,-99.0
2458990.81,ATLAS-o,20.12,-99.0
2459004.78,ATLAS-o,19.77,0.32
2459011.78,ATLAS-c,20.14,-99.0
2459195.14,ATLAS-c,20.08,-99.0
2459206.09,ATLAS-c,20.02,-99.0
2459227.06,ATLAS-c,20.21,-99.0
2459229.07,ATLAS-c,20.1,-99.0
2459231.03,ATLAS-c,20.28,-99.0
2459253.04,ATLAS-c,20.02,-99.0
2459256.98,ATLAS-c,20.06,-99.0
2459259.0,ATLAS-c,20.19,-99.0
2459262.95,ATLAS-c,20.23,-99.0
2459284.89,ATLAS-c,20.06,-99.0
2459288.91,ATLAS-c,20.08,-99.0
2459310.86,ATLAS-c,20.02,-99.0
2459314.91,ATLAS-c,20.1,-99.0
2459318.96,ATLAS-c,20.02,-99.0
2459320.9,ATLAS-o,20.36,0.33
2459350.82,ATLAS-o,20.02,-99.0
2459370.78,ATLAS-c,20.87,0.29
2459374.78,ATLAS-c,20.35,-99.0
2459378.77,ATLAS-c,20.19,-99.0
2459505.026,ZTF_r,20.43,0.29
2459524.006,ZTF_r,18.66,0.05
2459524.04,ZTF_g,19.42,0.09
2459525.998,ZTF_g,18.73,0.05
2459526.018,ZTF_r,17.93,0.03
2459527.14,ATLAS-o,17.61,0.1
2459527.997,ZTF_g,18.18,0.03
2459529.13,ATLAS-c,17.76,0.03
2459530.994,ZTF_g,17.95,0.05
2459532.027,ZTF_i,16.65,0.01
2459532.948,ZTF_r,16.96,0.02
2459533.023,ZTF_g,17.57,0.02
2459535.14,ATLAS-o,16.81,0.02
2459536.13,ATLAS-o,16.73,0.04
2459537.09,ATLAS-o,16.6,0.02
2459540.994,ZTF_i,16.25,0.01
2459542.09,ATLAS-o,16.5,0.02
2459543.14,ATLAS-o,16.46,0.02
2459545.1,ATLAS-o,16.43,0.02
2459550.989,ZTF_g,17.04,0.01
2459550.989,ZTF_g,17.16,0.03
2459551.04,ZTF_r,16.24,0.01
2459551.041,ZTF_r,16.29,0.01
2459551.12,ATLAS-o,16.34,0.01
2459559.13,ATLAS-o,16.21,0.06
2459563.14,ATLAS-o,16.23,0.01
2459565.12,ATLAS-o,16.22,0.01
2459566.06,ATLAS-o,16.19,0.01
2459567.06,ATLAS-o,16.23,0.01
2459572.11,ATLAS-o,16.27,0.01
2459574.09,ATLAS-o,16.32,0.01
2459575.08,ATLAS-o,16.35,0.01
2459588.1,ATLAS-c,17.14,0.01
2459591.03,ATLAS-o,16.58,0.01
2459592.0,ATLAS-o,16.57,0.02
2459594.07,ATLAS-o,16.63,0.02
2459595.02,ATLAS-o,16.7,0.02
2459597.95,ATLAS-o,16.68,0.03
2459598.97,ATLAS-o,16.65,0.03
2459600.799,ZTF_r,16.8,0.02
2459600.916,ZTF_g,17.85,0.03
2459600.961,ZTF_g,17.93,0.03
2459601.004,ZTF_r,16.81,0.01
2459602.1,ATLAS-o,16.75,0.02
2459605.04,ATLAS-o,16.79,0.02
2459606.03,ATLAS-o,16.8,0.02
