JD,Filter,mag,magunc
2457358.91,ATLAS-o,19.57,0.3
2457417.76,ATLAS-o,19.79,0.35
2457613.12,ATLAS-o,19.64,0.35
2457672.09,ATLAS-o,20.03,0.33
2457755.86,ATLAS-c,20.02,-99.0
2457799.77,ATLAS-o,20.12,0.3
2457994.12,ATLAS-o,20.14,-99.0
2457998.08,ATLAS-o,20.25,-99.0
2458014.07,ATLAS-c,20.46,-99.0
2458018.08,ATLAS-c,20.46,-99.0
2458022.08,ATLAS-c,20.29,-99.0
2458038.01,ATLAS-o,20.28,-99.0
2458049.99,ATLAS-c,20.35,-99.0
2458073.94,ATLAS-c,20.15,-99.0
2458081.9,ATLAS-c,20.28,-99.0
2458097.89,ATLAS-o,20.21,-99.0
2458158.77,ATLAS-o,20.09,0.32
2458161.79,ATLAS-c,20.21,-99.0
2458338.11,ATLAS-c,20.51,-99.0
2458342.11,ATLAS-c,20.41,-99.0
2458348.1,ATLAS-o,20.22,-99.0
2458370.06,ATLAS-o,20.3,-99.0
2458382.1,ATLAS-o,20.14,-99.0
2458402.0,ATLAS-c,20.73,-99.0
2458406.07,ATLAS-c,20.33,-99.0
2458430.03,ATLAS-c,20.41,-99.0
2458432.01,ATLAS-o,20.08,-99.0
2458455.91,ATLAS-o,20.04,-99.0
2458465.88,ATLAS-o,20.05,-99.0
2458485.86,ATLAS-c,20.18,-99.0
2458491.84,ATLAS-o,20.1,-99.0
2458493.83,ATLAS-c,20.43,-99.0
2458495.84,ATLAS-o,20.0,-99.0
2458497.82,ATLAS-o,20.0,-99.0
2458515.79,ATLAS-o,20.16,-99.0
2458706.07,ATLAS-c,20.23,-99.0
2458752.04,ATLAS-o,20.19,-99.0
2458756.07,ATLAS-o,20.16,-99.0
2458762.09,ATLAS-c,20.35,-99.0
2458766.03,ATLAS-o,20.02,-99.0
2458779.99,ATLAS-o,20.29,-99.0
2458783.98,ATLAS-o,20.18,-99.0
2458785.9,ATLAS-c,20.03,-99.0
2458789.96,ATLAS-c,20.35,-99.0
2458790.91,ATLAS-c,20.11,-99.0
2458807.96,ATLAS-o,20.16,-99.0
2458812.0,ATLAS-o,20.35,-99.0
2458814.02,ATLAS-c,20.28,-99.0
2458815.91,ATLAS-o,20.35,-99.0
2458837.89,ATLAS-o,20.28,-99.0
2458841.86,ATLAS-c,20.46,-99.0
2458844.87,ATLAS-o,20.16,-99.0
2458845.88,ATLAS-c,20.52,-99.0
2458867.89,ATLAS-o,20.12,-99.0
2458869.83,ATLAS-c,20.49,-99.0
2458871.75,ATLAS-o,20.35,-99.0
2458873.84,ATLAS-c,20.21,-99.0
2458874.87,ATLAS-c,20.04,-99.0
2458877.8,ATLAS-o,20.25,-99.0
2458901.78,ATLAS-c,20.04,-99.0
2458903.76,ATLAS-o,20.14,-99.0
2458907.78,ATLAS-o,20.11,-99.0
2459074.08,ATLAS-o,20.06,-99.0
2459078.06,ATLAS-c,20.04,-99.0
2459080.03,ATLAS-o,20.12,-99.0
2459091.12,ATLAS-o,20.04,-99.0
2459104.06,ATLAS-o,20.25,-99.0
2459106.04,ATLAS-o,20.08,-99.0
2459108.05,ATLAS-o,20.25,-99.0
2459110.07,ATLAS-c,20.33,-99.0
2459114.03,ATLAS-c,20.12,-99.0
2459115.95,ATLAS-o,20.09,-99.0
2459118.04,ATLAS-c,20.21,-99.0
2459119.99,ATLAS-o,20.04,-99.0
2459131.94,ATLAS-o,20.25,-99.0
2459134.06,ATLAS-o,20.28,-99.0
2459138.06,ATLAS-c,20.28,-99.0
2459141.99,ATLAS-c,20.21,-99.0
2459145.98,ATLAS-c,20.3,-99.0
2459167.89,ATLAS-o,20.25,-99.0
2459169.89,ATLAS-c,20.38,-99.0
2459173.95,ATLAS-c,20.08,-99.0
2459189.91,ATLAS-o,20.06,-99.0
2459190.86,ATLAS-c,20.35,-99.0
2459191.85,ATLAS-o,20.23,-99.0
2459193.88,ATLAS-c,20.38,-99.0
2459195.88,ATLAS-c,20.52,-99.0
2459197.87,ATLAS-c,20.43,-99.0
2459206.77,ATLAS-o,20.12,-99.0
2459207.84,ATLAS-o,20.04,-99.0
2459217.83,ATLAS-o,20.06,-99.0
2459219.83,ATLAS-c,20.38,-99.0
2459221.82,ATLAS-c,20.06,-99.0
2459227.85,ATLAS-c,20.43,-99.0
2459229.8,ATLAS-c,20.03,-99.0
2459231.83,ATLAS-c,20.46,-99.0
2459248.82,ATLAS-c,20.38,-99.0
2459251.82,ATLAS-c,20.19,-99.0
2459255.77,ATLAS-c,20.16,-99.0
2459257.76,ATLAS-c,20.38,-99.0
2459277.75,ATLAS-c,20.23,-99.0
2459432.09,ATLAS-c,20.43,-99.0
2459440.12,ATLAS-c,20.12,-99.0
2459442.1,ATLAS-o,20.02,-99.0
2459445.11,ATLAS-c,20.38,-99.0
2459446.09,ATLAS-o,20.08,-99.0
2459456.03,ATLAS-o,20.06,-99.0
2459462.05,ATLAS-c,20.02,-99.0
2459466.05,ATLAS-c,20.25,-99.0
2459486.04,ATLAS-o,20.04,-99.0
2459490.03,ATLAS-o,20.21,-99.0
2459494.03,ATLAS-o,20.23,-99.0
2459502.06,ATLAS-o,20.64,-99.0
2459526.01,ATLAS-c,20.23,-99.0
2459529.89,ATLAS-o,20.02,-99.0
2459530.788,ZTF_g,20.26,0.24
2459532.774,ZTF_g,19.94,0.22
2459532.85,ATLAS-o,18.64,0.26
2459532.858,ZTF_r,19.28,0.1
2459533.729,sdssg,18.67,0.14
2459533.735,sdssi,19.0,0.13
2459533.849,sdssr,18.95,0.22
2459533.891,sdssr,19.0,0.05
2459533.893,sdssi,18.99,0.06
2459534.86,ATLAS-o,18.47,0.18
2459535.88,ATLAS-o,18.48,0.17
2459537.758,sdssi,18.0,0.11
2459537.773,ZTF_g,17.93,0.12
2459537.9,ATLAS-o,17.78,0.03
2459539.93,ATLAS-o,17.3,0.04
2459540.856,ZTF_g,17.39,0.03
2459541.89,ATLAS-o,17.01,0.03
2459543.94,ATLAS-o,16.98,0.02
2459545.88,ATLAS-o,16.98,0.02
2459546.91,ATLAS-o,17.0,0.01
2459547.5,H,15.97,0.07
2459547.5,J,16.25,0.04
2459547.5,Ks,15.79,0.04
2459547.819,sdssg,17.21,0.05
2459547.822,sdssr,17.1,0.03
2459547.825,sdssi,17.03,0.03
2459547.93,ATLAS-o,17.04,0.02
2459550.729,sdssg,17.43,0.03
2459550.732,sdssr,17.27,0.03
2459550.735,sdssi,17.22,0.03
2459551.95,ATLAS-o,17.39,0.02
2459554.647,sdssr,17.57,0.11
2459554.682,sdssr,17.6,0.04
2459554.685,sdssi,17.51,0.04
2459556.757,sdssg,18.02,0.11
2459556.759,sdssr,17.78,0.07
2459556.762,sdssi,17.85,0.09
2459559.85,ATLAS-o,18.14,0.06
2459560.86,ATLAS-o,18.22,0.06
2459561.722,sdssr,18.27,0.05
2459561.754,sdssg,18.48,0.04
2459561.757,sdssr,18.24,0.04
2459561.76,sdssi,18.26,0.03
2459563.86,ATLAS-o,18.26,0.18
2459568.609,sdssr,18.63,0.09
2459568.644,sdssg,18.87,0.12
2459568.647,sdssr,18.62,0.04
2459568.65,sdssi,18.57,0.03
2459568.763,sdssg,19.11,0.09
2459568.766,sdssr,18.58,0.03
2459568.768,sdssi,18.64,0.09
2459569.89,ATLAS-o,18.52,0.11
2459583.735,sdssg,19.0,0.08
2459583.737,sdssr,18.57,0.04
2459583.74,sdssi,18.45,0.04
2459583.743,sdssr,18.66,0.07
2459583.775,sdssr,18.62,0.04
2459583.779,sdssg,19.12,0.1
2459583.783,sdssi,18.47,0.03
2459587.83,ATLAS-o,18.61,0.09
2459589.741,sdssr,18.57,0.12
2459589.743,sdssi,18.54,0.18
2459589.86,ATLAS-o,18.56,0.08
2459591.771,sdssi,18.48,0.08
2459591.81,ATLAS-o,18.58,0.11
2459595.82,ATLAS-o,18.52,0.11
2459599.5,H,16.91,0.05
2459599.5,Ks,16.77,0.08
2459599.5,J,17.22,0.05
2459599.743,sdssg,18.89,0.19
2459599.746,sdssr,18.35,0.07
2459599.748,sdssi,18.33,0.12
2459599.79,ATLAS-o,18.44,0.09
2459600.715,sdssr,18.38,0.03
2459600.72,sdssi,18.2,0.03
2459600.84,ATLAS-o,18.29,0.1
2459601.81,ATLAS-o,18.29,0.06
2459603.649,sdssr,18.41,0.05
2459603.681,sdssr,18.31,0.02
2459603.685,sdssg,18.81,0.07
2459603.689,sdssi,18.13,0.03
2459603.84,ATLAS-o,18.21,0.04
2459605.72,ATLAS-o,18.25,0.07
2459608.684,sdssr,18.42,0.11
2459608.687,sdssi,18.13,0.21
2459614.702,sdssr,18.37,0.25
2459614.704,sdssi,18.07,0.06
2459616.68,sdssr,18.32,0.1
2459616.682,sdssi,17.97,0.09
2459617.645,sdssr,18.25,0.09
2459617.651,sdssi,18.05,0.08
2459619.714,sdssr,18.35,0.17
2459619.719,sdssi,18.23,0.13
2459621.646,sdssr,18.2,0.06
2459621.648,sdssg,18.95,0.17
2459621.659,sdssi,18.01,0.03
