wavelength_A,flux,flux_err
3.80034000e+03,8.03217587e-17,
3.80148622e+03,3.05053569e-16,
3.80263244e+03,8.60588585e-17,
3.80377866e+03,5.09982920e-17,
3.80492488e+03,6.09522262e-17,
3.80607110e+03,2.49265220e-17,
3.80721732e+03,1.95297091e-16,
3.80836354e+03,1.26402144e-16,
3.80950976e+03,2.32291401e-16,
3.81065599e+03,5.28792246e-17,
3.81180221e+03,-9.28705386e-17,
3.81294843e+03,-4.29490901e-17,
3.81409465e+03,7.88021986e-19,
3.81524087e+03,-1.37241390e-17,
3.81638709e+03,-5.98140852e-17,
3.81753331e+03,5.98848588e-17,
3.81867953e+03,3.94812347e-17,
3.81982575e+03,-5.50488797e-17,
3.82097197e+03,1.12865544e-17,
3.82211819e+03,-2.31342879e-17,
3.82326441e+03,2.94787053e-17,
3.82441063e+03,8.05552553e-17,
3.82555685e+03,-5.82024793e-18,
3.82670307e+03,-6.97390416e-17,
3.82784929e+03,1.36943112e-16,
3.82899551e+03,6.57619572e-17,
3.83014173e+03,8.07563991e-17,
3.83128796e+03,1.94324562e-17,
3.83243418e+03,2.10514012e-16,
3.83358040e+03,4.19409985e-17,
3.83472662e+03,3.62402517e-17,
3.83587284e+03,1.43413557e-16,
3.83701906e+03,1.91669527e-17,
3.83816528e+03,3.48146158e-17,
3.83931150e+03,1.13866467e-16,
3.84045772e+03,3.08608348e-17,
3.84160394e+03,2.95979418e-17,
3.84275016e+03,5.04463541e-17,
3.84389638e+03,1.27683308e-16,
3.84504260e+03,9.08814869e-17,
3.84618882e+03,1.63996272e-16,
3.84733504e+03,7.57365775e-17,
3.84848126e+03,9.53330950e-18,
3.84962748e+03,1.26557509e-16,
3.85077370e+03,2.83679698e-16,
3.85191993e+03,9.60722834e-17,
3.85306615e+03,9.82157533e-17,
3.85421237e+03,3.53055145e-17,
3.85535859e+03,-3.45827803e-17,
3.85650481e+03,1.69024961e-16,
3.85765103e+03,1.60047008e-16,
3.85879725e+03,1.86603939e-16,
