wavelength_A,flux,flux_err
3.60000000e+03,2.02393652e-16,
3.60200000e+03,3.51208414e-17,
3.60400000e+03,2.15917777e-16,
3.60600000e+03,5.36698770e-17,
3.60800000e+03,2.51458830e-16,
3.61000000e+03,5.77235748e-17,
3.61200000e+03,2.32070087e-16,
3.61400000e+03,1.59484578e-16,
3.61600000e+03,-5.58124303e-17,
3.61800000e+03,3.67347998e-17,
3.62000000e+03,7.50500771e-17,
3.62200000e+03,2.41199828e-17,
3.62400000e+03,3.44137741e-17,
3.62600000e+03,8.50494599e-17,
3.62800000e+03,1.91419110e-16,
3.63000000e+03,-2.66903572e-17,
3.63200000e+03,1.13604377e-16,
3.63400000e+03,-2.07791807e-17,
3.63600000e+03,5.75885260e-17,
3.63800000e+03,5.39705869e-17,
3.64000000e+03,-4.69525715e-17,
3.64200000e+03,8.05590934e-17,
3.64400000e+03,3.62467500e-17,
3.64600000e+03,1.75921613e-17,
3.64800000e+03,7.30608004e-17,
3.65000000e+03,5.69309505e-17,
3.65200000e+03,-2.63535343e-17,
3.65400000e+03,2.29394075e-17,
3.65600000e+03,7.04818034e-17,
3.65800000e+03,3.35641669e-17,
3.66000000e+03,7.57637355e-17,
3.66200000e+03,3.24230514e-17,
3.66400000e+03,3.66345786e-17,
3.66600000e+03,-1.50632021e-17,
3.66800000e+03,4.80048850e-18,
3.67000000e+03,2.99810455e-17,
3.67200000e+03,8.39363990e-17,
3.67400000e+03,1.66278507e-17,
3.67600000e+03,8.00743507e-18,
3.67800000e+03,3.74557903e-17,
3.68000000e+03,3.26142856e-17,
3.68200000e+03,1.46672126e-17,
3.68400000e+03,5.30835118e-17,
3.68600000e+03,2.95586143e-17,
3.68800000e+03,4.95712301e-17,
3.69000000e+03,4.02265608e-17,
3.69200000e+03,-1.96332129e-17,
3.69400000e+03,5.55195488e-17,
3.69600000e+03,3.37206761e-17,
3.69800000e+03,6.09120583e-17,
3.70000000e+03,5.91382787e-17,
3.70200000e+03,1.23297583e-16,
3.70400000e+03,2.44559323e-17,
3.70600000e+03,-8.76187424e-18,
3.70800000e+03,-1.47089521e-17,
3.71000000e+03,5.82025058e-17,
3.71200000e+03,-1.31529938e-18,
3.71400000e+03,5.10727714e-17,
3.71600000e+03,4.71092064e-17,
3.71800000e+03,1.19272827e-17,
3.72000000e+03,1.41958368e-16,
3.72200000e+03,2.65686389e-16,
3.72400000e+03,3.73440918e-16,
3.72600000e+03,3.12578504e-16,
3.72800000e+03,4.58891164e-16,
3.73000000e+03,2.40418602e-16,
3.73200000e+03,3.69245987e-16,
3.73400000e+03,1.43812258e-16,
3.73600000e+03,2.02229745e-17,
3.73800000e+03,3.18893346e-17,
3.74000000e+03,-2.22681438e-17,
3.74200000e+03,3.15038089e-17,
3.74400000e+03,1.13110125e-17,
3.74600000e+03,1.40872630e-17,
3.74800000e+03,4.72625459e-17,
3.75000000e+03,1.64706764e-17,
3.75200000e+03,2.38403544e-17,
3.75400000e+03,5.39641978e-17,
3.75600000e+03,-9.57759427e-18,
3.75800000e+03,2.86574804e-17,
3.76000000e+03,-6.27568282e-18,
3.76200000e+03,1.34586850e-20,
3.76400000e+03,1.69222972e-17,
3.76600000e+03,3.31969682e-17,
3.76800000e+03,6.95348785e-18,
3.77000000e+03,9.58048030e-18,
3.77200000e+03,2.97256452e-17,
3.77400000e+03,2.06906078e-17,
3.77600000e+03,1.16192001e-17,
3.77800000e+03,6.98085016e-18,
3.78000000e+03,8.00283511e-18,
3.78200000e+03,-7.56858515e-18,
3.78400000e+03,1.39169796e-17,
3.78600000e+03,9.16854684e-18,
3.78800000e+03,1.88837807e-17,
3.79000000e+03,-9.96828573e-18,
3.79200000e+03,5.04271503e-17,
3.79400000e+03,-6.54850395e-18,
3.79600000e+03,2.43688616e-17,
3.79800000e+03,2.94570034e-17,
3.80000000e+03,9.56053615e-18,
3.80200000e+03,1.92390332e-17,
3.80400000e+03,2.32205447e-17,
3.80600000e+03,1.14013480e-17,
3.80800000e+03,-2.95529233e-17,
3.81000000e+03,1.61851519e-17,
3.81200000e+03,4.20034473e-17,
3.81400000e+03,1.66303388e-17,
3.81600000e+03,3.53419700e-17,
3.81800000e+03,4.33283905e-18,
3.82000000e+03,2.42159043e-17,
3.82200000e+03,2.54404642e-17,
3.82400000e+03,2.19697235e-17,
3.82600000e+03,5.82533623e-19,
3.82800000e+03,1.55443069e-17,
3.83000000e+03,-1.94529951e-17,
3.83200000e+03,5.81389849e-17,
3.83400000e+03,2.24336792e-17,
3.83600000e+03,2.90685032e-17,
3.83800000e+03,-3.52048358e-18,
3.84000000e+03,1.25420574e-17,
3.84200000e+03,2.06967041e-17,
3.84400000e+03,-5.57786250e-18,
3.84600000e+03,9.10340967e-18,
3.84800000e+03,7.30405940e-18,
3.85000000e+03,1.40295936e-17,
3.85200000e+03,3.46845036e-17,
3.85400000e+03,-5.06153045e-20,
3.85600000e+03,-8.33334671e-18,
3.85800000e+03,6.10169977e-17,
3.86000000e+03,9.99625767e-18,
3.86200000e+03,2.17727255e-17,
3.86400000e+03,7.31017392e-18,
3.86600000e+03,1.77471236e-17,
3.86800000e+03,3.69549556e-17,
3.87000000e+03,3.51971339e-17,
3.87200000e+03,9.08989520e-18,
3.87400000e+03,2.05891905e-17,
3.87600000e+03,1.22415584e-17,
3.87800000e+03,-1.73722487e-18,
3.88000000e+03,-1.85379613e-17,
3.88200000e+03,3.56495687e-17,
3.88400000e+03,8.31534494e-17,
3.88600000e+03,6.07992242e-17,
3.88800000e+03,6.78933105e-17,
3.89000000e+03,1.26903800e-16,
3.89200000e+03,6.51503729e-17,
3.89400000e+03,1.86429966e-17,
3.89600000e+03,1.34879310e-17,
3.89800000e+03,1.35263485e-17,
3.90000000e+03,1.65513447e-17,
3.90200000e+03,-5.31703394e-20,
3.90400000e+03,-9.65065805e-21,
3.90600000e+03,1.52803023e-17,
3.90800000e+03,2.53270891e-17,
3.91000000e+03,-1.70425511e-17,
3.91200000e+03,1.97081125e-17,
3.91400000e+03,2.13873619e-17,
3.91600000e+03,2.90732909e-17,
3.91800000e+03,-7.89415020e-18,
