wavelength_A,flux,flux_err
4.00000000e+03,1.86069995e-01,
4.00191000e+03,2.17680007e-01,
4.00382000e+03,6.44820035e-02,
4.00573000e+03,3.74919996e-02,
4.00764000e+03,3.56160015e-01,
4.00955000e+03,3.95319998e-01,
4.01146000e+03,6.34820014e-02,
4.01337000e+03,3.16469997e-01,
4.01528000e+03,3.46810013e-01,
4.01719000e+03,1.93000004e-01,
4.01910000e+03,2.03540009e-02,
4.02101000e+03,1.69090003e-01,
4.02292000e+03,3.62500012e-01,
4.02483000e+03,2.21919999e-01,
4.02674000e+03,8.11040029e-02,
4.02865000e+03,-6.64839987e-03,
4.03056000e+03,-5.64979985e-02,
4.03247000e+03,1.53170004e-01,
4.03438000e+03,4.31899995e-01,
4.03629000e+03,4.71549988e-01,
4.03820000e+03,2.05779999e-01,
4.04011000e+03,4.12140004e-02,
4.04202000e+03,-8.11709985e-02,
4.04393000e+03,-9.40570012e-02,
4.04584000e+03,1.18460000e-01,
4.04775000e+03,6.06370009e-02,
4.04966000e+03,-8.97459984e-02,
4.05157000e+03,-7.43229985e-02,
4.05348000e+03,-1.48330003e-01,
4.05539000e+03,-6.76280037e-02,
4.05730000e+03,5.06570004e-02,
4.05921000e+03,-5.95149994e-02,
4.06112000e+03,-2.14340001e-01,
4.06303000e+03,6.13609999e-02,
4.06494000e+03,1.80920005e-01,
4.06685000e+03,-3.66090015e-02,
4.06876000e+03,-1.71750002e-02,
4.07067000e+03,-2.26270005e-01,
4.07258000e+03,-1.67319998e-01,
4.07449000e+03,-1.06600001e-01,
4.07640000e+03,4.14980017e-03,
4.07831000e+03,7.40860030e-02,
4.08022000e+03,-4.29800004e-02,
4.08213000e+03,-1.38950003e-02,
4.08404000e+03,1.00589998e-01,
4.08595000e+03,4.04199993e-04,
4.08786000e+03,-6.16840012e-02,
4.08977000e+03,1.53510004e-01,
4.09168000e+03,3.21919993e-02,
4.09359000e+03,-3.19369994e-02,
4.09550000e+03,1.26599997e-01,
4.09741000e+03,-8.41989964e-02,
4.09932000e+03,5.01790009e-02,
4.10123000e+03,3.79779994e-01,
4.10314000e+03,8.57020020e-02,
4.10505000e+03,1.65049993e-02,
4.10696000e+03,-8.31909999e-02,
4.10887000e+03,-9.87579972e-02,
4.11078000e+03,1.64770000e-02,
4.11269000e+03,-6.95929974e-02,
4.11460000e+03,-2.03970005e-03,
4.11651000e+03,2.20449999e-01,
4.11842000e+03,-3.89030017e-02,
4.12033000e+03,-1.40570002e-02,
4.12224000e+03,-7.14170001e-03,
4.12415000e+03,9.72060021e-03,
4.12606000e+03,9.33870003e-02,
4.12797000e+03,9.37680006e-02,
4.12988000e+03,-1.21660002e-01,
4.13179000e+03,-1.94539994e-01,
4.13370000e+03,-9.43830013e-02,
4.13561000e+03,1.01870000e-01,
4.13752000e+03,9.91469994e-02,
4.13943000e+03,3.87400016e-02,
4.14134000e+03,-4.59909998e-03,
4.14325000e+03,-1.04640000e-01,
4.14516000e+03,2.10280009e-02,
4.14707000e+03,-4.48499992e-02,
4.14898000e+03,-1.57210007e-01,
4.15089000e+03,2.74449994e-04,
4.15280000e+03,3.90830003e-02,
4.15471000e+03,6.05010018e-02,
4.15662000e+03,-3.31539996e-02,
4.15853000e+03,9.12949964e-02,
4.16044000e+03,3.00319996e-02,
4.16235000e+03,1.42900003e-02,
4.16426000e+03,-8.31049979e-02,
4.16617000e+03,-1.61910001e-02,
4.16808000e+03,1.34489998e-01,
4.16999000e+03,5.04150018e-02,
4.17190000e+03,-7.08360001e-02,
4.17381000e+03,1.15209997e-01,
4.17572000e+03,5.94019983e-03,
4.17763000e+03,-9.58020017e-02,
4.17954000e+03,-2.04189997e-02,
4.18145000e+03,8.37389976e-02,
4.18336000e+03,8.37600008e-02,
4.18527000e+03,6.14859983e-02,
4.18718000e+03,-1.14919998e-01,
4.18909000e+03,-1.07129999e-01,
4.19100000e+03,-6.33599982e-02,
4.19291000e+03,-2.76790000e-02,
4.19482000e+03,-3.76520003e-03,
4.19673000e+03,1.35639995e-01,
4.19864000e+03,1.01999998e-01,
4.20055000e+03,-7.01740012e-02,
4.20246000e+03,2.79660001e-02,
4.20437000e+03,5.96189983e-02,
4.20628000e+03,-1.02959998e-01,
4.20819000e+03,-6.86039999e-02,
4.21010000e+03,3.13239992e-02,
4.21201000e+03,2.91150007e-02,
4.21392000e+03,9.52190012e-02,
4.21583000e+03,1.34890005e-01,
4.21774000e+03,4.34430018e-02,
4.21965000e+03,-7.10429996e-02,
4.22156000e+03,-1.94789991e-02,
4.22347000e+03,3.37009989e-02,
4.22538000e+03,5.01889996e-02,
4.22729000e+03,-4.92569990e-02,
4.22920000e+03,5.60650006e-02,
4.23111000e+03,7.88469985e-02,
4.23302000e+03,5.18479990e-03,
4.23493000e+03,-4.48880009e-02,
4.23684000e+03,-2.93860007e-02,
4.23875000e+03,4.51710001e-02,
4.24066000e+03,3.17009985e-02,
4.24257000e+03,3.46660017e-05,
4.24448000e+03,-3.53699997e-02,
4.24639000e+03,1.38839995e-02,
4.24830000e+03,2.06289999e-02,
4.25021000e+03,-2.34730002e-02,
4.25212000e+03,-2.15550009e-02,
4.25403000e+03,1.87309999e-02,
4.25594000e+03,3.58869992e-02,
4.25785000e+03,6.82510028e-04,
4.25976000e+03,2.95179989e-03,
4.26167000e+03,1.06950000e-01,
4.26358000e+03,1.35560006e-01,
4.26549000e+03,7.83160031e-02,
4.26740000e+03,-3.99079993e-02,
4.26931000e+03,-1.31479993e-01,
4.27122000e+03,-8.83420035e-02,
4.27313000e+03,9.29389969e-02,
4.27504000e+03,1.67699993e-01,
4.27695000e+03,7.90549964e-02,
4.27886000e+03,2.32519992e-02,
4.28077000e+03,5.47350012e-02,
4.28268000e+03,1.18550003e-01,
4.28459000e+03,7.73570016e-02,
4.28650000e+03,1.77020002e-02,
4.28841000e+03,-4.18069996e-02,
4.29032000e+03,2.49749999e-02,
4.29223000e+03,5.99629991e-02,
4.29414000e+03,2.91910004e-02,
4.29605000e+03,6.19830005e-02,
4.29796000e+03,1.06360003e-01,
4.29987000e+03,7.09350035e-02,
4.30178000e+03,1.55779999e-02,
4.30369000e+03,-9.83680040e-03,
4.30560000e+03,-4.54460010e-02,
4.30751000e+03,-5.40950000e-02,
4.30942000e+03,-1.58879999e-02,
4.31133000e+03,4.13039997e-02,
4.31324000e+03,3.54779996e-02,
4.31515000e+03,-5.45599982e-02,
4.31706000e+03,-5.84070012e-02,
4.31897000e+03,-3.97929996e-02,
4.32088000e+03,-7.07070008e-02,
4.32279000e+03,-2.04000007e-02,
4.32470000e+03,3.66769992e-02,
4.32661000e+03,-5.54820010e-03,
4.32852000e+03,-1.48630003e-02,
4.33043000e+03,-9.41439997e-03,
4.33234000e+03,2.24140007e-02,
4.33425000e+03,5.95579995e-03,
4.33616000e+03,-2.71270005e-03,
4.33807000e+03,5.68349995e-02,
4.33998000e+03,1.04010001e-01,
4.34189000e+03,1.02830000e-01,
4.34380000e+03,-3.27310003e-02,
4.34571000e+03,-2.51419991e-02,
4.34762000e+03,1.06060002e-02,
4.34953000e+03,-2.75580008e-02,
4.35144000e+03,-1.33140003e-02,
4.35335000e+03,-4.57629998e-04,
4.35526000e+03,3.46140005e-02,
4.35717000e+03,4.32780012e-02,
4.35908000e+03,4.75709997e-02,
4.36099000e+03,4.42939997e-02,
4.36290000e+03,2.92000007e-02,
4.36481000e+03,5.93050011e-02,
4.36672000e+03,3.98450010e-02,
4.36863000e+03,-1.14179999e-02,
4.37054000e+03,2.44229995e-02,
4.37245000e+03,-1.08500002e-02,
4.37436000e+03,-9.55929980e-03,
4.37627000e+03,4.86299992e-02,
4.37818000e+03,4.50999998e-02,
4.38009000e+03,-1.16609996e-02,
4.38200000e+03,-2.52560005e-02,
4.38391000e+03,2.08740006e-03,
4.38582000e+03,6.85770006e-04,
4.38773000e+03,3.07390001e-02,
4.38964000e+03,8.06270018e-02,
4.39155000e+03,-1.00499997e-02,
4.39346000e+03,-3.23599987e-02,
4.39537000e+03,2.91850008e-02,
4.39728000e+03,5.17800003e-02,
4.39919000e+03,6.57169987e-03,
4.40110000e+03,-1.78939998e-02,
4.40301000e+03,-1.32409995e-02,
4.40492000e+03,2.04280000e-02,
4.40683000e+03,-2.40909997e-02,
4.40874000e+03,-4.26289998e-02,
4.41065000e+03,-1.83499996e-02,
4.41256000e+03,-2.22180001e-02,
4.41447000e+03,1.24319997e-02,
4.41638000e+03,1.74599998e-02,
4.41829000e+03,-3.46189998e-02,
4.42020000e+03,1.99669991e-02,
4.42211000e+03,3.34089994e-02,
4.42402000e+03,-1.67909991e-02,
4.42593000e+03,3.81570007e-03,
4.42784000e+03,7.98549969e-03,
4.42975000e+03,7.79710012e-03,
4.43166000e+03,4.07689996e-02,
4.43357000e+03,8.75370018e-03,
4.43548000e+03,4.67929989e-02,
4.43739000e+03,5.50949983e-02,
4.43930000e+03,3.22350003e-02,
4.44121000e+03,-5.45849977e-03,
4.44312000e+03,-2.25610007e-02,
4.44503000e+03,5.94840012e-03,
4.44694000e+03,-8.22889991e-03,
4.44885000e+03,3.49600017e-02,
4.45076000e+03,5.47830015e-02,
4.45267000e+03,-3.65439989e-02,
4.45458000e+03,-3.02290004e-02,
4.45649000e+03,7.91249971e-04,
4.45840000e+03,2.99280006e-02,
4.46031000e+03,9.53560043e-03,
4.46222000e+03,-8.89919978e-03,
4.46413000e+03,-3.36410012e-04,
4.46604000e+03,-1.67549995e-03,
4.46795000e+03,3.39079984e-02,
4.46986000e+03,6.87419996e-02,
4.47177000e+03,2.64819991e-02,
4.47368000e+03,1.94489993e-02,
4.47559000e+03,1.60099994e-02,
4.47750000e+03,-8.89940001e-03,
4.47941000e+03,-4.08740006e-02,
4.48132000e+03,3.00909998e-03,
4.48323000e+03,1.33849997e-02,
4.48514000e+03,4.99439985e-03,
4.48705000e+03,-1.44090003e-03,
4.48896000e+03,-7.40499981e-03,
4.49087000e+03,-8.54729954e-03,
4.49278000e+03,1.01490002e-02,
4.49469000e+03,7.30639994e-02,
4.49660000e+03,3.49589996e-02,
4.49851000e+03,-1.90839991e-02,
4.50042000e+03,-3.41029987e-02,
4.50233000e+03,3.00280005e-02,
4.50424000e+03,4.58769985e-02,
4.50615000e+03,1.54269999e-02,
4.50806000e+03,-1.74449999e-02,
4.50997000e+03,1.09460000e-02,
4.51188000e+03,2.90789995e-02,
4.51379000e+03,9.75039974e-03,
4.51570000e+03,-1.20239996e-03,
4.51761000e+03,3.26929986e-02,
