wavelength_A,flux_bb_rel,teff_K
3500.0,1341110.12009998,5530.0
3502.0,1342977.6346626657,5530.0
3504.0,1344843.4359204322,5530.0
3506.0,1346707.5181961986,5530.0
3508.0,1348569.8758363996,5530.0
3510.0,1350430.5032109697,5530.0
3512.0,1352289.3947133247,5530.0
3514.0,1354146.544760347,5530.0
3516.0,1356001.9477923706,5530.0
3518.0,1357855.5982731567,5530.0
3520.0,1359707.4906898874,5530.0
3522.0,1361557.6195531406,5530.0
3524.0,1363405.9793968685,5530.0
3526.0,1365252.5647783906,5530.0
3528.0,1367097.3702783696,5530.0
3530.0,1368940.390500786,5530.0
3532.0,1370781.6200729315,5530.0
3534.0,1372621.0536453794,5530.0
3536.0,1374458.6858919745,5530.0
3538.0,1376294.5115098038,5530.0
3540.0,1378128.5252191804,5530.0
3542.0,1379960.72176363,5530.0
3544.0,1381791.095909859,5530.0
3546.0,1383619.6424477415,5530.0
3548.0,1385446.3561902929,5530.0
3550.0,1387271.231973657,5530.0
3552.0,1389094.264657075,5530.0
3554.0,1390915.4491228713,5530.0
3556.0,1392734.7802764254,5530.0
3558.0,1394552.2530461533,5530.0
3560.0,1396367.8623834904,5530.0
3562.0,1398181.6032628538,5530.0
3564.0,1399993.470681634,5530.0
3566.0,1401803.4596601706,5530.0
3568.0,1403611.565241715,5530.0
3570.0,1405417.7824924253,5530.0
3572.0,1407222.1065013304,5530.0
3574.0,1409024.5323803078,5530.0
3576.0,1410825.0552640706,5530.0
3578.0,1412623.6703101196,5530.0
3580.0,1414420.3726987464,5530.0
3582.0,1416215.1576329854,5530.0
3584.0,1418008.0203386035,5530.0
3586.0,1419798.9560640666,5530.0
3588.0,1421587.9600805242,5530.0
3590.0,1423375.027681764,5530.0
3592.0,1425160.1541842122,5530.0
3594.0,1426943.3349268823,5530.0
3596.0,1428724.5652713694,5530.0
3598.0,1430503.8406018117,5530.0
3600.0,1432281.1563248637,5530.0
3602.0,1434056.5078696772,5530.0
3604.0,1435829.8906878629,5530.0
3606.0,1437601.300253477,5530.0
3608.0,1439370.7320629836,5530.0
3610.0,1441138.1816352238,5530.0
3612.0,1442903.6445114007,5530.0
3614.0,1444667.1162550459,5530.0
3616.0,1446428.5924519787,5530.0
3618.0,1448188.0687102997,5530.0
3620.0,1449945.5406603476,5530.0
3622.0,1451701.0039546695,5530.0
3624.0,1453454.454268002,5530.0
3626.0,1455205.8872972336,5530.0
3628.0,1456955.2987613739,5530.0
3630.0,1458702.6844015364,5530.0
3632.0,1460448.0399808926,5530.0
3634.0,1462191.3612846558,5530.0
3636.0,1463932.6441200424,5530.0
3638.0,1465671.8843162418,5530.0
3640.0,1467409.0777243942,5530.0
3642.0,1469144.220217548,5530.0
3644.0,1470877.30769064,5530.0
3646.0,1472608.3360604632,5530.0
3648.0,1474337.3012656197,5530.0
3650.0,1476064.1992665173,5530.0
3652.0,1477789.0260453145,5530.0
3654.0,1479511.7776058975,5530.0
3656.0,1481232.4499738489,5530.0
3658.0,1482951.0391964214,5530.0
3660.0,1484667.5413424904,5530.0
3662.0,1486381.9525025336,5530.0
3664.0,1488094.2687886057,5530.0
3666.0,1489804.4863342769,5530.0
3668.0,1491512.6012946432,5530.0
3670.0,1493218.6098462462,5530.0
3672.0,1494922.5081870863,5530.0
3674.0,1496624.2925365528,5530.0
3676.0,1498323.959135409,5530.0
3678.0,1500021.504245756,5530.0
3680.0,1501716.9241509968,5530.0
3682.0,1503410.2151558052,5530.0
3684.0,1505101.3735860912,5530.0
3686.0,1506790.395788968,5530.0
3688.0,1508477.278132714,5530.0
3690.0,1510162.0170067428,5530.0
3692.0,1511844.608821559,5530.0
3694.0,1513525.050008749,5530.0
3696.0,1515203.3370209157,5530.0
3698.0,1516879.4663316638,5530.0
3700.0,1518553.4344355548,5530.0
3702.0,1520225.2378480781,5530.0
3704.0,1521894.873105613,5530.0
3706.0,1523562.336765395,5530.0
3708.0,1525227.625405477,5530.0
3710.0,1526890.7356246992,5530.0
3712.0,1528551.66404265,5530.0
3714.0,1530210.40729963,5530.0
3716.0,1531866.9620566163,5530.0
3718.0,1533521.324995228,5530.0
3720.0,1535173.4928176922,5530.0
3722.0,1536823.4622467982,5530.0
3724.0,1538471.2300258763,5530.0
3726.0,1540116.7929187454,5530.0
3728.0,1541760.14770969,5530.0
3730.0,1543401.2912034125,5530.0
3732.0,1545040.2202250056,5530.0
3734.0,1546676.9316199136,5530.0
3736.0,1548311.4222538834,5530.0
3738.0,1549943.6890129491,5530.0
3740.0,1551573.7288033785,5530.0
3742.0,1553201.538551635,5530.0
3744.0,1554827.1152043531,5530.0
3746.0,1556450.4557282925,5530.0
3748.0,1558071.5571102947,5530.0
3750.0,1559690.4163572607,5530.0
3752.0,1561307.0304961014,5530.0
3754.0,1562921.396573701,5530.0
3756.0,1564533.5116568815,5530.0
3758.0,1566143.372832365,5530.0
3760.0,1567750.9772067384,5530.0
3762.0,1569356.3219064076,5530.0
3764.0,1570959.4040775616,5530.0
3766.0,1572560.2208861394,5530.0
3768.0,1574158.769517783,5530.0
3770.0,1575755.0471778095,5530.0
3772.0,1577349.0510911597,5530.0
3774.0,1578940.7785023723,5530.0
3776.0,1580530.2266755325,5530.0
3778.0,1582117.3928942522,5530.0
3780.0,1583702.274461596,5530.0
3782.0,1585284.8687000875,5530.0
3784.0,1586865.1729516305,5530.0
3786.0,1588443.1845774965,5530.0
3788.0,1590018.9009582712,5530.0
3790.0,1591592.3194938172,5530.0
3792.0,1593163.4376032401,5530.0
3794.0,1594732.252724841,5530.0
3796.0,1596298.7623160859,5530.0
3798.0,1597862.9638535553,5530.0
3800.0,1599424.8548329228,5530.0
3802.0,1600984.4327688843,5530.0
3804.0,1602541.695195156,5530.0
3806.0,1604096.639664396,5530.0
3808.0,1605649.2637482032,5530.0
3810.0,1607199.5650370421,5530.0
3812.0,1608747.5411402269,5530.0
3814.0,1610293.189685868,5530.0
3816.0,1611836.5083208375,5530.0
3818.0,1613377.4947107257,5530.0
3820.0,1614916.146539811,5530.0
3822.0,1616452.4615109998,5530.0
3824.0,1617986.4373457998,5530.0
3826.0,1619518.0717842865,5530.0
3828.0,1621047.3625850389,5530.0
3830.0,1622574.3075251246,5530.0
3832.0,1624098.90440004,5530.0
3834.0,1625621.151023681,5530.0
3836.0,1627141.0452282948,5530.0
3838.0,1628658.584864447,5530.0
3840.0,1630173.7678009684,5530.0
3842.0,1631686.59192493,5530.0
3844.0,1633197.0551415887,5530.0
3846.0,1634705.1553743493,5530.0
3848.0,1636210.8905647353,5530.0
3850.0,1637714.2586723203,5530.0
3852.0,1639215.2576747222,5530.0
3854.0,1640713.8855675322,5530.0
3856.0,1642210.14036429,5530.0
3858.0,1643704.020096434,5530.0
3860.0,1645195.52281327,5530.0
3862.0,1646684.6465819136,5530.0
3864.0,1648171.389487267,5530.0
3866.0,1649655.7496319653,5530.0
3868.0,1651137.7251363366,5530.0
3870.0,1652617.31413837,5530.0
3872.0,1654094.5147936563,5530.0
3874.0,1655569.3252753648,5530.0
3876.0,1657041.7437741873,5530.0
3878.0,1658511.7684983076,5530.0
3880.0,1659979.39767335,5530.0
3882.0,1661444.6295423454,5530.0
3884.0,1662907.462365684,5530.0
3886.0,1664367.8944210752,5530.0
3888.0,1665825.9240035098,5530.0
3890.0,1667281.5494252096,5530.0
3892.0,1668734.7690155932,5530.0
3894.0,1670185.581121231,5530.0
3896.0,1671633.9841058066,5530.0
3898.0,1673079.9763500616,5530.0
3900.0,1674523.5562517738,5530.0
3902.0,1675964.722225704,5530.0
3904.0,1677403.4727035484,5530.0
3906.0,1678839.8061339087,5530.0
3908.0,1680273.7209822428,5530.0
3910.0,1681705.2157308229,5530.0
3912.0,1683134.2888786928,5530.0
3914.0,1684560.9389416387,5530.0
3916.0,1685985.164452119,5530.0
3918.0,1687406.9639592553,5530.0
3920.0,1688826.3360287582,5530.0
3922.0,1690243.2792429135,5530.0
3924.0,1691657.7922005218,5530.0
3926.0,1693069.8735168613,5530.0
3928.0,1694479.5218236484,5530.0
3930.0,1695886.7357689887,5530.0
3932.0,1697291.5140173445,5530.0
3934.0,1698693.855249481,5530.0
3936.0,1700093.7581624342,5530.0
3938.0,1701491.2214694575,5530.0
3940.0,1702886.2439000024,5530.0
3942.0,1704278.8241996348,5530.0
3944.0,1705668.9611300416,5530.0
3946.0,1707056.6534689507,5530.0
3948.0,1708441.9000101057,5530.0
3950.0,1709824.6995632178,5530.0
3952.0,1711205.0509539312,5530.0
3954.0,1712582.953023771,5530.0
3956.0,1713958.4046301076,5530.0
3958.0,1715331.4046461103,5530.0
3960.0,1716701.9519606996,5530.0
3962.0,1718070.0454785316,5530.0
3964.0,1719435.6841199102,5530.0
3966.0,1720798.8668207931,5530.0
3968.0,1722159.5925327048,5530.0
3970.0,1723517.8602227364,5530.0
3972.0,1724873.668873467,5530.0
3974.0,1726227.0174829478,5530.0
3976.0,1727577.9050646396,5530.0
3978.0,1728926.3306473882,5530.0
3980.0,1730272.2932753647,5530.0
3982.0,1731615.7920080388,5530.0
3984.0,1732956.825920132,5530.0
3986.0,1734295.3941015615,5530.0
3988.0,1735631.4956574182,5530.0
3990.0,1736965.1297079166,5530.0
3992.0,1738296.2953883419,5530.0
3994.0,1739624.9918490266,5530.0
3996.0,1740951.2182552936,5530.0
3998.0,1742274.9737874188,5530.0
4000.0,1743596.257640589,5530.0
4002.0,1744915.0690248609,5530.0
4004.0,1746231.4071651185,5530.0
4006.0,1747545.271301026,5530.0
4008.0,1748856.660686987,5530.0
4010.0,1750165.5745921182,5530.0
4012.0,1751472.0123001721,5530.0
4014.0,1752775.9731095356,5530.0
4016.0,1754077.4563331571,5530.0
4018.0,1755376.4612985197,5530.0
4020.0,1756672.9873475947,5530.0
4022.0,1757967.0338367966,5530.0
4024.0,1759258.6001369492,5530.0
4026.0,1760547.6856332337,5530.0
4028.0,1761834.2897251514,5530.0
4030.0,1763118.4118264818,5530.0
4032.0,1764400.0513652493,5530.0
4034.0,1765679.2077836532,5530.0
4036.0,1766955.8805380622,5530.0
4038.0,1768230.0690989476,5530.0
4040.0,1769501.7729508437,5530.0
4042.0,1770770.9915923213,5530.0
4044.0,1772037.7245359255,5530.0
4046.0,1773301.9713081475,5530.0
4048.0,1774563.731449379,5530.0
4050.0,1775823.0045138674,5530.0
4052.0,1777079.7900696767,5530.0
4054.0,1778334.087698654,5530.0
4056.0,1779585.8969963638,5530.0
4058.0,1780835.217572071,5530.0
4060.0,1782082.0490486922,5530.0
4062.0,1783326.3910627428,5530.0
4064.0,1784568.2432643129,5530.0
4066.0,1785807.6053170112,5530.0
4068.0,1787044.4768979321,5530.0
4070.0,1788278.8576976063,5530.0
4072.0,1789510.7474199706,5530.0
4074.0,1790740.1457823128,5530.0
4076.0,1791967.0525152471,5530.0
4078.0,1793191.4673626476,5530.0
4080.0,1794413.3900816392,5530.0
4082.0,1795632.8204425185,5530.0
4084.0,1796849.7582287546,5530.0
4086.0,1798064.203236913,5530.0
4088.0,1799276.1552766282,5530.0
4090.0,1800485.6141705622,5530.0
