wavelength_A,flux_pickles,sptype,teff_K
1150.0,0.0,G0I,5508.08
1155.0,0.0,G0I,5508.08
1160.0,0.0,G0I,5508.08
1165.0,0.0,G0I,5508.08
1170.0,0.0,G0I,5508.08
1175.0,0.0,G0I,5508.08
1180.0,0.0,G0I,5508.08
1185.0,0.0,G0I,5508.08
1190.0,0.0,G0I,5508.08
1195.0,0.0,G0I,5508.08
1200.0,0.0,G0I,5508.08
1205.0,0.0,G0I,5508.08
1210.0,0.0,G0I,5508.08
1215.0,0.0,G0I,5508.08
1220.0,0.0,G0I,5508.08
1225.0,0.0,G0I,5508.08
1230.0,0.0,G0I,5508.08
1235.0,0.0,G0I,5508.08
1240.0,0.0,G0I,5508.08
1245.0,0.0,G0I,5508.08
1250.0,0.0,G0I,5508.08
1255.0,0.0,G0I,5508.08
1260.0,0.0,G0I,5508.08
1265.0,0.0,G0I,5508.08
1270.0,0.0,G0I,5508.08
1275.0,0.0,G0I,5508.08
1280.0,0.0,G0I,5508.08
1285.0,0.0,G0I,5508.08
1290.0,0.0,G0I,5508.08
1295.0,0.0,G0I,5508.08
1300.0,0.0,G0I,5508.08
1305.0,0.0,G0I,5508.08
1310.0,0.0,G0I,5508.08
1315.0,0.0,G0I,5508.08
1320.0,0.0,G0I,5508.08
1325.0,0.0,G0I,5508.08
1330.0,0.0,G0I,5508.08
1335.0,0.0,G0I,5508.08
1340.0,0.0,G0I,5508.08
1345.0,0.0,G0I,5508.08
1350.0,0.0,G0I,5508.08
1355.0,0.0,G0I,5508.08
1360.0,0.0,G0I,5508.08
1365.0,0.0,G0I,5508.08
1370.0,0.0,G0I,5508.08
1375.0,0.0,G0I,5508.08
1380.0,0.0,G0I,5508.08
1385.0,0.0,G0I,5508.08
1390.0,0.0,G0I,5508.08
1395.0,0.0,G0I,5508.08
1400.0,0.0,G0I,5508.08
1405.0,0.0,G0I,5508.08
1410.0,0.0,G0I,5508.08
1415.0,0.0,G0I,5508.08
1420.0,0.0,G0I,5508.08
1425.0,0.0,G0I,5508.08
1430.0,0.0,G0I,5508.08
1435.0,0.0,G0I,5508.08
1440.0,0.0,G0I,5508.08
1445.0,0.0,G0I,5508.08
1450.0,0.0,G0I,5508.08
1455.0,0.0,G0I,5508.08
1460.0,0.0,G0I,5508.08
1465.0,0.0,G0I,5508.08
1470.0,0.0,G0I,5508.08
1475.0,0.0,G0I,5508.08
1480.0,0.0,G0I,5508.08
1485.0,0.0,G0I,5508.08
1490.0,0.0,G0I,5508.08
1495.0,0.0,G0I,5508.08
1500.0,0.0,G0I,5508.08
1505.0,0.0,G0I,5508.08
1510.0,0.0,G0I,5508.08
1515.0,0.0,G0I,5508.08
1520.0,0.0,G0I,5508.08
1525.0,0.0,G0I,5508.08
1530.0,0.0,G0I,5508.08
1535.0,0.0,G0I,5508.08
1540.0,0.0,G0I,5508.08
1545.0,0.0,G0I,5508.08
1550.0,0.0,G0I,5508.08
1555.0,0.0,G0I,5508.08
1560.0,0.0,G0I,5508.08
1565.0,0.0,G0I,5508.08
1570.0,0.0,G0I,5508.08
1575.0,0.0,G0I,5508.08
1580.0,0.0,G0I,5508.08
1585.0,0.0,G0I,5508.08
1590.0,0.0,G0I,5508.08
1595.0,0.0,G0I,5508.08
1600.0,4.625376403808205e-16,G0I,5508.08
1605.0,3.6916482579738875e-15,G0I,5508.08
1610.0,7.380413215795321e-15,G0I,5508.08
1615.0,1.1069178173616755e-14,G0I,5508.08
1620.0,1.429543264905124e-14,G0I,5508.08
1625.0,1.521762113564952e-14,G0I,5508.08
1630.0,1.7984203536103305e-14,G0I,5508.08
1635.0,1.7981381222323053e-14,G0I,5508.08
1640.0,1.428978463335895e-14,G0I,5508.08
1645.0,7.37194542742162e-15,G0I,5508.08
1650.0,9.194005835315108e-16,G0I,5508.08
1655.0,0.0,G0I,5508.08
1660.0,0.0,G0I,5508.08
1665.0,0.0,G0I,5508.08
1670.0,0.0,G0I,5508.08
1675.0,0.0,G0I,5508.08
1680.0,0.0,G0I,5508.08
1685.0,0.0,G0I,5508.08
1690.0,0.0,G0I,5508.08
1695.0,0.0,G0I,5508.08
1700.0,5.5494375743737456e-15,G0I,5508.08
1705.0,4.52226858662242e-14,G0I,5508.08
1710.0,9.594601046818141e-14,G0I,5508.08
1715.0,1.4666378192213642e-13,G0I,5508.08
1720.0,1.9092365221348023e-13,G0I,5508.08
1725.0,2.2595605399765295e-13,G0I,5508.08
1730.0,2.406951320112899e-13,G0I,5508.08
1735.0,2.3191453098203585e-13,G0I,5508.08
1740.0,1.90851905134716e-13,G0I,5508.08
1745.0,1.1289877859628136e-13,G0I,5508.08
1750.0,1.4712941965016463e-14,G0I,5508.08
1755.0,0.0,G0I,5508.08
1760.0,0.0,G0I,5508.08
1765.0,0.0,G0I,5508.08
1770.0,0.0,G0I,5508.08
1775.0,0.0,G0I,5508.08
1780.0,0.0,G0I,5508.08
1785.0,0.0,G0I,5508.08
1790.0,0.0,G0I,5508.08
1795.0,0.0,G0I,5508.08
1800.0,7.814183870281932e-14,G0I,5508.08
1805.0,6.44179371303566e-13,G0I,5508.08
1810.0,1.428150566556985e-12,G0I,5508.08
1815.0,2.35781077821684e-12,G0I,5508.08
1820.0,3.4068789456220827e-12,G0I,5508.08
1825.0,4.5555299983679465e-12,G0I,5508.08
1830.0,5.7848660757475745e-12,G0I,5508.08
1835.0,7.07319749645996e-12,G0I,5508.08
1840.0,8.398407837229005e-12,G0I,5508.08
1845.0,9.738822595584118e-12,G0I,5508.08
1850.0,1.1075070548149935e-11,G0I,5508.08
1855.0,1.2387781772593698e-11,G0I,5508.08
1860.0,1.3670529985798652e-11,G0I,5508.08
1865.0,1.4916394508457387e-11,G0I,5508.08
1870.0,1.611890482200451e-11,G0I,5508.08
1875.0,1.7275760683110875e-11,G0I,5508.08
1880.0,1.837819653405237e-11,G0I,5508.08
1885.0,1.9421613622894185e-11,G0I,5508.08
1890.0,2.040139585046674e-11,G0I,5508.08
1895.0,2.1309246034384444e-11,G0I,5508.08
1900.0,2.2146080108642607e-11,G0I,5508.08
