# wavelength_AA normalized_flux_plus_offset
# # Digitized from Rest+2012 SI Fig.S2 upper-left (lines_3.pdf)
# # Already continuum-normalized in the published figure; offset arbitrary.
5.082118611750207492e+03 3.879086119924564979e+00
5.084042400300934787e+03 3.792600064274836313e+00
5.085966188851662082e+03 4.012080340571796633e+00
5.087776813369993761e+03 3.906085147571873861e+00
5.089700601920721056e+03 3.789450203163237330e+00
5.091624390471449260e+03 3.745542238588929873e+00
5.093548179022176555e+03 3.858287570209491868e+00
5.095471967572903850e+03 3.742832869445676280e+00
5.097395756123631145e+03 3.667626309172551835e+00
5.099319544674358440e+03 3.883186435976527129e+00
5.101243333225085735e+03 3.894685795628492819e+00
5.103167121775813030e+03 3.929983936253064414e+00
5.104977746294144708e+03 4.108275541548067622e+00
5.106901534844872003e+03 4.148374052184692573e+00
5.108825323395600208e+03 3.996580672576453885e+00
5.110749111946327503e+03 4.028679329943946286e+00
5.112672900497054798e+03 3.840987763459628557e+00
5.114596689047782093e+03 3.700454793787423924e+00
5.116520477598509387e+03 3.699584497697452790e+00
5.118444266149236682e+03 3.665255897453813638e+00
5.120254890667568361e+03 3.670245595036317088e+00
5.122178679218295656e+03 3.667826324589720688e+00
5.124102467769022951e+03 3.692084682971242149e+00
5.127950044870478450e+03 4.224670009405527615e+00
5.129873833421205745e+03 4.279468126368820791e+00
5.131797621971933040e+03 4.122875140166151198e+00
5.135532035040992014e+03 3.569780599295826917e+00
5.137455823591719309e+03 3.701374712022876601e+00
5.139379612142446604e+03 3.693845124009377479e+00
5.141303400693173899e+03 3.518853009680038113e+00
5.143227189243902103e+03 3.768030994920842591e+00
5.145150977794629398e+03 3.756382005414811598e+00
5.147074766345356693e+03 3.716223948203609240e+00
5.148998554896083988e+03 3.698534798466127427e+00
5.150809179414415667e+03 3.779780755553080240e+00
5.152732967965142961e+03 3.827288997636427936e+00
5.154656756515870256e+03 3.765241466927196967e+00
5.156580545066597551e+03 3.762941289629754937e+00
5.158504333617324846e+03 3.820089206035970797e+00
5.160428122168052141e+03 3.841787825128303968e+00
5.162351910718780346e+03 3.845188087220175355e+00
5.164275699269507641e+03 3.691325082436573979e+00
5.166086323787839319e+03 3.659856244607876619e+00
5.168010112338566614e+03 3.740122736884800236e+00
5.169933900889293909e+03 3.857787531666569514e+00
5.171857689440021204e+03 4.121575039954553432e+00
5.173781477990748499e+03 3.996880695702206943e+00
5.175705266541475794e+03 3.717723300414753407e+00
5.179552843642931293e+03 3.525482528316277175e+00
5.181476632193658588e+03 3.342421089714132876e+00
5.183287256711990267e+03 3.242295814815780108e+00
5.185211045262717562e+03 3.584819926464632545e+00
5.187134833813444857e+03 3.853487200197438511e+00
5.189058622364172152e+03 4.076276891889158982e+00
5.190982410914899447e+03 4.153373674196291887e+00
5.192906199465626742e+03 4.005580602931431144e+00
5.194829988016354037e+03 3.654536750612331630e+00
5.196753776567082241e+03 3.454365596248396120e+00
5.200488189636141215e+03 3.779231094864677232e+00
5.202411978186868510e+03 3.636457494469607532e+00
5.206259555288323099e+03 3.574690138027937891e+00
5.208183343839050394e+03 3.684205449686508871e+00
5.210107132389777689e+03 3.784180331313173440e+00
5.212030920940504984e+03 3.870586991530132970e+00
5.213841545458836663e+03 3.742992423728837892e+00
5.215765334009563958e+03 3.725983479093254669e+00
5.217689122560292162e+03 3.685655179752171939e+00
5.219612911111019457e+03 3.685965127307021305e+00
5.221536699661746752e+03 3.828688342138987455e+00
5.223460488212474047e+03 3.757272150362975793e+00
5.225384276763201342e+03 3.941683311322198957e+00
5.227308065313928637e+03 3.991181019730516422e+00
5.229118689832260316e+03 4.022979653972255321e+00
5.231042478382987611e+03 3.972681883895262889e+00
5.232966266933715815e+03 3.895585865005752879e+00
5.234890055484443110e+03 3.946582925625214067e+00
5.236813844035170405e+03 3.842887909922732881e+00
5.238737632585897700e+03 3.684455087249158822e+00
5.240661421136624995e+03 3.592459446615811736e+00
5.242585209687352290e+03 3.635317711958794273e+00
5.244395834205683968e+03 3.663245818853028801e+00
5.246319622756411263e+03 3.746352224686701593e+00
5.248243411307138558e+03 3.726003327951446842e+00
5.250167199857865853e+03 3.740302903443776916e+00
5.252090988408594058e+03 3.894385772502739318e+00
