# wavelength_AA normalized_flux_plus_offset
# # Digitized from Rest+2012 SI Fig.S2 upper-left (lines_3.pdf)
# # Already continuum-normalized in the published figure; offset arbitrary.
5.082344939814998725e+03 3.192767569702551711e+00
5.084268728365726020e+03 3.173658463186694867e+00
5.086305680948849840e+03 3.115841029525299177e+00
5.088342633531972751e+03 3.077502959926809112e+00
5.090266422082700046e+03 3.094932547672545109e+00
5.092303374665822957e+03 3.095642526061732624e+00
5.094340327248946778e+03 3.231316342564928945e+00
5.096264115799674073e+03 3.079803137224251142e+00
5.098301068382796984e+03 3.290413264162107776e+00
5.100338020965919895e+03 3.134860816179290133e+00
5.102374973549042807e+03 3.272714189995529654e+00
5.104298762099771011e+03 3.457905563765236501e+00
5.106335714682893922e+03 3.591899098080689967e+00
5.108372667266016833e+03 3.296612978676720651e+00
5.110296455816744128e+03 3.290213248744938923e+00
5.112333408399867039e+03 3.275913673252609293e+00
5.114370360982990860e+03 3.236015941450775202e+00
5.116294149533718155e+03 3.018725910313575955e+00
5.118331102116841066e+03 3.144450104939054746e+00
5.120368054699963977e+03 3.028355660207348699e+00
5.122291843250691272e+03 3.243315740759816990e+00
5.124328795833815093e+03 3.159129098989907458e+00
5.126365748416938004e+03 3.277113765755622410e+00
5.128289536967665299e+03 3.286413719236352726e+00
5.130326489550788210e+03 3.449405671953181596e+00
5.132363442133912031e+03 3.308512369163024047e+00
5.134287230684639326e+03 3.112831637256292083e+00
5.136324183267762237e+03 2.947718910383375412e+00
5.138361135850885148e+03 3.205027293306807579e+00
5.140284924401612443e+03 3.016435657445230234e+00
5.142321876984735354e+03 2.982747564587105327e+00
5.144358829567859175e+03 3.178548153060613668e+00
5.146282618118586470e+03 3.212437024753530324e+00
5.148319570701709381e+03 3.234615833530593232e+00
5.150356523284832292e+03 3.466605470994459814e+00
5.152280311835559587e+03 3.186138051066312649e+00
5.154317264418683408e+03 3.149900143348095760e+00
5.156354217001806319e+03 3.226415964844291828e+00
5.158278005552533614e+03 3.060013825606495708e+00
5.160314958135656525e+03 3.011945998405648695e+00
5.162351910718780346e+03 2.954218648023741345e+00
5.164275699269507641e+03 2.881561902610708437e+00
5.166312651852630552e+03 3.172038490991151427e+00
5.170273392986480758e+03 3.402408156259475014e+00
5.172310345569604578e+03 3.443705995981490631e+00
5.174347298152727490e+03 3.181518611030858423e+00
5.176271086703454785e+03 2.937239476675446603e+00
5.178308039286577696e+03 3.081613200407867126e+00
5.180344991869700607e+03 2.938729667875117357e+00
5.182268780420428811e+03 2.889202186179510967e+00
5.184305733003551723e+03 2.938569350174332850e+00
5.186342685586674634e+03 3.163979091147441913e+00
5.188266474137401929e+03 3.293713518545394514e+00
5.190303426720524840e+03 3.493103696681223891e+00
5.192340379303648660e+03 3.331811111592708041e+00
5.194264167854375955e+03 3.055534090996010921e+00
5.196301120437498867e+03 3.041814712896995232e+00
5.198338073020621778e+03 3.109191662030867498e+00
5.200375025603745598e+03 3.283913526521741844e+00
5.202298814154472893e+03 3.186987734880468714e+00
5.204335766737595804e+03 3.054674482752758102e+00
5.206372719320718716e+03 2.960788620085403444e+00
5.208296507871446011e+03 2.984197294652768395e+00
5.210333460454569831e+03 3.232915702484657317e+00
5.212370413037692742e+03 3.260914807217810463e+00
5.214294201588420037e+03 3.257914575960277226e+00
5.216331154171542948e+03 3.280914058681831058e+00
5.218368106754665860e+03 3.160639139047770385e+00
5.220291895305394064e+03 3.077863293044762028e+00
5.222328847888516975e+03 2.944389646130423088e+00
5.224365800471639886e+03 3.093262189913898119e+00
5.226289589022367181e+03 3.328111589792706493e+00
5.228326541605490092e+03 3.284613580481832606e+00
5.230363494188613913e+03 3.224716597215978808e+00
5.232287282739341208e+03 3.199977285732104715e+00
5.234324235322464119e+03 3.185478458240228683e+00
5.236361187905587030e+03 2.986167675537168442e+00
5.238284976456314325e+03 3.079783288366058969e+00
5.240321929039438146e+03 2.975577546273936669e+00
5.242358881622561057e+03 3.006086768150797006e+00
5.244282670173288352e+03 3.356709977359743746e+00
5.246319622756411263e+03 3.449505679661765800e+00
5.248356575339534174e+03 3.163929469001960815e+00
5.250280363890262379e+03 3.181688089743116343e+00
5.252317316473385290e+03 3.516503210237115429e+00
5.254354269056508201e+03 3.271414089783931889e+00
5.256278057607235496e+03 3.314412060551883421e+00
5.258315010190358407e+03 3.348910902925402500e+00
5.260351962773482228e+03 3.436506967798656387e+00
5.262275751324209523e+03 3.105402056951377610e+00
5.264312703907332434e+03 3.000546646462267653e+00
5.266349656490455345e+03 3.018696137026287474e+00
