hd,spectral_type,teff,r
47306,A0 II,9500,0.046638
102878,A2 Iab,9100,0.030296
34295,A4 II,8800,0.023000
74272,A5 II,8500,0.057339
97534,A6 Ia,8400,0.033497
81471,A7 Iab,8300,0.029684
80404,A8 Ib,8200,0.059046
104111,A8 II,8200,0.060678
90772,A9 Ia,8000,0.028602
75276,F2 Iab,7480,0.049304
74180,F3 Ia,7320,0.038485
115778,F4 II,7160,0.054748
67523,F6 II,6600,0.021641
108968,F7 Ib/II,6400,0.023320
210848,F7 II,6400,0.042064
54605,F8 Iab,6200,0.032163
101947,F9 Iab,5900,0.017977
146143,F9 Ia,5900,0.024172
174383,G0 Ib,5500,-0.005425
97082,G1 Iab/Ib,5300,-0.007959
136537,G2 II,5100,-0.056430
109379,G5 II,4830,-0.021213
125809,G5/G6 Ib,4790,-0.062962
79698,G6 II,4750,-0.017308
99648,G8 Iab,4590,-0.017252
117440,G9 Ib,4500,-0.056257
77020,G9 II,4500,-0.045279
11643,K1 II,4400,0.012709
206778,K2 Ib,4300,-0.042857
225212,K3 Iab,4000,-0.009434
12642,K5 Iab,3750,0.067877
49331,M1 Iab,3450,0.011462
95950,M2 Ib,3350,0.004959
131217,M2/M3 II,3300,0.081237
