hd,spectral_type,teff,r
47306,A0 II,9500,0.092080
102878,A2 Iab,9100,0.055681
34295,A4 II,8800,0.060747
74272,A5 II,8500,0.133248
97534,A6 Ia,8400,0.084319
81471,A7 Iab,8300,0.094262
80404,A8 Ib,8200,0.131731
104111,A8 II,8200,0.132930
90772,A9 Ia,8000,0.082320
75276,F2 Iab,7480,0.122080
74180,F3 Ia,7320,0.115614
115778,F4 II,7160,0.089366
67523,F6 II,6600,0.047707
108968,F7 Ib/II,6400,0.049020
210848,F7 II,6400,0.054366
54605,F8 Iab,6200,0.083205
101947,F9 Iab,5900,0.067551
146143,F9 Ia,5900,0.054699
174383,G0 Ib,5500,0.009320
97082,G1 Iab/Ib,5300,-0.002478
136537,G2 II,5100,-0.077007
109379,G5 II,4830,-0.035159
125809,G5/G6 Ib,4790,-0.081556
79698,G6 II,4750,-0.035049
99648,G8 Iab,4590,-0.040946
117440,G9 Ib,4500,-0.082688
77020,G9 II,4500,-0.060789
11643,K1 II,4400,-0.008808
206778,K2 Ib,4300,-0.102631
225212,K3 Iab,4000,-0.075803
12642,K5 Iab,3750,-0.007032
49331,M1 Iab,3450,-0.067146
95950,M2 Ib,3350,-0.089832
131217,M2/M3 II,3300,-0.004993
