ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
90,3909,1392,3,56255.304405,30.469,-12.41,5.8,1.22,9,9,-4.014e-07,1.876e-07,,,ec0915.121124.155038_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,0,g,TEMPLATE,t,0.5659,1.223,0.071,4.458,23.012,512.0,-0.4014,0.18760000000000002,155038
90,3909,1392,3,56255.3059,30.469,-12.26,6.05,1.32,9,9,-3.966e-07,1.957e-07,,,ec0915.121124.155039_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,1,g,TEMPLATE,t,0.5627,1.214,0.065,4.492,23.003,517.0,-0.3966,0.1957,155039
90,3909,1392,3,56341.278127,30.469,-9.08,3.56,0.28,9,9,-2.938e-07,1.152e-07,,,ec0915.130218.178882_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,7,g,TEMPLATE,t,1.2389,1.297,0.091,4.465,23.46,1024.0,-0.2938,0.1152,178882
90,3909,1392,3,56341.28397,30.469,-10.77,4.1,0.46,9,9,-3.484e-07,1.326e-07,,,ec0915.130218.178883_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,8,g,TEMPLATE,t,1.2405,1.252,0.074,5.725,23.198,1007.0,-0.34840000000000004,0.1326,178883
90,3909,1392,3,56341.286605,30.469,-7.1,3.88,0.88,9,9,-2.297e-07,1.255e-07,,,ec0915.130218.178884_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,9,g,TEMPLATE,t,1.2392,1.321,0.123,5.205,23.271,1015.0,-0.2297,0.1255,178884
90,3909,1392,3,56418.9714,30.469,-15.58,4.06,1.23,9,9,-5.041e-07,1.313e-07,,,ec0915.130506.204626_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,23,g,TEMPLATE,t,1.2231,1.327,0.183,5.184,23.296,1098.0,-0.5041,0.1313,204626
90,3909,1392,3,56487.982626,30.469,-12.97,4.72,0.8,9,9,-4.196e-07,1.527e-07,,,ec0915.130714.218754_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,27,g,TEMPLATE,t,1.2083,1.251,0.089,4.616,23.188,1487.0,-0.41960000000000003,0.1527,218754
90,3909,1392,3,56488.982674,30.469,-15.23,4.84,0.53,9,9,-4.927e-07,1.567e-07,,,ec0915.130715.219198_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,31,g,TEMPLATE,t,1.2059,1.258,0.093,4.354,23.104,1858.0,-0.49269999999999997,0.1567,219198
90,3909,1392,3,56489.007577,30.469,-24.09,5.02,0.43,9,9,-7.791e-07,1.624e-07,,,ec0915.130716.219210_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,35,g,TEMPLATE,t,1.1748,1.247,0.092,4.521,23.014,1897.0,-0.7791,0.1624,219210
90,3909,1392,3,56612.301256,30.469,-36.16,9.43,1.22,9,9,-1.17e-06,3.05e-07,,,ec0915.131116.254780_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,40,g,TEMPLATE,t,1.1227,1.277,0.07,6.326,22.021,6430.0,-1.17,0.305,254780
