ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
90,3909,1392,3,56255.3074,30.275,-11.18,6.42,0.95,9,9,-4.321e-07,2.482e-07,,,ec0915.121124.155040_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,2,r,TEMPLATE,t,0.9965,1.261,0.102,3.849,23.087,1478.0,-0.4321,0.2482,155040
90,3909,1392,3,56255.308881,30.275,-20.23,6.34,1.29,9,9,-7.821e-07,2.451e-07,,,ec0915.121124.155041_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,3,r,TEMPLATE,t,0.9979,1.254,0.099,3.801,23.073,1521.0,-0.7821,0.24509999999999998,155041
90,3909,1392,3,56341.293398,30.275,-15.18,5.67,0.82,9,9,-5.867e-07,2.192e-07,,,ec0915.130218.178887_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,12,r,TEMPLATE,t,1.0541,1.267,0.104,4.142,23.057,1428.0,-0.5867,0.2192,178887
90,3909,1392,3,56341.294876,30.275,7.08,5.34,1.24,9,9,2.738e-07,2.063e-07,,,ec0915.130218.178888_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,13,r,TEMPLATE,t,1.0543,1.275,0.113,4.05,23.064,1462.0,0.2738,0.20629999999999998,178888
90,3909,1392,3,56418.974052,30.275,3.81,5.6,0.98,9,9,1.473e-07,2.166e-07,,,ec0915.130506.204627_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,24,r,TEMPLATE,t,1.0177,1.523,0.24,4.666,22.956,1418.0,0.14730000000000001,0.2166,204627
90,3909,1392,3,56487.98529,30.275,-9.44,6.35,0.58,9,9,-3.649e-07,2.455e-07,,,ec0915.130714.218755_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,28,r,TEMPLATE,t,1.0355,1.188,0.076,4.322,22.84,1837.0,-0.3649,0.24550000000000002,218755
90,3909,1392,3,56488.985316,30.275,-15.94,6.61,1.0,9,9,-6.163e-07,2.557e-07,,,ec0915.130715.219199_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,32,r,TEMPLATE,t,1.0355,1.192,0.086,3.707,22.936,1835.0,-0.6163000000000001,0.2557,219199
90,3909,1392,3,56489.010229,30.275,-15.52,5.95,1.7,9,9,-6.002e-07,2.301e-07,,,ec0915.130716.219211_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,36,r,TEMPLATE,t,1.0254,1.226,0.109,3.821,22.903,1840.0,-0.6002,0.2301,219211
90,3909,1392,3,56612.303937,30.275,-20.79,7.64,1.61,9,9,-8.037e-07,2.954e-07,,,ec0915.131116.254781_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,41,r,TEMPLATE,t,1.0088,1.349,0.088,5.577,22.256,3284.0,-0.8037000000000001,0.2954,254781
90,3909,1392,3,56668.208489,30.275,-16.87,5.93,0.91,9,9,-6.521e-07,2.294e-07,,,ec0915.140111.273122_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,45,r,TEMPLATE,t,1.0347,1.684,0.219,4.091,23.013,1573.0,-0.6521,0.2294,273122
90,3909,1392,3,56668.216806,30.275,-37.18,5.95,1.26,9,9,-1.437e-06,2.3e-07,,,ec0915.140111.273126_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,49,r,TEMPLATE,t,1.0388,1.68,0.191,4.437,22.891,1507.0,-1.437,0.22999999999999998,273126
90,3909,1392,3,56676.356367,30.275,-17.51,7.27,0.64,9,9,-6.768e-07,2.812e-07,,,ec0915.140119.275866_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,65,r,TEMPLATE,t,1.0058,1.499,0.152,3.974,22.815,2248.0,-0.6768000000000001,0.2812,275866
90,3909,1392,3,56690.222125,30.275,-21.89,5.46,0.96,9,9,-8.464e-07,2.112e-07,,,ec0915.140202.280403_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,68,r,TEMPLATE,t,0.9994,1.664,0.306,3.635,23.311,1089.0,-0.8463999999999999,0.2112,280403
90,3909,1392,3,56703.184694,30.275,-23.1,9.36,1.44,9,9,-8.932e-07,3.62e-07,,,ec0915.140215.285237_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,71,r,TEMPLATE,t,0.9754,1.343,0.099,5.263,22.201,3908.0,-0.8932,0.362,285237
90,3909,1392,3,56703.190316,30.275,-21.71,8.78,0.47,9,9,-8.393e-07,3.395e-07,,,ec0915.140215.285240_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,74,r,TEMPLATE,t,0.9836,1.359,0.104,5.266,22.22,3794.0,-0.8392999999999999,0.33949999999999997,285240
90,3909,1392,3,56713.193999,30.275,-22.92,5.05,1.39,9,9,-8.862e-07,1.954e-07,,,ec0915.140225.288121_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,77,r,TEMPLATE,t,1.013,1.726,0.331,3.947,23.238,1100.0,-0.8862,0.1954,288121
90,3909,1392,3,56745.060695,30.275,-28.94,6.31,1.07,9,9,-1.119e-06,2.44e-07,,,ec0915.140329.296581_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,81,r,TEMPLATE,t,0.9711,1.479,0.245,3.085,23.373,1260.0,-1.119,0.24400000000000002,296581
90,3909,1392,3,56814.103311,30.275,-30.46,5.52,1.34,9,9,-1.178e-06,2.135e-07,,,ec0915.140606.320274_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,90,r,TEMPLATE,t,0.9795,1.588,0.197,5.988,22.532,1440.0,-1.178,0.2135,320274
90,3909,1392,3,56835.053813,30.275,-24.84,5.6,0.96,9,9,-9.603e-07,2.165e-07,,,ec0915.140627.331082_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,94,r,TEMPLATE,t,0.9662,1.71,0.274,5.494,22.757,1245.0,-0.9602999999999999,0.21650000000000003,331082
90,3909,1392,3,56852.005984,30.275,-27.62,9.6,2.17,9,9,-1.068e-06,3.711e-07,,,ec0915.140714.336064_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,98,r,TEMPLATE,t,0.8837,1.21,0.059,5.359,22.238,2918.0,-1.068,0.3711,336064
90,3909,1392,3,56866.976626,30.275,-37.57,5.92,1.41,9,9,-1.453e-06,2.288e-07,,,ec0915.140728.341664_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,103,r,TEMPLATE,t,0.9273,1.568,0.221,5.82,22.669,1265.0,-1.4529999999999998,0.2288,341664
90,3909,1392,3,56998.343496,30.275,-26.64,7.81,1.11,9,9,-1.03e-06,3.019e-07,,,ec0915.141207.384694_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,109,r,TEMPLATE,t,1.0103,1.474,0.154,4.523,22.543,2539.0,-1.03,0.3019,384694
90,3909,1392,3,57050.239138,30.275,11.1,6.13,0.9,9,9,4.292e-07,2.371e-07,,,ec0915.150128.403909_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,116,r,TEMPLATE,t,0.9367,1.423,0.32,3.742,22.966,1387.0,0.4292,0.2371,403909
90,3909,1392,3,57053.237528,30.275,-28.49,6.36,1.84,9,9,-1.101e-06,2.458e-07,,,ec0915.150131.404891_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,120,r,TEMPLATE,t,0.9943,1.617,0.196,3.403,23.08,1513.0,-1.101,0.2458,404891
90,3909,1392,3,57056.25738,30.275,-57.48,8.38,0.42,9,9,-2.222e-06,3.241e-07,,,ec0915.150203.405990_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,124,r,TEMPLATE,t,0.9735,1.247,0.131,3.473,22.622,2698.0,-2.222,0.3241,405990
90,3909,1392,3,57056.265651,30.275,-48.06,8.78,1.07,9,9,-1.858e-06,3.393e-07,,,ec0915.150203.405994_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,128,r,TEMPLATE,t,0.9738,1.216,0.115,3.692,22.597,2631.0,-1.858,0.3393,405994
90,3909,1392,3,57083.230787,30.275,-5.07,6.76,1.03,9,9,-1.96e-07,2.614e-07,,,ec0915.150302.417213_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,133,r,TEMPLATE,t,0.9601,1.554,0.183,4.29,22.699,1631.0,-0.196,0.2614,417213
90,3909,1392,3,57090.189029,30.275,-125.83,8.5,1.59,9,9,-4.865e-06,3.286e-07,,,ec0915.150309.419767_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,141,r,TEMPLATE,t,0.9533,1.119,0.152,3.103,22.909,2398.0,-4.865,0.3286,419767
