ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
90,3909,1392,3,56341.289265,30.915,84.49,11.63,0.47,9,0,1.812e-06,2.493e-07,23.255,0.149402,ec0915.130218.178885_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,3,z,TEMPLATE,t,0.8508,1.259,0.057,4.678,22.854,3300.0,1.812,0.2493,178885
90,3909,1392,3,56341.291336,30.915,91.26,10.6,0.93,9,0,1.957e-06,2.272e-07,23.171,0.12605,ec0915.130218.178886_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,4,z,TEMPLATE,t,0.8473,1.266,0.073,4.273,22.895,3347.0,1.957,0.22719999999999999,178886
90,3909,1392,3,56360.209714,30.915,84.09,14.14,0.44,9,0,1.803e-06,3.033e-07,23.26,0.182616,ec0915.130309.184932_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,7,z,TEMPLATE,t,0.5299,1.501,0.167,2.985,23.119,1727.0,1.803,0.3033,184932
90,3909,1392,3,56418.977034,30.915,77.18,11.54,0.68,9,0,1.655e-06,2.474e-07,23.353,0.162291,ec0915.130506.204629_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,14,z,TEMPLATE,t,1.148,1.415,0.136,4.154,22.944,6628.0,1.655,0.2474,204629
90,3909,1392,3,56487.988309,30.915,83.38,11.1,0.7,9,0,1.788e-06,2.38e-07,23.269,0.144491,ec0915.130714.218757_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,16,z,TEMPLATE,t,1.1066,1.401,0.139,4.132,22.883,6364.0,1.788,0.238,218757
90,3909,1392,3,56488.988287,30.915,29.41,11.91,0.61,9,0,6.308e-07,2.555e-07,,,ec0915.130715.219201_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,18,z,TEMPLATE,t,1.1771,1.424,0.157,3.539,23.022,6998.0,0.6307999999999999,0.2555,219201
90,3909,1392,3,56489.013217,30.915,45.39,11.9,0.32,9,0,9.735e-07,2.553e-07,23.929,0.28469,ec0915.130716.219213_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,20,z,TEMPLATE,t,1.1635,1.349,0.109,3.653,23.001,6723.0,0.9735,0.2553,219213
90,3909,1392,3,56612.306942,30.915,8.24,11.92,0.33,9,0,1.766e-07,2.557e-07,,,ec0915.131116.254783_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,23,z,TEMPLATE,t,1.1224,1.313,0.078,4.868,22.731,6461.0,0.1766,0.2557,254783
90,3909,1392,3,56668.211483,30.915,3.54,9.37,2.56,9,0,7.585e-08,2.01e-07,,,ec0915.140111.273124_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,25,z,TEMPLATE,t,1.172,1.495,0.158,3.611,23.257,4304.0,0.07585,0.201,273124
90,3909,1392,3,56668.219813,30.915,60.28,9.38,0.69,9,0,1.293e-06,2.013e-07,23.621,0.16904,ec0915.140111.273128_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,27,z,TEMPLATE,t,1.1786,1.44,0.115,4.442,23.028,4385.0,1.293,0.2013,273128
