ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
90,3909,1392,3,56341.21111,30.15,13.05,5.05,1.98,9,9,5.663e-07,2.192e-07,,,ec0915.130218.178843_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,4,i,TEMPLATE,t,1.0887,1.315,0.095,3.788,23.178,1140.0,0.5663,0.2192,178843
90,3909,1392,3,56341.216066,30.15,0.65,5.04,0.23,9,9,2.83e-08,2.186e-07,,,ec0915.130218.178844_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,5,i,TEMPLATE,t,1.0909,1.285,0.071,4.188,23.108,1122.0,0.0283,0.21860000000000002,178844
90,3909,1392,3,56341.219,30.15,21.83,5.01,1.93,9,9,9.474e-07,2.176e-07,23.959,0.249377,ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,6,i,TEMPLATE,t,1.0905,1.276,0.07,4.035,23.125,1138.0,0.9474,0.2176,178845
90,3909,1392,3,56343.220957,30.15,7.54,5.75,0.84,9,9,3.27e-07,2.497e-07,,,ec0915.130220.179486_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,14,i,TEMPLATE,t,1.1041,1.281,0.078,4.009,23.064,1317.0,0.327,0.2497,179486
90,3909,1392,3,56343.222439,30.15,8.53,5.34,1.17,9,9,3.703e-07,2.317e-07,,,ec0915.130220.179487_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,15,i,TEMPLATE,t,1.101,1.276,0.071,4.075,23.029,1337.0,0.37029999999999996,0.2317,179487
90,3909,1392,3,56360.212694,30.15,7.72,5.48,1.67,9,9,3.351e-07,2.377e-07,,,ec0915.130309.184934_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,18,i,TEMPLATE,t,1.0807,1.473,0.124,3.407,23.354,1031.0,0.33509999999999995,0.2377,184934
90,3909,1392,3,56402.978833,30.15,-3.22,10.76,1.82,9,9,-1.398e-07,4.669e-07,,,ec0915.130420.199841_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,19,i,TEMPLATE,t,0.8679,1.175,0.081,4.0,22.268,3657.0,-0.1398,0.4669,199841
90,3909,1392,3,56402.980332,30.15,-7.45,9.4,1.93,9,9,-3.232e-07,4.077e-07,,,ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,20,i,TEMPLATE,t,0.8909,1.269,0.092,3.703,22.463,3208.0,-0.3232,0.40769999999999995,199842
90,3909,1392,3,56416.961472,30.15,12.78,6.71,0.77,9,9,5.547e-07,2.911e-07,,,ec0915.130504.203991_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,21,i,TEMPLATE,t,1.0877,1.373,0.063,4.91,22.467,2463.0,0.5547,0.2911,203991
90,3909,1392,3,56416.962981,30.15,7.2,7.36,1.92,9,9,3.125e-07,3.195e-07,,,ec0915.130504.203992_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,22,i,TEMPLATE,t,1.0854,1.18,0.048,5.648,22.341,2472.0,0.3125,0.3195,203992
