 ID    x    y  bsize          mjd    zpt  fluxADU  flux_err  X2norm  Npix  Nmask         Jyas2    Jyas2_err     SB   SB_err                                                                fitsfile   skip  imID filter CONVOL00 PHOTNORM  KSUM00  FSIG00  FSCAT00  FWHM  M5SIGMA  SKYADU   muJyas2  muJyas2_err  im_expnum  g_ixs_flag      peak_loc good_image      new_mjd  new_muJyas2  new_muJyas2_err
 11 2062 2275      3 56255.304405 30.494     7.77      6.42    2.85     9      9  2.457000e-07 2.029000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.245700       0.2029     155038        True  60607.661585       True 55932.746500     0.858407         0.378337
 11 2062 2275      3 56255.305900 30.494     1.88      6.27    0.59     9      9  5.935000e-08 1.982000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.059350       0.1982     155039        True  60607.661585       True 55932.747995     0.510931         0.369573
 13 2050 2286      3 56255.304405 30.494    -7.45      5.97    1.17     9      9 -2.355000e-07 1.888000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0 -0.235500       0.1888     155038        True  60591.049535       True 55941.386444     0.000845         0.360737
 13 2050 2286      3 56255.305900 30.494    -7.62      5.73    0.79     9      9 -2.408000e-07 1.812000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0 -0.240800       0.1812     155039        True  60591.049535       True 55941.387939    -0.009281         0.346216
 12 2073 2271      3 56255.304405 30.494     7.14      5.78    1.56     9      9  2.258000e-07 1.827000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.225800       0.1827     155038        True  60567.597228       True 55950.026388     0.375739         0.241582
 12 2073 2271      3 56255.305900 30.494     6.02      6.21    0.89     9      9  1.902000e-07 1.963000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.190200       0.1963     155039        True  60567.597228       True 55950.027883     0.328666         0.259565
  1 2072 2281      3 56255.304405 30.494     0.91      6.08    1.28     9      9  2.889000e-08 1.921000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.028890       0.1921     155038        True  60557.825434       True 55968.266269     0.381343         0.326371
  1 2072 2281      3 56255.305900 30.494     9.70      5.76    2.05     9      9  3.067000e-07 1.822000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.306700       0.1822     155039        True  60557.825434       True 55968.267764     0.853333         0.309552
 11 2062 2275      3 56341.278127 30.494     8.02      4.10    1.39     9      9  2.535000e-07 1.295000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0  0.253500       0.1295     178882        True  60607.661585       True 56018.720222     0.872952         0.241472
 11 2062 2275      3 56341.283970 30.494    -2.65      3.56    0.75     9      9 -8.385000e-08 1.124000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.083850       0.1124     178883        True  60607.661585       True 56018.726065     0.243913         0.209586
