ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,3460,1472,3,56255.3074,30.275,24.71,7.54,0.75,9,0,9.554e-07,2.915e-07,23.95,0.331289,ec0915.121124.155040_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,2,r,TEMPLATE,t,0.9965,1.261,0.102,3.849,23.087,1478.0,0.9554,0.2915,155040,True,True
0,3460,1472,3,56255.308881,30.275,19.68,7.94,0.99,9,0,7.608e-07,3.068e-07,,,ec0915.121124.155041_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,3,r,TEMPLATE,t,0.9979,1.254,0.099,3.801,23.073,1521.0,0.7608,0.3068,155041,True,True
0,3460,1472,3,56341.293398,30.275,24.23,6.67,0.95,9,0,9.368e-07,2.579e-07,23.971,0.298859,ec0915.130218.178887_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,12,r,TEMPLATE,t,1.0541,1.267,0.104,4.142,23.057,1428.0,0.9368,0.2579,178887,True,True
0,3460,1472,3,56341.294876,30.275,29.41,6.26,0.41,9,0,1.137e-06,2.421e-07,23.761,0.231194,ec0915.130218.178888_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,13,r,TEMPLATE,t,1.0543,1.275,0.113,4.05,23.064,1462.0,1.137,0.2420999999999999,178888,True,True
0,3460,1472,3,56418.974052,30.275,14.41,6.31,0.71,9,0,5.571e-07,2.438e-07,,,ec0915.130506.204627_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,24,r,TEMPLATE,t,1.0177,1.523,0.24,4.666,22.956,1418.0,0.5571,0.2438,204627,True,True
0,3460,1472,3,56487.98529,30.275,-2.76,7.2,0.75,9,0,-1.066e-07,2.782e-07,,,ec0915.130714.218755_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,28,r,TEMPLATE,t,1.0355,1.188,0.076,4.322,22.84,1837.0,-0.1066,0.2782,218755,True,True
0,3460,1472,3,56488.985316,30.275,10.67,7.04,0.72,9,0,4.126e-07,2.723e-07,,,ec0915.130715.219199_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,32,r,TEMPLATE,t,1.0355,1.192,0.086,3.707,22.936,1835.0,0.4125999999999999,0.2723,219199,True,True
0,3460,1472,3,56489.010229,30.275,-4.14,6.41,0.51,9,0,-1.6e-07,2.477e-07,,,ec0915.130716.219211_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,36,r,TEMPLATE,t,1.0254,1.226,0.109,3.821,22.903,1840.0,-0.16,0.2476999999999999,219211,True,True
0,3460,1472,3,56612.303937,30.275,-11.57,10.0,0.62,9,0,-4.474e-07,3.867e-07,,,ec0915.131116.254781_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,41,r,TEMPLATE,t,1.0088,1.349,0.088,5.577,22.256,3284.0,-0.4474,0.3867,254781,True,True
0,3460,1472,3,56668.208489,30.275,1.4,7.62,1.75,9,0,5.412e-08,2.946e-07,,,ec0915.140111.273122_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,45,r,TEMPLATE,t,1.0347,1.684,0.219,4.091,23.013,1573.0,0.0541199999999999,0.2946,273122,True,True
0,3460,1472,3,56668.216806,30.275,-6.64,6.87,0.79,9,0,-2.567e-07,2.654e-07,,,ec0915.140111.273126_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,49,r,TEMPLATE,t,1.0388,1.68,0.191,4.437,22.891,1507.0,-0.2567,0.2653999999999999,273126,True,True
0,3460,1472,3,56676.356367,30.275,-1.62,8.86,0.51,9,0,-6.269e-08,3.425e-07,,,ec0915.140119.275866_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,65,r,TEMPLATE,t,1.0058,1.499,0.152,3.974,22.815,2248.0,-0.06269,0.3425,275866,True,True
0,3460,1472,3,56690.222125,30.275,-0.27,7.04,1.08,9,0,-1.053e-08,2.722e-07,,,ec0915.140202.280403_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,68,r,TEMPLATE,t,0.9994,1.664,0.306,3.635,23.311,1089.0,-0.01053,0.2722,280403,True,True
0,3460,1472,3,56703.184694,30.275,10.85,9.74,0.86,9,0,4.193e-07,3.767e-07,,,ec0915.140215.285237_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,71,r,TEMPLATE,t,0.9754,1.343,0.099,5.263,22.201,3908.0,0.4193,0.3767,285237,True,True
0,3460,1472,3,56703.190316,30.275,-16.64,9.36,1.28,9,0,-6.433e-07,3.618e-07,,,ec0915.140215.285240_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,74,r,TEMPLATE,t,0.9836,1.359,0.104,5.266,22.22,3794.0,-0.6433000000000001,0.3618,285240,True,True
0,3460,1472,3,56713.193999,30.275,-2.69,6.6,0.37,9,0,-1.04e-07,2.551e-07,,,ec0915.140225.288121_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,77,r,TEMPLATE,t,1.013,1.726,0.331,3.947,23.238,1100.0,-0.104,0.2551,288121,True,True
0,3460,1472,3,56745.060695,30.275,1.15,7.89,0.44,9,2,4.449e-08,3.051e-07,,,ec0915.140329.296581_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,81,r,TEMPLATE,t,0.9711,1.479,0.245,3.085,23.373,1260.0,0.0444899999999999,0.3051,296581,True,True
0,3460,1472,3,56814.103311,30.275,14.64,6.52,1.75,9,0,5.66e-07,2.52e-07,,,ec0915.140606.320274_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,90,r,TEMPLATE,t,0.9795,1.588,0.197,5.988,22.532,1440.0,0.566,0.252,320274,True,True
0,3460,1472,3,56835.053813,30.275,18.2,6.83,0.91,9,0,7.036e-07,2.641e-07,,,ec0915.140627.331082_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,94,r,TEMPLATE,t,0.9662,1.71,0.274,5.494,22.757,1245.0,0.7036,0.2641,331082,True,True
0,3460,1472,3,56852.005984,30.275,15.52,10.41,0.8,9,0,6.001e-07,4.023e-07,,,ec0915.140714.336064_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,98,r,TEMPLATE,t,0.8837,1.21,0.059,5.359,22.238,2918.0,0.6001,0.4023,336064,True,True
0,3460,1472,3,56866.976626,30.275,17.54,7.67,0.7,9,0,6.781e-07,2.965e-07,,,ec0915.140728.341664_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,103,r,TEMPLATE,t,0.9273,1.568,0.221,5.82,22.669,1265.0,0.6781,0.2965,341664,True,True
0,3460,1472,3,56998.343496,30.275,30.36,9.17,1.39,9,0,1.174e-06,3.546e-07,23.726,0.328037,ec0915.141207.384694_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,109,r,TEMPLATE,t,1.0103,1.474,0.154,4.523,22.543,2539.0,1.174,0.3546,384694,True,True
0,3460,1472,3,57050.239138,30.275,-5.74,7.67,0.61,9,0,-2.22e-07,2.967e-07,,,ec0915.150128.403909_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,116,r,TEMPLATE,t,0.9367,1.423,0.32,3.742,22.966,1387.0,-0.222,0.2967,403909,False,False
0,3460,1472,3,57053.237528,30.275,52.93,7.9,1.62,9,2,2.046e-06,3.056e-07,23.123,0.162116,ec0915.150131.404891_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,120,r,TEMPLATE,t,0.9943,1.617,0.196,3.403,23.08,1513.0,2.046,0.3056,404891,True,True
0,3460,1472,3,57056.25738,30.275,14.0,8.75,1.8,9,0,5.413e-07,3.382e-07,,,ec0915.150203.405990_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,124,r,TEMPLATE,t,0.9735,1.247,0.131,3.473,22.622,2698.0,0.5413,0.3382,405990,True,True
0,3460,1472,3,57056.265651,30.275,9.87,8.84,1.88,9,0,3.816e-07,3.417e-07,,,ec0915.150203.405994_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,128,r,TEMPLATE,t,0.9738,1.216,0.115,3.692,22.597,2631.0,0.3816,0.3417,405994,True,True
0,3460,1472,3,57083.230787,30.275,15.84,7.7,0.63,9,0,6.123e-07,2.975e-07,,,ec0915.150302.417213_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,133,r,TEMPLATE,t,0.9601,1.554,0.183,4.29,22.699,1631.0,0.6123000000000001,0.2975,417213,True,True
0,3460,1472,3,57090.189029,30.275,-14.71,9.6,0.69,9,2,-5.686e-07,3.712e-07,,,ec0915.150309.419767_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,141,r,TEMPLATE,t,0.9533,1.119,0.152,3.103,22.909,2398.0,-0.5686,0.3712,419767,True,True
0,3460,1472,3,57139.007316,30.275,9.06,9.11,0.82,9,0,3.503e-07,3.522e-07,,,ec0915.150427.437745_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,150,r,TEMPLATE,t,0.9554,1.041,0.128,6.067,22.304,2038.0,0.3503,0.3522,437745,True,True
0,3460,1472,3,57198.957095,30.275,11.98,9.31,1.07,9,0,4.63e-07,3.599e-07,,,ec0915.150625.453950_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,162,r,TEMPLATE,t,0.9591,0.998,0.106,4.828,22.323,2653.0,0.463,0.3599,453950,True,True
