ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,2069,2290,3,56341.289265,30.93,8.72,16.05,1.11,4,0,1.845e-07,3.393e-07,,,ec0915.130218.178885_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,10,z,TEMPLATE,t,0.8455,1.232,0.061,4.657,22.907,3019.0,0.1845,0.3393,178885,True,True
0,2069,2290,3,56341.291336,30.93,22.02,10.86,0.34,9,0,4.656e-07,2.298e-07,,,ec0915.130218.178886_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,11,z,TEMPLATE,t,0.8598,1.336,0.097,4.284,22.942,3058.0,0.4656,0.2298,178886,True,True
0,2069,2290,3,56360.209714,30.93,-3.21,13.69,0.36,9,0,-6.78e-08,2.895e-07,,,ec0915.130309.184932_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,16,z,TEMPLATE,t,0.5254,1.294,0.11,2.969,23.123,1743.0,-0.0678,0.2895,184932,True,True
0,2069,2290,3,56418.977034,30.93,57.09,10.6,1.43,9,0,1.207e-06,2.242e-07,23.696,0.201644,ec0915.130506.204629_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,26,z,TEMPLATE,t,1.1462,1.266,0.088,4.157,22.934,6752.0,1.207,0.2242,204629,True,True
0,2069,2290,3,56487.988309,30.93,73.19,9.6,1.3,9,0,1.548e-06,2.03e-07,23.426,0.142412,ec0915.130714.218757_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,30,z,TEMPLATE,t,1.1356,1.427,0.146,4.153,22.927,6036.0,1.548,0.203,218757,True,True
0,2069,2290,3,56488.988287,30.93,73.87,10.58,1.23,9,0,1.562e-06,2.237e-07,23.416,0.155445,ec0915.130715.219201_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,34,z,TEMPLATE,t,1.201,1.456,0.172,3.557,23.08,6648.0,1.562,0.2237,219201,True,True
0,2069,2290,3,56489.013217,30.93,90.09,10.49,1.0,9,0,1.905e-06,2.218e-07,23.2,0.126382,ec0915.130716.219213_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,38,z,TEMPLATE,t,1.1702,1.344,0.094,3.696,23.033,6382.0,1.905,0.2218,219213,True,True
0,2069,2290,3,56612.306942,30.93,-8.29,10.77,1.05,9,0,-1.753e-07,2.278e-07,,,ec0915.131116.254783_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,43,z,TEMPLATE,t,1.12,1.25,0.062,4.862,22.732,6496.0,-0.1752999999999999,0.2277999999999999,254783,True,True
0,2069,2290,3,56668.211483,30.93,24.65,9.97,1.71,9,0,5.214e-07,2.108e-07,,,ec0915.140111.273124_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,47,z,TEMPLATE,t,1.1661,1.341,0.096,3.657,23.239,4353.0,0.5214,0.2108,273124,True,True
0,2069,2290,3,56668.219813,30.93,,,,0,0,,,,,ec0915.140111.273128_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,51,z,TEMPLATE,t,1.1851,1.373,0.109,4.455,23.019,4446.0,,,273128,False,True
0,2069,2290,3,56764.149481,30.93,30.5,11.82,0.85,9,0,6.449e-07,2.499e-07,,,ec0915.140417.301623_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,84,z,TEMPLATE,t,1.0952,1.487,0.225,3.437,23.114,5855.0,0.6448999999999999,0.2498999999999999,301623,False,False
0,2069,2290,3,56764.153625,30.93,,,,0,0,,,,,ec0915.140417.301625_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,86,z,TEMPLATE,t,1.1067,1.383,0.126,3.413,23.19,5930.0,,,301625,False,False
0,2069,2290,3,56834.960611,30.93,-119.46,13.63,0.97,6,0,-2.526e-06,2.882e-07,,,ec0915.140626.331029_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,91,z,TEMPLATE,t,1.1485,1.346,0.094,4.659,22.675,7590.0,-2.526,0.2882,331029,False,False
0,2069,2290,3,56854.965339,30.93,29.34,11.71,0.81,9,0,6.204e-07,2.477e-07,,,ec0915.140716.337810_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,99,z,TEMPLATE,t,1.0458,1.366,0.131,4.01,22.835,6969.0,0.6204000000000001,0.2476999999999999,337810,False,False
0,2069,2290,3,56998.316848,30.93,11.23,12.77,1.66,9,0,2.375e-07,2.7e-07,,,ec0915.141207.384681_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,106,z,TEMPLATE,t,1.1211,1.05,0.083,3.538,22.908,6368.0,0.2375,0.27,384681,True,True
0,2069,2290,3,56998.321015,30.93,,,,0,0,,,,,ec0915.141207.384683_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,108,z,TEMPLATE,t,1.1221,1.125,0.089,4.416,22.743,6152.0,,,384683,False,True
0,2069,2290,3,57026.228979,30.93,3.84,13.71,1.65,9,0,8.129e-08,2.899e-07,,,ec0915.150104.394285_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,111,z,TEMPLATE,t,1.0216,1.063,0.099,3.419,22.794,6656.0,0.08129,0.2899,394285,True,True
0,2069,2290,3,57026.233149,30.93,,,,0,0,,,,,ec0915.150104.394287_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,113,z,TEMPLATE,t,1.0361,1.042,0.088,3.674,22.755,6754.0,,,394287,False,True
