pickles_id,sptype,teff,lnL_max,v_fixed,sigma_mgb,sigma_caii,posterior_weight
130,K4I,3990.25,-2646.550866249077,-210.0,0.8,0.8,1.5006767155209464e-194
129,K3I,4123.0,-2560.70128208359,-210.0,0.8,0.8,2.8859434765404116e-157
128,K2I,4255.98,-2225.1555866060644,-210.0,0.8,0.5983481867539163,1.5343759868421502e-11
127,G8I,4591.98,-2382.4073205127106,-210.0,0.8,0.7528411717904643,7.804974486525834e-80
126,G5I,5046.61,-2494.9727238717396,-210.0,0.746358162288424,0.8,1.0135331449052907e-128
125,G2I,5320.0,-2214.8465025656888,-210.0,0.7668308852105713,0.7096834651531949,4.603732757969444e-07
124,G0I,5508.08,-2200.255274818675,-210.0,0.7134008103165064,0.7519307085816718,0.9999995396113804
123,F8I,6095.37,-2638.9165267479466,-210.0,0.8,0.8,3.1034064784631805e-191
122,F5I,6637.43,-2465.701479655915,-210.0,0.8,0.7800458317337639,5.226100980788876e-116
121,F0I,7691.3,-3063.6808945175053,-210.0,0.8,0.8,0.0
