Teff,ln_sigma_mgb,ln_sigma_caii
5408.296026996342,-0.3315275156653639,-0.35496130989771835
5425.7198508453,-0.3193587044864087,-0.290141727779296
5453.515909515855,-0.35914594295303626,-0.32404424461638914
6635.042169254701,-0.22516095514577897,-0.25046419286458194
5418.062513166524,-0.32583698769731256,-0.31664443899677835
5431.683266990028,-0.30351293144993197,-0.30371137394821895
5416.872948070294,-0.30848785173731075,-0.312786110674315
5421.21848231968,-0.2885432446346188,-0.3370553378175842
6634.901034916249,-0.2253420035024871,-0.23281874570508113
5431.879724437705,-0.29144180728969576,-0.3054173869623037
5451.5673321670565,-0.3316485840591519,-0.3044149933569715
5405.656811478854,-0.3332692772298518,-0.2922009762245057
5408.983217455101,-0.3107727314845194,-0.3448855678906975
5397.634709277139,-0.26788738334521406,-0.374219715546869
5420.3585346339005,-0.305796860629539,-0.31481310420414926
5429.621029807322,-0.3435731611433083,-0.3479318087310963
5430.057086382179,-0.3497974890860076,-0.3100838858514465
5445.95972022414,-0.3528204518058654,-0.3110869477810389
5421.972179820861,-0.3159194764377259,-0.32589729464561945
5436.441995226588,-0.30156370468362675,-0.31216576846500677
5429.927506878341,-0.3475980081814896,-0.28272244945575653
5426.214964584906,-0.30976759503302687,-0.3136807879757436
5441.129176390509,-0.3652790343377249,-0.2874962140824719
5425.093406061614,-0.3130434941180597,-0.3542699809672007
5426.042962224547,-0.33368205224818814,-0.3087974734508194
5422.280669323924,-0.3262268036269459,-0.3127272557898123
5431.881971007823,-0.32815987922666356,-0.3602738325225009
5411.765879633148,-0.34812061555615115,-0.31538822449682036
5437.70415478313,-0.35578768399200333,-0.3526473402197393
6629.256984215294,-0.2270954999160293,-0.2677286048769713
6633.2659498464955,-0.22706354218345676,-0.2409925067219427
5425.714876110648,-0.31545274543959545,-0.32549253095490754
5426.913206802205,-0.3460327627711329,-0.3124376519821543
6626.065860930528,-0.23932223579869774,-0.23451504447569474
5436.389651140304,-0.3644472831425272,-0.3115993191130178
6637.335422333039,-0.22492075834534825,-0.2692396164167603
6625.319218557306,-0.22890548589665075,-0.26379861280683015
5440.417559149261,-0.3157831223245001,-0.29950338083255607
5409.858721556596,-0.31181232649723506,-0.329664865762849
5414.389225138386,-0.34511520957932257,-0.3355884524931593
5430.5172612878,-0.3207812842433492,-0.3260697369445649
5447.253115773141,-0.3450428234533163,-0.3107670564033275
6609.752742676945,-0.23597422661760778,-0.2438271482205271
5424.865159584468,-0.3253243568254628,-0.30421985911828187
6619.558351188138,-0.22356220049207323,-0.25506920694232454
5423.256598612631,-0.3334279153647206,-0.35575997215515004
5427.689203360157,-0.3259750071868606,-0.33293335669152097
5405.29668195937,-0.3190496726026775,-0.291199304506533
5408.54549084434,-0.32645949380497175,-0.3561827167403648
5433.158537694296,-0.32368038941927274,-0.28852007698674353
5434.175549729735,-0.3614375217659771,-0.30618881653540825
6635.042169254701,-0.22516095514577897,-0.25046419286458194
5397.832724257192,-0.3606612239811227,-0.3255094185757556
5424.188402747592,-0.31890033982242805,-0.31544331781684243
5416.393532378397,-0.3123092082111114,-0.3149671281270591
5418.5653967991375,-0.29135486452687814,-0.3325730795671444
6634.901034916249,-0.2253420035024871,-0.23281874570508113
5418.9495951178515,-0.2946179876323521,-0.309185570633465
5431.007611452694,-0.32061595861842923,-0.3240252672104742
5418.3365353061,-0.338339318378201,-0.3275513970820417
5409.969370067462,-0.30117794981852325,-0.3309802508464127
5406.069103214202,-0.2943847525821073,-0.3527137188879134
5414.340988099775,-0.2970215224003275,-0.3150541802189549
5432.772271945392,-0.35069884741916696,-0.3378517299392177
5436.303095546737,-0.3665538623373277,-0.2904336759036361
5445.939385285538,-0.3512647665057531,-0.30928520408717103
5420.368237139637,-0.32395142171112934,-0.35358765885047344
5440.49235636283,-0.2961357466014338,-0.3111590167427736
5429.742712761381,-0.33843625950472817,-0.2882415849462895
5424.995463781935,-0.31301403090730967,-0.31858521444080234
5437.194779218045,-0.35633726638708274,-0.2914842011396147
5422.2709336775115,-0.31411431318265837,-0.3934883002221221
5425.093506639082,-0.33259269000427594,-0.30847861354778483
5409.229158421489,-0.35125112235743067,-0.31859586105419685
5429.794788972401,-0.2924451274548407,-0.33963395401047175
5414.595523949649,-0.3503630073472571,-0.3254713885991894
5421.21873649573,-0.3339161629414196,-0.33694966268123405
6634.002469556623,-0.2249352586511148,-0.2735439559623512
6633.2659498464955,-0.22706354218345676,-0.2409925067219427
5425.714876110648,-0.31545274543959545,-0.32549253095490754
5422.1414087154535,-0.3377924087486501,-0.319872399234515
6629.485255282439,-0.23350045940135444,-0.23759125618336024
5444.322528795844,-0.3720394312061148,-0.31946721310186643
