pickles_id,sptype,teff,r
131,M2I,3451.44,0.042932795773194914
130,K4I,3990.25,0.1565480265841766
129,K3I,4123.0,0.17118305924946142
128,K2I,4255.98,0.21350768141668441
127,G8I,4591.98,0.25746395628085816
126,G5I,5046.61,0.3055294125077988
125,G2I,5320.0,0.2577869355040797
124,G0I,5508.08,0.34939172254785394
123,F8I,6095.37,0.25660262011897295
122,F5I,6637.43,0.1966443778989118
121,F0I,7691.3,0.26360350543847877
120,A2I,8700.0,0.1991270509174482
119,A0I,9727.47,0.1143098934865587
114,B0I,26001.6,0.002698944446493593
