ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
0,2046,2316,3,56341.21111,30.151,17.76,4.57,1.82,9,9,7.7e-07,1.983e-07,24.184,0.279571,ec0915.130218.178843_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,5,i,TEMPLATE,t,1.0856,1.384,0.109,3.834,23.216,1025.0,0.77,0.1983
0,2046,2316,3,56341.216066,30.151,23.58,4.6,1.15,9,9,1.022e-06,1.994e-07,23.876,0.211775,ec0915.130218.178844_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,7,i,TEMPLATE,t,1.0883,1.335,0.08,4.222,23.151,1006.0,1.022,0.1994
0,2046,2316,3,56341.219,30.151,3.48,4.57,1.7,9,9,1.507e-07,1.981e-07,,,ec0915.130218.178845_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,9,i,TEMPLATE,t,1.1,1.419,0.123,3.981,23.186,1023.0,0.1507,0.1981
0,2046,2316,3,56343.220957,30.151,13.05,4.92,0.66,9,9,5.658e-07,2.132e-07,,,ec0915.130220.179486_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,18,i,TEMPLATE,t,1.1045,1.46,0.141,4.085,23.083,1220.0,0.5658000000000001,0.2132
0,2046,2316,3,56343.222439,30.151,4.68,4.66,0.77,9,9,2.027e-07,2.021e-07,,,ec0915.130220.179487_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,20,i,TEMPLATE,t,1.1069,1.426,0.125,4.061,23.063,1233.0,0.20270000000000002,0.2021
0,2046,2316,3,56360.212694,30.151,10.88,4.91,2.61,9,9,4.715e-07,2.129e-07,,,ec0915.130309.184934_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,24,i,TEMPLATE,t,1.07,1.526,0.191,3.383,23.338,1039.0,0.47150000000000003,0.2129
0,2046,2316,3,56402.978833,30.151,-1.97,10.58,1.07,9,9,-8.544e-08,4.589e-07,,,ec0915.130420.199841_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,26,i,TEMPLATE,t,0.868,1.174,0.066,3.946,22.264,3670.0,-0.08544,0.45890000000000003
0,2046,2316,3,56402.980332,30.151,,,,0,0,,,,,ec0915.130420.199842_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,28,i,TEMPLATE,t,0.8923,1.254,0.074,3.683,22.455,3228.0,,
0,2046,2316,3,56416.961472,30.151,4.53,6.86,0.87,9,9,1.965e-07,2.973e-07,,,ec0915.130504.203991_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,30,i,TEMPLATE,t,1.0876,1.345,0.054,4.921,22.446,2480.0,0.19649999999999998,0.2973
0,2046,2316,3,56416.962981,30.151,,,,0,0,,,,,ec0915.130504.203992_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,32,i,TEMPLATE,t,1.1009,1.221,0.068,5.621,22.329,2478.0,,
0,2046,2316,3,56418.975542,30.151,-3.77,6.63,0.56,9,9,-1.634e-07,2.872e-07,,,ec0915.130506.204628_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,36,i,TEMPLATE,t,1.0904,1.085,0.058,4.449,22.706,2011.0,-0.1634,0.28719999999999996
0,2046,2316,3,56487.986817,30.151,2.41,6.0,0.51,9,9,1.045e-07,2.601e-07,,,ec0915.130714.218756_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,41,i,TEMPLATE,t,1.0799,1.27,0.063,4.223,22.782,1718.0,0.10450000000000001,0.2601
0,2046,2316,3,56488.986801,30.151,0.84,5.92,1.87,9,9,3.638e-08,2.567e-07,,,ec0915.130715.219200_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,46,i,TEMPLATE,t,1.094,1.322,0.094,3.546,22.933,1823.0,0.036379999999999996,0.25670000000000004
0,2046,2316,3,56489.01172,30.151,,,,0,0,,,,,ec0915.130716.219212_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,51,i,TEMPLATE,t,1.0794,1.28,0.076,3.722,22.857,1808.0,,
0,2046,2316,3,56612.294949,30.151,-26.87,7.06,1.21,9,9,-1.165e-06,3.06e-07,,,ec0915.131116.254777_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,54,i,TEMPLATE,t,1.0664,1.308,0.068,5.311,22.263,2943.0,-1.165,0.306
0,2046,2316,3,56612.305456,30.151,-13.62,7.71,2.06,9,9,-5.904e-07,3.341e-07,,,ec0915.131116.254782_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,58,i,TEMPLATE,t,1.0752,1.29,0.056,5.455,22.292,2790.0,-0.5904,0.3341
0,2046,2316,3,56668.209974,30.151,5.66,5.83,1.32,9,9,2.452e-07,2.529e-07,,,ec0915.140111.273123_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,63,i,TEMPLATE,t,1.0963,1.425,0.116,4.074,22.931,1542.0,0.2452,0.2529
0,2046,2316,3,56668.218307,30.151,,,,0,0,,,,,ec0915.140111.273127_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,68,i,TEMPLATE,t,1.0957,1.406,0.111,4.094,22.891,1468.0,,
0,2046,2316,3,56675.345934,30.151,9.77,8.26,1.41,9,9,4.238e-07,3.582e-07,,,ec0915.140118.275406_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,71,i,TEMPLATE,t,0.9777,1.293,0.061,4.049,22.401,3350.0,0.4238,0.3582
0,2046,2316,3,56675.348218,30.151,0.48,8.28,0.32,9,9,2.083e-08,3.592e-07,,,ec0915.140118.275407_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,73,i,TEMPLATE,t,0.9823,1.331,0.082,4.092,22.384,3299.0,0.020829999999999998,0.35919999999999996
0,2046,2316,3,56675.34971,30.151,2.45,8.3,0.49,9,9,1.062e-07,3.596e-07,,,ec0915.140118.275408_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,75,i,TEMPLATE,t,0.977,1.319,0.081,3.914,22.375,3284.0,0.1062,0.35960000000000003
0,2046,2316,3,56675.351218,30.151,-6.47,8.95,1.66,9,9,-2.807e-07,3.882e-07,,,ec0915.140118.275409_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,77,i,TEMPLATE,t,0.9978,1.33,0.08,4.282,22.292,3294.0,-0.2807,0.3882
0,2046,2316,3,56675.352709,30.151,-7.7,8.91,0.59,9,9,-3.34e-07,3.863e-07,,,ec0915.140118.275410_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,79,i,TEMPLATE,t,0.9646,1.361,0.099,3.403,22.517,3367.0,-0.334,0.38630000000000003
0,2046,2316,3,56675.357257,30.151,10.08,9.96,1.29,9,9,4.371e-07,4.319e-07,,,ec0915.140118.275413_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,81,i,TEMPLATE,t,0.9578,1.325,0.083,3.289,22.542,3457.0,0.43710000000000004,0.4319
0,2046,2316,3,56675.365379,30.151,-5.63,9.32,0.67,9,9,-2.442e-07,4.04e-07,,,ec0915.140118.275418_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,83,i,TEMPLATE,t,0.9635,1.329,0.092,3.394,22.559,3374.0,-0.24419999999999997,0.404
0,2046,2316,3,56676.334309,30.151,1.32,6.4,1.7,9,9,5.707e-08,2.773e-07,,,ec0915.140119.275854_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,85,i,TEMPLATE,t,1.0435,1.303,0.062,4.555,22.58,2090.0,0.05707,0.2773
0,2046,2316,3,56676.33595,30.151,-7.68,6.73,2.27,9,9,-3.329e-07,2.918e-07,,,ec0915.140119.275855_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,87,i,TEMPLATE,t,1.0496,1.31,0.059,4.483,22.599,2149.0,-0.33290000000000003,0.2918
0,2046,2316,3,56676.337446,30.151,-21.49,6.91,1.08,9,9,-9.315e-07,2.998e-07,,,ec0915.140119.275856_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,89,i,TEMPLATE,t,1.0496,1.278,0.051,4.434,22.582,2150.0,-0.9315,0.2998
0,2046,2316,3,56676.338931,30.151,2.4,6.74,0.74,9,9,1.042e-07,2.924e-07,,,ec0915.140119.275857_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,91,i,TEMPLATE,t,1.0476,1.303,0.06,4.534,22.57,2199.0,0.1042,0.2924
0,2046,2316,3,56676.340439,30.151,-3.37,6.53,0.74,9,9,-1.46e-07,2.831e-07,,,ec0915.140119.275858_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,93,i,TEMPLATE,t,1.0438,1.299,0.06,4.95,22.471,2187.0,-0.14600000000000002,0.28309999999999996
0,2046,2316,3,56676.357882,30.151,-1.33,6.43,0.88,9,9,-5.764e-08,2.786e-07,,,ec0915.140119.275867_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,97,i,TEMPLATE,t,1.0496,1.346,0.086,3.914,22.728,2220.0,-0.05764,0.2786
0,2046,2316,3,56690.223648,30.151,-1.28,5.23,0.86,9,9,-5.534e-08,2.267e-07,,,ec0915.140202.280404_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,101,i,TEMPLATE,t,1.0601,1.471,0.203,3.62,23.25,1047.0,-0.05534,0.2267
0,2046,2316,3,56703.186185,30.151,-20.75,8.23,0.2,9,9,-8.996e-07,3.567e-07,,,ec0915.140215.285238_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,105,i,TEMPLATE,t,1.038,1.301,0.068,5.195,22.216,3217.0,-0.8996000000000001,0.3567
0,2046,2316,3,56703.191831,30.151,,,,0,0,,,,,ec0915.140215.285241_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,109,i,TEMPLATE,t,1.0888,1.375,0.097,5.633,22.151,3183.0,,
0,2046,2316,3,56713.195515,30.151,-11.18,5.34,1.85,9,9,-4.846e-07,2.313e-07,,,ec0915.140225.288122_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,113,i,TEMPLATE,t,1.0841,1.613,0.293,3.749,23.108,1299.0,-0.4846,0.2313
0,2046,2316,3,56745.062221,30.151,4.53,6.28,1.42,9,9,1.962e-07,2.725e-07,,,ec0915.140329.296582_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,118,i,TEMPLATE,t,1.0376,1.614,0.266,2.883,23.249,1489.0,0.19619999999999999,0.27249999999999996
0,2046,2316,3,56764.147993,30.151,-3.62,6.45,3.84,9,9,-1.571e-07,2.797e-07,,,ec0915.140417.301622_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,120,i,TEMPLATE,t,1.0803,1.676,0.275,3.707,22.654,2460.0,-0.1571,0.2797
0,2046,2316,3,56764.152138,30.151,,,,0,0,,,,,ec0915.140417.301624_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,123,i,TEMPLATE,t,1.0607,1.431,0.144,3.125,22.94,2524.0,,
0,2046,2316,3,56814.004757,30.151,,,,0,0,,,,,ec0915.140606.320221_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,126,i,TEMPLATE,t,1.0724,1.311,0.072,4.96,22.645,1595.0,,
0,2046,2316,3,56834.971837,30.151,-12.64,6.07,1.3,9,9,-5.479e-07,2.633e-07,,,ec0915.140626.331034_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,132,i,TEMPLATE,t,1.0691,1.264,0.059,5.043,22.54,1863.0,-0.5478999999999999,0.2633
0,2046,2316,3,56836.96303,30.151,1.29,7.05,1.16,9,9,5.584e-08,3.055e-07,,,ec0915.140628.331924_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,136,i,TEMPLATE,t,1.0768,1.395,0.109,3.964,22.711,2364.0,0.05584,0.3055
0,2046,2316,3,56851.998267,30.151,-4.73,9.6,0.51,9,6,-2.05e-07,4.16e-07,,,ec0915.140713.336059_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,139,i,TEMPLATE,t,0.9959,1.404,0.11,7.261,21.689,3382.0,-0.205,0.41600000000000004
0,2046,2316,3,56854.979266,30.151,-23.82,6.33,0.82,9,9,-1.033e-06,2.746e-07,,,ec0915.140716.337816_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,143,i,TEMPLATE,t,1.0287,1.298,0.073,4.081,22.762,1956.0,-1.0330000000000001,0.2746
0,2046,2316,3,56866.968929,30.151,-11.21,14.18,1.32,9,9,-4.859e-07,6.147e-07,,,ec0915.140728.341659_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,146,i,TEMPLATE,t,0.4699,1.275,0.049,5.705,21.542,1949.0,-0.4859,0.6147
0,2046,2316,3,56998.315348,30.151,-6.08,7.6,0.39,9,9,-2.636e-07,3.296e-07,,,ec0915.141207.384680_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,150,i,TEMPLATE,t,1.0521,1.163,0.082,3.658,22.65,2371.0,-0.2636,0.3296
0,2046,2316,3,56998.319522,30.151,,,,0,0,,,,,ec0915.141207.384682_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,153,i,TEMPLATE,t,1.0581,1.116,0.058,4.542,22.394,2398.0,,
0,2046,2316,3,57026.227494,30.151,-8.38,8.68,1.13,9,9,-3.631e-07,3.763e-07,,,ec0915.150104.394284_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,157,i,TEMPLATE,t,1.0017,1.099,0.063,3.956,22.403,2643.0,-0.36310000000000003,0.3763
0,2046,2316,3,57026.231641,30.151,,,,0,0,,,,,ec0915.150104.394286_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits,0x0000,160,i,TEMPLATE,t,1.0018,1.16,0.076,3.567,22.488,2611.0,,
