group,ID,ra,dec,color,x,y,LC,LC_url
0,0,161.117459,-60.260872,magenta,3460,1472,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID0_lc.txt
0,1,161.118366,-60.260873,magenta,3454,1472,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID1_lc.txt
0,2,161.119273,-60.260874,magenta,3448,1472,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID2_lc.txt
0,3,161.120181,-60.260875,magenta,3442,1472,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID3_lc.txt
0,4,161.116554,-60.26042,magenta,3466,1478,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID4_lc.txt
0,5,161.117461,-60.260422,magenta,3460,1478,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID5_lc.txt
0,6,161.118369,-60.260423,magenta,3454,1478,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID6_lc.txt
0,7,161.119276,-60.260424,magenta,3448,1478,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID7_lc.txt
0,8,161.120183,-60.260425,magenta,3442,1478,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID8_lc.txt
0,9,161.117464,-60.259972,magenta,3460,1484,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID9_lc.txt
0,10,161.118371,-60.259973,magenta,3454,1484,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID10_lc.txt
