ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
90,3909,1392,3,56255.304405,30.469,-11.43,5.8,1.2,9,9,-3.696e-07,1.876e-07,,,ec0915.121124.155038_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,0,g,TEMPLATE,t,0.5659,1.227,0.071,4.458,23.012,511.0,-0.3696,0.18760000000000002
90,3909,1392,3,56255.3059,30.469,-10.93,6.05,1.32,9,9,-3.534e-07,1.957e-07,,,ec0915.121124.155039_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,2,g,TEMPLATE,t,0.5627,1.214,0.065,4.492,23.003,517.0,-0.3534,0.1957
90,3909,1392,3,56341.278127,30.469,-6.34,3.58,0.29,9,9,-2.051e-07,1.157e-07,,,ec0915.130218.178882_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,12,g,TEMPLATE,t,1.2394,1.323,0.119,4.464,23.46,1032.0,-0.2051,0.1157
90,3909,1392,3,56341.28397,30.469,-7.98,4.14,0.4,9,9,-2.58e-07,1.339e-07,,,ec0915.130218.178883_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,14,g,TEMPLATE,t,1.2343,1.191,0.045,5.725,23.19,1015.0,-0.258,0.1339
90,3909,1392,3,56341.286605,30.469,-3.62,3.89,0.9,9,9,-1.17e-07,1.259e-07,,,ec0915.130218.178884_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,16,g,TEMPLATE,t,1.2383,1.282,0.106,5.205,23.264,1023.0,-0.117,0.1259
90,3909,1392,3,56418.9714,30.469,-11.36,4.08,1.2,9,9,-3.674e-07,1.319e-07,,,ec0915.130506.204626_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,38,g,TEMPLATE,t,1.2225,1.332,0.188,5.184,23.296,1099.0,-0.3674,0.13190000000000002
90,3909,1392,3,56487.982626,30.469,-9.41,4.72,0.77,9,9,-3.045e-07,1.527e-07,,,ec0915.130714.218754_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,44,g,TEMPLATE,t,1.2087,1.252,0.089,4.616,23.188,1486.0,-0.3045,0.1527
90,3909,1392,3,56488.982674,30.469,-10.9,4.84,0.48,9,9,-3.525e-07,1.567e-07,,,ec0915.130715.219198_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,50,g,TEMPLATE,t,1.2059,1.258,0.093,4.354,23.104,1858.0,-0.35250000000000004,0.1567
90,3909,1392,3,56489.007577,30.469,-20.75,5.02,0.44,9,9,-6.713e-07,1.624e-07,,,ec0915.130716.219210_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,56,g,TEMPLATE,t,1.1748,1.247,0.092,4.521,23.014,1897.0,-0.6713,0.1624
90,3909,1392,3,56612.301256,30.469,-19.83,9.46,1.18,9,9,-6.413e-07,3.061e-07,,,ec0915.131116.254780_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,64,g,TEMPLATE,t,1.1217,1.255,0.057,6.325,22.017,6455.0,-0.6413,0.30610000000000004
