ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
90,3909,1392,3,56255.308881,30.236,-10.04,6.18,1.18,9,9,-4.024e-07,2.478e-07,,,ec0915.121124.155041_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,5,r,TEMPLATE,t,1.0071,1.472,0.171,3.801,23.073,1522.0,-0.4024,0.2478
90,3909,1392,3,56341.294876,30.236,14.98,5.2,1.26,9,9,6.006e-07,2.086e-07,,,ec0915.130218.178888_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,21,r,TEMPLATE,t,1.0603,1.495,0.201,4.05,23.064,1463.0,0.6006,0.2086
90,3909,1392,3,56488.985316,30.236,-12.14,6.49,1.04,9,9,-4.869e-07,2.601e-07,,,ec0915.130715.219199_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,52,r,TEMPLATE,t,1.0379,1.525,0.247,3.708,22.936,1835.0,-0.48690000000000005,0.2601
90,3909,1392,3,56489.010229,30.236,-10.29,5.88,1.37,9,9,-4.127e-07,2.357e-07,,,ec0915.130716.219211_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,58,r,TEMPLATE,t,1.0247,1.472,0.211,3.821,22.909,1840.0,-0.41269999999999996,0.2357
90,3909,1392,3,56612.303937,30.236,1.67,7.56,1.37,9,9,6.694e-08,3.029e-07,,,ec0915.131116.254781_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,66,r,TEMPLATE,t,1.0162,1.484,0.154,5.577,22.256,3289.0,0.06694,0.3029
90,3909,1392,3,56703.184694,30.236,-16.41,9.29,1.45,9,9,-6.581e-07,3.725e-07,,,ec0915.140215.285237_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,118,r,TEMPLATE,t,0.9816,1.413,0.126,5.263,22.201,3907.0,-0.6581,0.3725
90,3909,1392,3,56703.190316,30.236,-1.51,8.68,0.43,9,9,-6.057e-08,3.48e-07,,,ec0915.140215.285240_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,123,r,TEMPLATE,t,0.9933,1.409,0.098,5.266,22.22,3795.0,-0.060570000000000006,0.348
90,3909,1392,3,56852.005984,30.236,-23.94,9.64,2.22,9,9,-9.596e-07,3.866e-07,,,ec0915.140714.336064_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,160,r,TEMPLATE,t,0.8798,1.315,0.108,5.359,22.233,2925.0,-0.9596000000000001,0.3866
90,3909,1392,3,56998.343496,30.236,-25.89,7.72,1.14,9,9,-1.038e-06,3.094e-07,,,ec0915.141207.384694_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,177,r,TEMPLATE,t,1.0147,1.495,0.154,4.523,22.543,2540.0,-1.038,0.3094
90,3909,1392,3,57053.237528,30.236,-44.71,6.14,2.34,9,9,-1.793e-06,2.46e-07,,,ec0915.150131.404891_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,193,r,TEMPLATE,t,1.0019,1.831,0.271,3.403,23.08,1513.0,-1.793,0.246
90,3909,1392,3,57056.25738,30.236,-66.35,8.29,0.38,9,9,-2.66e-06,3.323e-07,,,ec0915.150203.405990_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,199,r,TEMPLATE,t,0.9718,1.363,0.165,3.473,22.622,2699.0,-2.66,0.3323
90,3909,1392,3,57056.265651,30.236,-53.61,8.71,1.21,9,9,-2.149e-06,3.492e-07,,,ec0915.150203.405994_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,205,r,TEMPLATE,t,0.973,1.409,0.186,3.692,22.597,2632.0,-2.149,0.34919999999999995
90,3909,1392,3,57090.189029,30.236,-99.12,8.14,1.77,9,9,-3.974e-06,3.265e-07,,,ec0915.150309.419767_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,224,r,TEMPLATE,t,0.9716,1.362,0.244,3.103,22.909,2398.0,-3.974,0.3265
90,3909,1392,3,57198.957095,30.236,-82.29,7.63,1.23,9,9,-3.299e-06,3.06e-07,,,ec0915.150625.453950_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,257,r,TEMPLATE,t,0.9621,1.065,0.117,4.828,22.323,2652.0,-3.299,0.306
90,3909,1392,3,57198.962738,30.236,-53.49,7.17,2.7,9,9,-2.145e-06,2.875e-07,,,ec0915.150625.453953_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,261,r,TEMPLATE,t,0.9604,1.262,0.13,5.309,22.369,2091.0,-2.1449999999999996,0.2875
90,3909,1392,3,57199.002336,30.236,-51.38,8.54,1.0,9,9,-2.06e-06,3.426e-07,,,ec0915.150626.453974_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,265,r,TEMPLATE,t,0.9562,1.013,0.127,5.025,22.357,2533.0,-2.06,0.3426
90,3909,1392,3,57387.337417,30.236,-10.08,7.34,1.47,9,9,-4.04e-07,2.943e-07,,,ec0915.151231.507218_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,275,r,TEMPLATE,t,0.9762,1.377,0.225,3.359,22.924,1914.0,-0.404,0.2943
90,3909,1392,3,57388.331676,30.236,-26.56,6.95,1.03,9,9,-1.065e-06,2.787e-07,,,ec0915.160101.507559_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,281,r,TEMPLATE,t,0.9824,1.316,0.184,3.604,22.939,1651.0,-1.065,0.27869999999999995
90,3909,1392,3,57452.203767,30.236,-11.98,7.85,0.53,9,9,-4.805e-07,3.146e-07,,,ec0915.160305.523436_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,296,r,TEMPLATE,t,1.0021,1.333,0.287,2.788,23.156,2014.0,-0.4805,0.31460000000000005
90,3909,1392,3,57545.097186,30.236,-10.29,6.69,2.02,9,9,-4.125e-07,2.682e-07,,,ec0915.160606.546815_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,317,r,TEMPLATE,t,0.9788,1.027,0.151,7.481,22.155,1667.0,-0.41250000000000003,0.2682
90,3909,1392,3,57545.101308,30.236,2.64,7.13,1.18,9,9,1.058e-07,2.858e-07,,,ec0915.160606.546817_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,320,r,TEMPLATE,t,0.7702,1.293,0.159,6.992,22.166,1129.0,0.10579999999999999,0.2858
90,3909,1392,3,57545.102798,30.236,-19.94,7.52,1.59,9,9,-7.993e-07,3.017e-07,,,ec0915.160606.546818_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,321,r,TEMPLATE,t,0.7102,1.262,0.154,8.035,21.968,1062.0,-0.7993,0.3017
90,3909,1392,3,57566.037228,30.236,-24.19,7.33,0.58,9,9,-9.697e-07,2.938e-07,,,ec0915.160627.549000_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,331,r,TEMPLATE,t,0.9119,1.089,0.137,4.828,22.574,1681.0,-0.9697,0.2938
90,3909,1392,3,57778.252702,30.236,-65.09,5.05,0.65,9,9,-2.61e-06,2.024e-07,,,ec0915.170125.612774_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,353,r,TEMPLATE,t,0.8913,1.665,0.267,4.73,22.895,917.0,-2.61,0.20240000000000002
90,3909,1392,3,57778.256835,30.236,-39.36,6.29,1.18,9,9,-1.578e-06,2.524e-07,,,ec0915.170125.612776_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,358,r,TEMPLATE,t,0.8911,1.389,0.2,4.09,22.945,1070.0,-1.578,0.2524
90,3909,1392,3,57782.268868,30.236,-42.21,6.52,1.41,9,9,-1.692e-06,2.615e-07,,,ec0915.170129.614187_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,361,r,TEMPLATE,t,0.9276,1.416,0.212,3.598,23.017,1309.0,-1.6920000000000002,0.2615
90,3909,1392,3,57782.272997,30.236,-37.79,6.38,0.7,9,9,-1.515e-06,2.56e-07,,,ec0915.170129.614189_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,364,r,TEMPLATE,t,0.9311,1.367,0.195,3.979,22.944,1238.0,-1.515,0.256
90,3909,1392,3,57830.199155,30.236,-47.17,7.12,0.88,9,9,-1.891e-06,2.855e-07,,,ec0915.170318.631347_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,388,r,TEMPLATE,t,0.9378,1.609,0.265,3.229,23.078,1554.0,-1.891,0.28550000000000003
90,3909,1392,3,57830.199155,30.236,-48.55,6.85,0.87,9,9,-1.946e-06,2.746e-07,,,ec0915.170318.631347_ooi_r_vx_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,389,r,TEMPLATE,t,0.9057,1.676,0.226,3.23,23.149,1241.0,-1.9460000000000002,0.2746
90,3909,1392,3,57847.12133,30.236,-44.76,7.34,0.81,9,9,-1.795e-06,2.943e-07,,,ec0915.170404.636944_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,392,r,TEMPLATE,t,0.9508,1.286,0.215,4.069,22.797,1660.0,-1.795,0.2943
90,3909,1392,3,57847.12133,30.236,-45.48,6.27,1.1,9,9,-1.823e-06,2.514e-07,,,ec0915.170404.636944_ooi_r_vx_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,393,r,TEMPLATE,t,0.9283,1.652,0.208,4.079,23.004,1022.0,-1.823,0.2514
90,3909,1392,3,57848.989641,30.236,-63.94,6.94,0.95,9,9,-2.563e-06,2.782e-07,,,ec0915.170405.637487_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,399,r,TEMPLATE,t,1.1422,1.527,0.227,3.644,22.877,2276.0,-2.5629999999999997,0.2782
