ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
0,3460,1472,3,56255.304405,30.469,6.59,6.01,1.21,9,9,2.131e-07,1.945e-07,,,ec0915.121124.155038_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,0,g,TEMPLATE,t,0.5659,1.223,0.071,4.458,23.012,512.0,0.21309999999999998,0.1945,155038
0,3460,1472,3,56255.3059,30.469,10.73,6.41,0.61,9,9,3.472e-07,2.074e-07,,,ec0915.121124.155039_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,1,g,TEMPLATE,t,0.5627,1.214,0.065,4.492,23.003,517.0,0.3472,0.2074,155039
0,3460,1472,3,56341.278127,30.469,20.72,4.02,2.53,9,9,6.701e-07,1.3e-07,24.335,0.210566,ec0915.130218.178882_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,7,g,TEMPLATE,t,1.2389,1.297,0.091,4.465,23.46,1024.0,0.6701,0.13,178882
0,3460,1472,3,56341.28397,30.469,14.21,4.44,0.68,9,9,4.596e-07,1.435e-07,24.744,0.338978,ec0915.130218.178883_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,8,g,TEMPLATE,t,1.2405,1.252,0.074,5.725,23.198,1007.0,0.4596,0.14350000000000002,178883
0,3460,1472,3,56341.286605,30.469,10.46,4.16,1.55,9,9,3.384e-07,1.345e-07,,,ec0915.130218.178884_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,9,g,TEMPLATE,t,1.2392,1.321,0.123,5.205,23.271,1015.0,0.33840000000000003,0.13449999999999998,178884
0,3460,1472,3,56418.9714,30.469,7.83,4.24,0.59,9,9,2.531e-07,1.373e-07,,,ec0915.130506.204626_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,23,g,TEMPLATE,t,1.2231,1.327,0.183,5.184,23.296,1098.0,0.2531,0.1373,204626
0,3460,1472,3,56487.982626,30.469,-11.73,5.13,0.65,9,9,-3.795e-07,1.658e-07,,,ec0915.130714.218754_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,27,g,TEMPLATE,t,1.2083,1.251,0.089,4.616,23.188,1487.0,-0.3795,0.1658,218754
0,3460,1472,3,56488.982674,30.469,1.22,5.09,0.52,9,9,3.932e-08,1.646e-07,,,ec0915.130715.219198_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,31,g,TEMPLATE,t,1.2059,1.258,0.093,4.354,23.104,1858.0,0.03932,0.1646,219198
0,3460,1472,3,56489.007577,30.469,-9.03,5.17,0.45,9,9,-2.922e-07,1.671e-07,,,ec0915.130716.219210_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,35,g,TEMPLATE,t,1.1748,1.247,0.092,4.521,23.014,1897.0,-0.29219999999999996,0.1671,219210
0,3460,1472,3,56612.301256,30.469,-15.06,10.5,0.86,9,9,-4.871e-07,3.397e-07,,,ec0915.131116.254780_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,40,g,TEMPLATE,t,1.1227,1.277,0.07,6.326,22.021,6430.0,-0.4871,0.3397,254780
