ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
30,4011,816,3,56255.3074,30.275,-355.43,6.34,0.68,9,9,-1.374e-05,2.45e-07,,,ec0915.121124.155040_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,2,r,TEMPLATE,t,0.9965,1.261,0.102,3.849,23.087,1478.0,-13.74,0.245,155040
30,4011,816,3,56255.308881,30.275,-355.64,6.25,1.7,9,9,-1.375e-05,2.415e-07,,,ec0915.121124.155041_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,3,r,TEMPLATE,t,0.9979,1.254,0.099,3.801,23.073,1521.0,-13.75,0.2415,155041
30,4011,816,3,56341.293398,30.275,-355.2,5.64,2.03,9,9,-1.373e-05,2.179e-07,,,ec0915.130218.178887_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,12,r,TEMPLATE,t,1.0541,1.267,0.104,4.142,23.057,1428.0,-13.73,0.2179,178887
30,4011,816,3,56341.294876,30.275,-355.27,5.41,1.25,9,9,-1.373e-05,2.09e-07,,,ec0915.130218.178888_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,13,r,TEMPLATE,t,1.0543,1.275,0.113,4.05,23.064,1462.0,-13.73,0.20900000000000002,178888
30,4011,816,3,56418.974052,30.275,-335.57,5.76,0.81,9,9,-1.297e-05,2.226e-07,,,ec0915.130506.204627_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,24,r,TEMPLATE,t,1.0177,1.523,0.24,4.666,22.956,1418.0,-12.969999999999999,0.2226,204627
30,4011,816,3,56487.98529,30.275,-357.64,6.19,1.12,9,9,-1.383e-05,2.392e-07,,,ec0915.130714.218755_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,28,r,TEMPLATE,t,1.0355,1.188,0.076,4.322,22.84,1837.0,-13.83,0.23920000000000002,218755
30,4011,816,3,56488.985316,30.275,-359.03,6.17,1.61,9,9,-1.388e-05,2.387e-07,,,ec0915.130715.219199_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,32,r,TEMPLATE,t,1.0355,1.192,0.086,3.707,22.936,1835.0,-13.879999999999999,0.2387,219199
30,4011,816,3,56489.010229,30.275,-354.58,5.91,2.6,9,9,-1.371e-05,2.284e-07,,,ec0915.130716.219211_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,36,r,TEMPLATE,t,1.0254,1.226,0.109,3.821,22.903,1840.0,-13.709999999999999,0.22840000000000002,219211
30,4011,816,3,56612.303937,30.275,-299.0,8.03,1.86,9,9,-1.156e-05,3.104e-07,,,ec0915.131116.254781_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,41,r,TEMPLATE,t,1.0088,1.349,0.088,5.577,22.256,3284.0,-11.559999999999999,0.31039999999999995,254781
30,4011,816,3,56668.208489,30.275,-294.96,5.7,1.5,9,9,-1.14e-05,2.204e-07,,,ec0915.140111.273122_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,45,r,TEMPLATE,t,1.0347,1.684,0.219,4.091,23.013,1573.0,-11.399999999999999,0.22039999999999998,273122
