                                                                                                                               fitsfile                                                                FITSNAME PHOTCODE       MJD-OBS SSSIG00 SSSCAT00 FSIG00 FSCAT00  X2NRM00                                                                                                TARGET                                                                                           TEMPLATE KSUM00     SKYSIG  DSGDNSIG                                                                                               IM_dcmp                                                                                          TMPL_dcmp    IM_FWHM IM_M5SIGMA IM_EXPTIME IM_MAGZERO IM_ZPTMAG IM_UFZPTMAG IM_ZPTNSTAR TMPL_FWHM TMPL_M5SIGMA TMPL_EXPTIME TMPL_MAGZERO TMPL_ZPTMAG TMPL_UFZPTMAG TMPL_ZPTNSTAR
    /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.131116.254782_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits     ec0915.131116.254782_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  56612.305456  0.8340   0.0364 1.2962  0.0596   3.2858     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.131116.254782_ooi_i_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 1.0757       23.0      None     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.131116.254782_ooi_i_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   5.455273    22.2923      100.0     30.281    30.281      30.281        8223   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.260220.1458140_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits ec0915.260220.1458140_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  61091.107692  0.5825   0.0643 1.2109  0.1298   2.9681 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.260220.1458140_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 1.0135  15.199951  1.787154 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.260220.1458140_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp    3.70315    23.0313      100.0    30.1496   30.1496     30.1496        9727   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
    /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.130218.178885_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits     ec0915.130218.178885_ooi_z_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016  56341.289265  0.5301   0.0202 1.2544  0.0493   5.1530     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.130218.178885_ooi_z_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.8559  23.800049      None     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.130218.178885_ooi_z_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   4.657654    22.9067      150.0    30.7608   30.7608     30.7608       11064  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.160101.507559_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits  ec0915.160101.507559_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits 0x395014  57388.331676  0.4261   0.0392 0.8169  0.0728   1.5138  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.160101.507559_ooi_r_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.fits 0.9828       20.5  1.178514  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.160101.507559_ooi_r_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.dcmp   3.608017    22.8278      100.0    30.2426   30.2426     30.2426        8617  2.782884       23.124        100.0      30.2985     30.2985       30.2985          9802
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.191223.921799_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits  ec0915.191223.921799_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x395013  58840.356508  0.9343   0.0528 1.0505  0.0610   1.9036  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.191223.921799_ooi_g_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.fits 1.2162  27.600098      None  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.191223.921799_ooi_g_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.dcmp   3.521794    22.9648      200.0    30.6763   30.6763     30.6763        6441  3.170994      23.8373        200.0      30.4937     30.4937       30.4937          6320
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.160627.549001_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits  ec0915.160627.549001_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015   57566.03871  0.5971   0.0251 0.9681  0.0409   1.9245  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.160627.549001_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 0.9600  21.699951      None  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.160627.549001_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   4.828556    22.3212      100.0    30.1142   30.1142     30.1142        9549   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.240520.1299887_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits ec0915.240520.1299887_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  60450.068074  0.7772   0.0539 1.1262  0.0833   2.3621 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.240520.1299887_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 0.9924  24.899902      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.240520.1299887_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   3.787323    22.4271      100.0    30.1057   30.1057     30.1057        9202   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.241217.1347661_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits ec0915.241217.1347661_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016  60661.286059  0.6242   0.0412 1.2000  0.0838   2.3875 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.241217.1347661_ooi_z_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.4965  29.399902      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.241217.1347661_ooi_z_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   3.933571    22.2988      100.0    30.1989   30.1989     30.1989       13396  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.200122.925783_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits  ec0915.200122.925783_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits 0x395014  58870.166805  0.3899   0.0453 1.0744  0.0996   1.8386  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.200122.925783_ooi_r_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.fits 0.9036  14.199951  1.436655  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.200122.925783_ooi_r_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.dcmp   3.569126     23.209      100.0    30.2134   30.2134     30.2134        9970  2.782884       23.124        100.0      30.2985     30.2985       30.2985          9802
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.251109.1433487_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits ec0915.251109.1433487_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016  60988.321944  0.5867   0.0312 1.1851  0.0700   1.6997 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.251109.1433487_ooi_z_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.5627  27.899902  1.779405 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.251109.1433487_ooi_z_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   4.618823    22.2986      100.0    30.3162   30.3162     30.3162       12010  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
