ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,2069,2290,3,56255.3074,30.299,31.3,6.11,0.69,9,9,1.184e-06,2.312e-07,23.716,0.21195,ec0915.121124.155040_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,2,r,TEMPLATE,t,1.0029,1.322,0.116,3.9,23.169,1242.0,1.184,0.2312,155040,True,True
0,2069,2290,3,56255.308881,30.299,1.6,5.44,1.69,9,9,6.07e-08,2.058e-07,,,ec0915.121124.155041_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,3,r,TEMPLATE,t,0.998,1.278,0.096,3.797,23.173,1269.0,0.0607,0.2058,155041,True,True
0,2069,2290,3,56341.293398,30.299,16.34,5.21,0.54,9,9,6.181e-07,1.971e-07,24.422,0.346151,ec0915.130218.178887_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,12,r,TEMPLATE,t,1.0581,1.307,0.106,4.154,23.194,1127.0,0.6181,0.1971,178887,True,True
0,2069,2290,3,56341.294876,30.299,1.2,5.51,1.02,9,9,4.557e-08,2.085e-07,,,ec0915.130218.178888_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,13,r,TEMPLATE,t,1.0533,1.29,0.11,4.066,23.191,1158.0,0.04557,0.2085,178888,True,True
0,2069,2290,3,56360.211203,30.299,-13.99,5.05,0.41,9,9,-5.295e-07,1.911e-07,,,ec0915.130309.184933_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,17,r,TEMPLATE,t,1.0404,1.48,0.184,3.684,23.402,949.0,-0.5295,0.1911,184933,True,True
0,2069,2290,3,56418.974052,30.299,5.71,5.82,0.86,9,9,2.159e-07,2.202e-07,,,ec0915.130506.204627_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,24,r,TEMPLATE,t,1.0355,1.183,0.114,4.657,22.936,1475.0,0.2158999999999999,0.2202,204627,True,True
0,2069,2290,3,56487.98529,30.299,24.59,6.04,0.37,9,9,9.303e-07,2.287e-07,23.979,0.266938,ec0915.130714.218755_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,28,r,TEMPLATE,t,1.0423,1.243,0.082,4.29,22.969,1521.0,0.9303,0.2287,218755,True,True
0,2069,2290,3,56488.985316,30.299,19.4,6.33,2.0,9,9,7.34e-07,2.396e-07,24.236,0.354354,ec0915.130715.219199_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,32,r,TEMPLATE,t,1.0448,1.231,0.087,3.724,23.06,1522.0,0.734,0.2396,219199,True,True
0,2069,2290,3,56489.010229,30.299,19.25,5.85,0.91,9,9,7.284e-07,2.212e-07,24.244,0.329704,ec0915.130716.219211_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,36,r,TEMPLATE,t,1.0307,1.254,0.093,3.904,23.007,1547.0,0.7283999999999999,0.2212,219211,True,True
0,2069,2290,3,56612.303937,30.299,-32.84,8.82,2.16,9,9,-1.243e-06,3.336e-07,,,ec0915.131116.254781_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,41,r,TEMPLATE,t,1.0184,1.295,0.061,5.472,22.265,3294.0,-1.243,0.3336,254781,True,True
0,2069,2290,3,56668.208489,30.299,-11.57,6.17,1.85,9,9,-4.379e-07,2.334e-07,,,ec0915.140111.273122_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,45,r,TEMPLATE,t,1.0409,1.376,0.079,4.143,22.979,1613.0,-0.4379,0.2334,273122,True,True
0,2069,2290,3,56668.216806,30.299,,,,0,0,,,,,ec0915.140111.273126_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,49,r,TEMPLATE,t,1.0263,1.422,0.09,4.5,22.849,1546.0,,,273126,False,True
0,2069,2290,3,56676.356367,30.299,-21.41,6.82,3.38,9,9,-8.102e-07,2.579e-07,,,ec0915.140119.275866_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,65,r,TEMPLATE,t,1.0105,1.354,0.085,3.979,22.805,2255.0,-0.8102,0.2579,275866,True,True
0,2069,2290,3,56703.184694,30.299,-24.56,10.09,1.38,9,9,-9.292e-07,3.817e-07,,,ec0915.140215.285237_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,71,r,TEMPLATE,t,0.9871,1.392,0.105,5.27,22.191,3939.0,-0.9292,0.3817,285237,True,True
0,2069,2290,3,56703.190316,30.299,,,,0,0,,,,,ec0915.140215.285240_ooi_r_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,74,r,TEMPLATE,t,1.0055,1.288,0.065,5.276,22.213,3843.0,,,285240,False,True
0,2069,2290,3,56745.060695,30.299,-35.54,6.73,1.82,9,9,-1.345e-06,2.545e-07,,,ec0915.140329.296581_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,81,r,TEMPLATE,t,0.9895,1.44,0.257,3.168,23.349,1265.0,-1.345,0.2545,296581,False,False
0,2069,2290,3,56852.005984,30.299,-10.01,8.25,1.1,9,9,-3.787e-07,3.122e-07,,,ec0915.140714.336064_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,98,r,TEMPLATE,t,0.8851,1.278,0.045,5.313,22.299,2684.0,-0.3787,0.3122,336064,True,True
0,2069,2290,3,56998.343496,30.299,21.3,8.06,1.35,9,9,8.06e-07,3.048e-07,,,ec0915.141207.384694_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,109,r,TEMPLATE,t,1.0165,1.216,0.054,4.567,22.507,2524.0,0.8059999999999999,0.3047999999999999,384694,True,True
0,2069,2290,3,57026.255699,30.299,163.55,8.42,29.64,9,9,6.188e-06,3.184e-07,21.921,0.055866,ec0915.150104.394298_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,114,r,TEMPLATE,t,0.9787,1.68,0.111,3.913,22.703,1929.0,6.188,0.3184,394298,True,True
0,2069,2290,3,57050.239138,30.299,-4.21,6.96,0.55,9,9,-1.593e-07,2.635e-07,,,ec0915.150128.403909_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,116,r,TEMPLATE,t,0.9483,0.975,0.151,3.746,22.934,1368.0,-0.1593,0.2635,403909,True,True
0,2069,2290,3,57053.237528,30.299,9.47,6.9,0.6,9,9,3.584e-07,2.61e-07,,,ec0915.150131.404891_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,120,r,TEMPLATE,t,0.9885,1.275,0.092,3.429,23.024,1527.0,0.3584,0.261,404891,True,True
0,2069,2290,3,57056.25738,30.299,-9.18,10.09,1.73,9,9,-3.475e-07,3.817e-07,,,ec0915.150203.405990_ooi_r_ls9_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,124,r,TEMPLATE,t,0.9721,1.004,0.066,3.626,22.522,2959.0,-0.3475,0.3817,405990,True,True
0,2069,2290,3,57056.265651,30.299,,,,0,0,,,,,ec0915.150203.405994_ooi_r_ls9_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,128,r,TEMPLATE,t,0.9655,1.038,0.063,3.773,22.517,2858.0,,,405994,False,True
0,2069,2290,3,57083.230787,30.299,20.86,6.55,0.69,9,9,7.891e-07,2.477e-07,24.157,0.34076,ec0915.150302.417213_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,133,r,TEMPLATE,t,0.9604,1.239,0.058,4.353,22.666,1585.0,0.7891,0.2476999999999999,417213,True,True
0,2069,2290,3,57090.189029,30.299,,,,0,0,,,,,ec0915.150309.419767_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,141,r,TEMPLATE,t,0.9684,0.968,0.099,3.206,22.831,2482.0,,,419767,False,True
0,2069,2290,3,57139.007316,30.299,-11.78,7.52,1.43,9,9,-4.456e-07,2.846e-07,,,ec0915.150427.437745_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,149,r,TEMPLATE,t,0.9802,0.877,0.035,6.029,22.289,1977.0,-0.4456,0.2846,437745,True,True
0,2069,2290,3,57198.957095,30.299,7.8,8.61,1.95,9,9,2.95e-07,3.257e-07,,,ec0915.150625.453950_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,160,r,TEMPLATE,t,0.9553,0.798,0.038,4.889,22.254,2757.0,0.295,0.3257,453950,True,True
0,2069,2290,3,57198.962738,30.299,,,,0,0,,,,,ec0915.150625.453953_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,163,r,TEMPLATE,t,0.9577,0.88,0.031,5.393,22.263,2328.0,,,453953,False,True
0,2069,2290,3,57199.002336,30.299,7.29,9.02,0.66,9,9,2.758e-07,3.413e-07,,,ec0915.150626.453974_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,166,r,TEMPLATE,t,0.9539,0.706,0.03,5.126,22.267,2665.0,0.2758,0.3413,453974,True,True
0,2069,2290,3,57387.337417,30.299,-10.12,7.66,0.2,9,9,-3.827e-07,2.897e-07,,,ec0915.151231.507218_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,172,r,TEMPLATE,t,0.9758,0.811,0.067,3.429,22.809,2113.0,-0.3827,0.2897,507218,True,True
0,2069,2290,3,57388.331676,30.299,-1.26,7.89,0.76,9,9,-4.779e-08,2.986e-07,,,ec0915.160101.507559_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,176,r,TEMPLATE,t,0.9828,0.817,0.073,3.608,22.828,1875.0,-0.04779,0.2986,507559,True,True
0,2069,2290,3,57545.097186,30.299,1.65,6.57,0.82,9,9,6.239e-08,2.486e-07,,,ec0915.160606.546815_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,197,r,TEMPLATE,t,0.99,0.705,0.061,7.429,22.077,1823.0,0.06239,0.2486,546815,False,True
0,2069,2290,3,57545.101308,30.299,,,,0,0,,,,,ec0915.160606.546817_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,199,r,TEMPLATE,t,0.7847,0.967,0.12,6.895,22.062,1299.0,,,546817,False,False
0,2069,2290,3,57545.102798,30.299,,,,0,0,,,,,ec0915.160606.546818_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits,0x0000,200,r,TEMPLATE,t,0.677,0.858,0.04,8.048,21.856,1197.0,,,546818,False,False
