ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
30,4011,816,3,56341.21111,30.15,-437.96,4.83,2.09,9,9,-1.901e-05,2.097e-07,,,ec0915.130218.178843_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,4,i,TEMPLATE,t,1.0887,1.315,0.095,3.788,23.178,1140.0,-19.01,0.2097,178843,True,True
30,4011,816,3,56341.216066,30.15,-443.03,4.63,3.67,9,9,-1.923e-05,2.007e-07,,,ec0915.130218.178844_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,5,i,TEMPLATE,t,1.0909,1.285,0.071,4.188,23.108,1122.0,-19.23,0.2007,178844,True,True
30,4011,816,3,56341.219,30.15,,,,0,0,,,,,ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,6,i,TEMPLATE,t,1.0905,1.276,0.07,4.035,23.125,1138.0,,,178845,False,True
30,4011,816,3,56343.220957,30.15,-428.47,5.33,2.27,9,9,-1.859e-05,2.311e-07,,,ec0915.130220.179486_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,14,i,TEMPLATE,t,1.1041,1.281,0.078,4.009,23.064,1317.0,-18.59,0.2311,179486,True,True
30,4011,816,3,56343.222439,30.15,-433.79,5.14,1.93,9,9,-1.883e-05,2.231e-07,,,ec0915.130220.179487_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,15,i,TEMPLATE,t,1.101,1.276,0.071,4.075,23.029,1337.0,-18.83,0.2231,179487,True,True
30,4011,816,3,56360.212694,30.15,-432.48,5.17,1.51,9,9,-1.877e-05,2.242e-07,,,ec0915.130309.184934_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,18,i,TEMPLATE,t,1.0807,1.473,0.124,3.407,23.354,1031.0,-18.770000000000003,0.2242,184934,True,True
30,4011,816,3,56402.978833,30.15,-426.45,10.3,2.45,9,9,-1.851e-05,4.47e-07,,,ec0915.130420.199841_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,19,i,TEMPLATE,t,0.8679,1.175,0.081,4.0,22.268,3657.0,-18.51,0.447,199841,True,True
30,4011,816,3,56402.980332,30.15,-450.58,9.32,1.22,9,9,-1.955e-05,4.044e-07,,,ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,20,i,TEMPLATE,t,0.8909,1.269,0.092,3.703,22.463,3208.0,-19.55,0.4044,199842,True,True
30,4011,816,3,56416.961472,30.15,-425.91,6.81,3.7,9,9,-1.848e-05,2.957e-07,,,ec0915.130504.203991_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,21,i,TEMPLATE,t,1.0877,1.373,0.063,4.91,22.467,2463.0,-18.48,0.2956999999999999,203991,True,True
30,4011,816,3,56416.962981,30.15,-460.5,7.38,0.71,9,9,-1.998e-05,3.204e-07,,,ec0915.130504.203992_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,22,i,TEMPLATE,t,1.0854,1.18,0.048,5.648,22.341,2472.0,-19.979999999999997,0.3203999999999999,203992,True,True
