# SDSS (AB)                                                       
#  filters spectra  num Av  num Rv version
#        5     902      13       1       2
# lgTef  logg  Fe_H a_Fe   Av   Rv               SDSS_u               SDSS_g               SDSS_r               SDSS_i               SDSS_z
3.17609 -1.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609 -0.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  0.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  0.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  1.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  1.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  2.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  2.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  3.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  3.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  4.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  4.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  5.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  5.50  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  6.00  0.00  0.0 0.00 3.10             -16.5853             -10.3004              -6.4268              -4.1878              -2.5285
3.17609  6.50  0.00  0.0 0.00 3.10              -5.2956              -0.5164               1.3276              -0.4671              -0.1525
3.17609  7.00  0.00  0.0 0.00 3.10              -4.8853              -0.1869               1.4360              -0.6214              -0.2991
3.17609  7.50  0.00  0.0 0.00 3.10              -4.4964               0.0225               1.4534              -0.6999              -0.3491
3.17609  8.00  0.00  0.0 0.00 3.10              -4.0914               0.2370               1.5004              -0.6621              -0.2977
3.17609  8.50  0.00  0.0 0.00 3.10              -3.6484               0.4886               1.5967              -0.5230              -0.1520
3.17609  9.00  0.00  0.0 0.00 3.10              -3.2599               0.5679               1.6309              -0.2882               0.0882
