ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
30,4011,816,3,56255.304405,30.469,-97.98,5.9,1.07,9,9,-3.169e-06,1.908e-07,,,ec0915.121124.155038_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,0,g,TEMPLATE,t,0.5659,1.227,0.071,4.458,23.012,511.0,-3.169,0.1908
30,4011,816,3,56255.3059,30.469,-96.94,5.51,2.0,9,9,-3.136e-06,1.781e-07,,,ec0915.121124.155039_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,2,g,TEMPLATE,t,0.5627,1.214,0.065,4.492,23.003,517.0,-3.136,0.1781
30,4011,816,3,56341.278127,30.469,-107.38,3.61,1.38,9,9,-3.473e-06,1.167e-07,,,ec0915.130218.178882_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,12,g,TEMPLATE,t,1.2394,1.323,0.119,4.464,23.46,1032.0,-3.473,0.11670000000000001
30,4011,816,3,56341.28397,30.469,-112.78,3.94,2.15,9,9,-3.648e-06,1.275e-07,,,ec0915.130218.178883_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,14,g,TEMPLATE,t,1.2343,1.191,0.045,5.725,23.19,1015.0,-3.648,0.1275
30,4011,816,3,56341.286605,30.469,-100.88,3.57,0.87,9,9,-3.263e-06,1.156e-07,,,ec0915.130218.178884_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,16,g,TEMPLATE,t,1.2383,1.282,0.106,5.205,23.264,1023.0,-3.263,0.11560000000000001
30,4011,816,3,56418.9714,30.469,-111.04,4.43,0.74,9,9,-3.592e-06,1.433e-07,,,ec0915.130506.204626_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,38,g,TEMPLATE,t,1.2225,1.332,0.188,5.184,23.296,1099.0,-3.592,0.14329999999999998
30,4011,816,3,56487.982626,30.469,-113.02,4.68,0.69,9,9,-3.656e-06,1.514e-07,,,ec0915.130714.218754_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,44,g,TEMPLATE,t,1.2087,1.252,0.089,4.616,23.188,1486.0,-3.6559999999999997,0.15139999999999998
30,4011,816,3,56488.982674,30.469,-121.84,4.95,2.05,9,9,-3.941e-06,1.602e-07,,,ec0915.130715.219198_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,50,g,TEMPLATE,t,1.2059,1.258,0.093,4.354,23.104,1858.0,-3.941,0.16019999999999998
30,4011,816,3,56489.007577,30.469,-107.43,4.92,2.57,9,9,-3.475e-06,1.591e-07,,,ec0915.130716.219210_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,56,g,TEMPLATE,t,1.1748,1.247,0.092,4.521,23.014,1897.0,-3.475,0.1591
30,4011,816,3,56612.301256,30.469,-75.05,10.08,0.93,9,9,-2.427e-06,3.262e-07,,,ec0915.131116.254780_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,64,g,TEMPLATE,t,1.1217,1.255,0.057,6.325,22.017,6455.0,-2.4269999999999996,0.3262
30,4011,816,3,56668.205828,30.469,-93.01,5.33,1.28,9,9,-3.009e-06,1.725e-07,,,ec0915.140111.273121_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,70,g,TEMPLATE,t,1.1936,1.434,0.113,4.661,22.998,2242.0,-3.009,0.1725
