ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
30,4011,816,3,56341.21111,30.15,-435.44,4.84,2.08,9,9,-1.89e-05,2.102e-07,,,ec0915.130218.178843_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,7,i,TEMPLATE,t,1.0887,1.315,0.098,3.788,23.178,1144.0,-18.9,0.2102
30,4011,816,3,56341.216066,30.15,-442.2,4.64,3.73,9,9,-1.919e-05,2.014e-07,,,ec0915.130218.178844_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,9,i,TEMPLATE,t,1.0911,1.276,0.07,4.188,23.108,1127.0,-19.19,0.2014
30,4011,816,3,56341.219,30.15,,,,0,0,,,,,ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,11,i,TEMPLATE,t,1.0904,1.257,0.062,4.034,23.125,1142.0,,
30,4011,816,3,56343.220957,30.15,-426.11,5.34,2.28,9,9,-1.849e-05,2.316e-07,,,ec0915.130220.179486_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,23,i,TEMPLATE,t,1.1051,1.274,0.078,4.009,23.064,1322.0,-18.490000000000002,0.2316
30,4011,816,3,56343.222439,30.15,-426.98,5.14,1.84,9,9,-1.853e-05,2.231e-07,,,ec0915.130220.179487_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,25,i,TEMPLATE,t,1.1025,1.258,0.064,4.075,23.029,1343.0,-18.53,0.2231
30,4011,816,3,56360.212694,30.15,-432.59,5.17,1.51,9,9,-1.877e-05,2.244e-07,,,ec0915.130309.184934_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,29,i,TEMPLATE,t,1.0808,1.472,0.124,3.408,23.354,1032.0,-18.770000000000003,0.2244
30,4011,816,3,56402.978833,30.15,-426.45,10.3,2.45,9,9,-1.851e-05,4.47e-07,,,ec0915.130420.199841_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,31,i,TEMPLATE,t,0.8679,1.175,0.081,4.0,22.268,3657.0,-18.51,0.447
30,4011,816,3,56402.980332,30.15,-450.55,9.31,1.23,9,9,-1.955e-05,4.042e-07,,,ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,33,i,TEMPLATE,t,0.8914,1.264,0.088,3.703,22.463,3208.0,-19.55,0.4042
30,4011,816,3,56416.961472,30.15,-425.82,6.82,3.66,9,9,-1.848e-05,2.959e-07,,,ec0915.130504.203991_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,35,i,TEMPLATE,t,1.0866,1.371,0.061,4.91,22.467,2464.0,-18.48,0.2959
30,4011,816,3,56416.962981,30.15,-460.5,7.38,0.71,9,9,-1.998e-05,3.204e-07,,,ec0915.130504.203992_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,37,i,TEMPLATE,t,1.0854,1.18,0.048,5.648,22.341,2472.0,-19.979999999999997,0.32039999999999996
30,4011,816,3,56418.975542,30.15,,,,0,0,,,,,ec0915.130506.204628_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,42,i,TEMPLATE,t,1.0858,1.094,0.062,4.477,22.703,2036.0,,
30,4011,816,3,56487.986817,30.15,-435.07,6.37,1.18,9,9,-1.888e-05,2.764e-07,,,ec0915.130714.218756_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,48,i,TEMPLATE,t,1.067,1.219,0.06,4.218,22.758,1788.0,-18.88,0.27640000000000003
