ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
30,4011,816,3,56255.308881,30.236,-51.61,5.71,0.81,9,9,-2.069e-06,2.291e-07,,,ec0915.121124.155041_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,5,r,TEMPLATE,t,1.0071,1.472,0.171,3.801,23.073,1522.0,-2.069,0.2291
30,4011,816,3,56341.294876,30.236,-65.91,5.14,0.44,9,9,-2.643e-06,2.061e-07,,,ec0915.130218.178888_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,21,r,TEMPLATE,t,1.0603,1.495,0.201,4.05,23.064,1463.0,-2.643,0.2061
30,4011,816,3,56488.985316,30.236,-53.19,5.93,1.4,9,9,-2.133e-06,2.376e-07,,,ec0915.130715.219199_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,52,r,TEMPLATE,t,1.0379,1.525,0.247,3.708,22.936,1835.0,-2.133,0.2376
30,4011,816,3,56489.010229,30.236,-54.1,5.74,1.58,9,9,-2.169e-06,2.303e-07,,,ec0915.130716.219211_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,58,r,TEMPLATE,t,1.0247,1.472,0.211,3.821,22.909,1840.0,-2.169,0.2303
30,4011,816,3,56612.303937,30.236,-35.54,7.97,2.3,9,9,-1.425e-06,3.197e-07,,,ec0915.131116.254781_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,66,r,TEMPLATE,t,1.0162,1.484,0.154,5.577,22.256,3289.0,-1.4249999999999998,0.3197
30,4011,816,3,56703.184694,30.236,-59.86,9.99,0.78,9,9,-2.4e-06,4.006e-07,,,ec0915.140215.285237_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,118,r,TEMPLATE,t,0.9816,1.413,0.126,5.263,22.201,3907.0,-2.4,0.40059999999999996
30,4011,816,3,56703.190316,30.236,-9.56,8.8,1.19,9,9,-3.832e-07,3.529e-07,,,ec0915.140215.285240_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,123,r,TEMPLATE,t,0.9933,1.409,0.098,5.266,22.22,3795.0,-0.3832,0.3529
30,4011,816,3,56852.005984,30.236,32.18,8.98,0.75,9,9,1.29e-06,3.599e-07,23.624,0.302928,ec0915.140714.336064_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,160,r,TEMPLATE,t,0.8798,1.315,0.108,5.359,22.233,2925.0,1.29,0.3599
30,4011,816,3,56998.343496,30.236,13.19,7.91,1.77,9,9,5.29e-07,3.171e-07,,,ec0915.141207.384694_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,177,r,TEMPLATE,t,1.0147,1.495,0.154,4.523,22.543,2540.0,0.529,0.3171
30,4011,816,3,57053.237528,30.236,-3.05,6.47,1.52,9,9,-1.222e-07,2.593e-07,,,ec0915.150131.404891_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,193,r,TEMPLATE,t,1.0019,1.831,0.271,3.403,23.08,1513.0,-0.12219999999999999,0.2593
30,4011,816,3,57056.25738,30.236,-19.61,16.42,0.23,9,0,-7.863e-07,6.584e-07,,,ec0915.150203.405990_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,199,r,TEMPLATE,t,0.9718,1.363,0.165,3.473,22.622,2699.0,-0.7863,0.6584
30,4011,816,3,57056.265651,30.236,16.21,8.96,1.19,9,9,6.498e-07,3.592e-07,,,ec0915.150203.405994_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,205,r,TEMPLATE,t,0.973,1.409,0.186,3.692,22.597,2632.0,0.6498,0.35919999999999996
30,4011,816,3,57090.189029,30.236,20.08,8.55,0.71,9,9,8.05e-07,3.427e-07,,,ec0915.150309.419767_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,224,r,TEMPLATE,t,0.9716,1.362,0.244,3.103,22.909,2398.0,0.805,0.3427
30,4011,816,3,57198.957095,30.236,-4.57,8.74,0.67,9,9,-1.832e-07,3.503e-07,,,ec0915.150625.453950_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,257,r,TEMPLATE,t,0.9621,1.065,0.117,4.828,22.323,2652.0,-0.1832,0.3503
30,4011,816,3,57198.962738,30.236,15.47,7.53,1.34,9,9,6.201e-07,3.018e-07,,,ec0915.150625.453953_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,261,r,TEMPLATE,t,0.9604,1.262,0.13,5.309,22.369,2091.0,0.6201,0.3018
30,4011,816,3,57199.002336,30.236,-22.96,7.93,0.27,9,9,-9.204e-07,3.18e-07,,,ec0915.150626.453974_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,265,r,TEMPLATE,t,0.9562,1.013,0.127,5.025,22.357,2533.0,-0.9204,0.318
30,4011,816,3,57387.337417,30.236,192.19,7.71,1.04,9,9,7.705e-06,3.091e-07,21.683,0.043556,ec0915.151231.507218_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,275,r,TEMPLATE,t,0.9762,1.377,0.225,3.359,22.924,1914.0,7.705,0.3091
30,4011,816,3,57388.331676,30.236,184.54,6.93,0.92,9,9,7.399e-06,2.78e-07,21.727,0.040791,ec0915.160101.507559_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,281,r,TEMPLATE,t,0.9824,1.316,0.184,3.604,22.939,1651.0,7.399,0.27799999999999997
30,4011,816,3,57452.203767,30.236,297.2,8.98,1.13,9,9,1.192e-05,3.599e-07,21.21,0.032796,ec0915.160305.523436_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,296,r,TEMPLATE,t,1.0021,1.333,0.287,2.788,23.156,2014.0,11.92,0.3599
