ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
30,4011,816,3,56341.289265,30.915,-677.61,10.8,1.83,9,9,-1.453e-05,2.315e-07,,,ec0915.130218.178885_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,18,z,TEMPLATE,t,0.8492,1.282,0.084,4.678,22.854,3319.0,-14.53,0.2315
30,4011,816,3,56341.291336,30.915,-653.43,10.46,1.11,9,9,-1.401e-05,2.243e-07,,,ec0915.130218.178886_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,19,z,TEMPLATE,t,0.8444,1.272,0.081,4.272,22.891,3368.0,-14.01,0.2243
30,4011,816,3,56360.209714,30.915,-653.42,12.51,0.8,9,9,-1.401e-05,2.683e-07,,,ec0915.130309.184932_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,26,z,TEMPLATE,t,0.5302,1.503,0.172,2.985,23.119,1729.0,-14.01,0.2683
30,4011,816,3,56418.977034,30.915,,,,0,0,,,,,ec0915.130506.204629_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,43,z,TEMPLATE,t,1.1499,1.408,0.13,4.154,22.941,6632.0,,
30,4011,816,3,56487.988309,30.915,-633.86,9.9,1.65,9,9,-1.359e-05,2.123e-07,,,ec0915.130714.218757_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,49,z,TEMPLATE,t,1.1065,1.398,0.136,4.132,22.883,6362.0,-13.59,0.2123
30,4011,816,3,56488.988287,30.915,-651.75,10.42,0.82,9,9,-1.398e-05,2.234e-07,,,ec0915.130715.219201_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,55,z,TEMPLATE,t,1.1793,1.398,0.139,3.539,23.022,7003.0,-13.98,0.22340000000000002
30,4011,816,3,56489.013217,30.915,-653.4,10.44,0.86,9,9,-1.401e-05,2.239e-07,,,ec0915.130716.219213_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,61,z,TEMPLATE,t,1.1645,1.353,0.114,3.653,23.001,6725.0,-14.01,0.22390000000000002
30,4011,816,3,56612.306942,30.915,-678.19,11.01,0.78,9,9,-1.454e-05,2.36e-07,,,ec0915.131116.254783_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,69,z,TEMPLATE,t,1.1232,1.328,0.093,4.868,22.731,6465.0,-14.54,0.236
30,4011,816,3,56668.211483,30.915,-664.78,7.87,2.92,9,9,-1.426e-05,1.688e-07,,,ec0915.140111.273124_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,75,z,TEMPLATE,t,1.1727,1.49,0.155,3.611,23.257,4306.0,-14.260000000000002,0.1688
30,4011,816,3,56668.219813,30.915,-629.53,8.61,2.96,9,9,-1.35e-05,1.847e-07,,,ec0915.140111.273128_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,81,z,TEMPLATE,t,1.1786,1.44,0.115,4.442,23.028,4385.0,-13.5,0.1847
