ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
90,3909,1392,3,56341.289265,30.915,95.09,11.53,0.48,9,0,2.039e-06,2.472e-07,23.126,0.1316,ec0915.130218.178885_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,18,z,TEMPLATE,t,0.8492,1.282,0.084,4.678,22.854,3319.0,2.0389999999999997,0.2472
90,3909,1392,3,56341.291336,30.915,105.28,10.76,0.88,9,0,2.258e-06,2.308e-07,23.016,0.110986,ec0915.130218.178886_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,19,z,TEMPLATE,t,0.8444,1.272,0.081,4.272,22.891,3368.0,2.258,0.2308
90,3909,1392,3,56360.209714,30.915,89.11,14.17,0.43,9,0,1.911e-06,3.04e-07,23.197,0.172704,ec0915.130309.184932_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,26,z,TEMPLATE,t,0.5302,1.503,0.172,2.985,23.119,1729.0,1.911,0.30400000000000005
90,3909,1392,3,56418.977034,30.915,71.86,11.49,0.69,9,0,1.541e-06,2.464e-07,23.431,0.173634,ec0915.130506.204629_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,43,z,TEMPLATE,t,1.1499,1.408,0.13,4.154,22.941,6632.0,1.541,0.24639999999999998
90,3909,1392,3,56487.988309,30.915,68.27,11.1,0.61,9,0,1.464e-06,2.38e-07,23.486,0.176463,ec0915.130714.218757_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,49,z,TEMPLATE,t,1.1065,1.398,0.136,4.132,22.883,6362.0,1.4640000000000002,0.238
90,3909,1392,3,56488.988287,30.915,32.26,11.9,0.63,9,0,6.918e-07,2.552e-07,,,ec0915.130715.219201_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,55,z,TEMPLATE,t,1.1793,1.398,0.139,3.539,23.022,7003.0,0.6918,0.2552
90,3909,1392,3,56489.013217,30.915,42.85,11.91,0.33,9,0,9.189e-07,2.555e-07,23.992,0.301897,ec0915.130716.219213_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,61,z,TEMPLATE,t,1.1645,1.353,0.114,3.653,23.001,6725.0,0.9189,0.2555
90,3909,1392,3,56612.306942,30.915,15.91,12.12,0.32,9,0,3.412e-07,2.599e-07,,,ec0915.131116.254783_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,69,z,TEMPLATE,t,1.1232,1.328,0.093,4.868,22.731,6465.0,0.3412,0.25989999999999996
90,3909,1392,3,56668.211483,30.915,9.89,9.36,2.56,9,0,2.12e-07,2.007e-07,,,ec0915.140111.273124_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,75,z,TEMPLATE,t,1.1727,1.49,0.155,3.611,23.257,4306.0,0.212,0.2007
90,3909,1392,3,56668.219813,30.915,65.61,9.38,0.69,9,0,1.407e-06,2.013e-07,23.529,0.155303,ec0915.140111.273128_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,81,z,TEMPLATE,t,1.1786,1.44,0.115,4.442,23.028,4385.0,1.407,0.2013
90,3909,1392,3,56713.197028,30.915,-9.01,9.59,0.47,9,0,-1.932e-07,2.057e-07,,,ec0915.140225.288123_ooi_z_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,131,z,TEMPLATE,t,1.1688,1.476,0.16,3.898,23.153,5177.0,-0.1932,0.2057
90,3909,1392,3,56764.149481,30.915,10.75,10.95,0.97,9,0,2.305e-07,2.349e-07,,,ec0915.140417.301623_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,138,z,TEMPLATE,t,1.0981,1.469,0.162,3.443,23.118,5853.0,0.2305,0.2349
90,3909,1392,3,56764.153625,30.915,11.15,10.72,1.98,9,0,2.39e-07,2.299e-07,,,ec0915.140417.301625_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,141,z,TEMPLATE,t,1.0964,1.428,0.12,3.416,23.19,5889.0,0.23900000000000002,0.2299
90,3909,1392,3,56814.091425,30.915,28.43,10.27,0.88,9,0,6.097e-07,2.202e-07,,,ec0915.140606.320269_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,146,z,TEMPLATE,t,1.1453,1.415,0.092,5.263,22.754,5334.0,0.6096999999999999,0.2202
90,3909,1392,3,56834.960611,30.915,-0.33,12.57,0.84,9,0,-7.162e-09,2.696e-07,,,ec0915.140626.331029_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,148,z,TEMPLATE,t,1.0973,1.463,0.126,4.69,22.667,7572.0,-0.007162,0.2696
90,3909,1392,3,56854.965339,30.915,11.05,13.37,0.84,9,0,2.37e-07,2.866e-07,,,ec0915.140716.337810_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,161,z,TEMPLATE,t,1.0186,1.415,0.111,4.131,22.811,6949.0,0.237,0.28659999999999997
90,3909,1392,3,56998.316848,30.915,-56.32,12.35,0.64,9,0,-1.208e-06,2.648e-07,,,ec0915.141207.384681_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,173,z,TEMPLATE,t,1.1283,1.229,0.116,3.559,22.939,6560.0,-1.208,0.2648
90,3909,1392,3,56998.321015,30.915,-91.58,12.0,0.24,9,0,-1.964e-06,2.574e-07,,,ec0915.141207.384683_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,176,z,TEMPLATE,t,1.1258,1.196,0.077,4.304,22.778,6407.0,-1.9640000000000002,0.2574
