ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
0,3460,1472,3,56255.304405,30.469,9.37,6.01,1.2,9,9,3.032e-07,1.945e-07,,,ec0915.121124.155038_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,0,g,TEMPLATE,t,0.5659,1.227,0.071,4.458,23.012,511.0,0.3032,0.1945
0,3460,1472,3,56255.3059,30.469,12.4,6.41,0.61,9,9,4.011e-07,2.074e-07,,,ec0915.121124.155039_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,2,g,TEMPLATE,t,0.5627,1.214,0.065,4.492,23.003,517.0,0.4011,0.2074
0,3460,1472,3,56341.278127,30.469,24.12,4.03,2.53,9,9,7.803e-07,1.303e-07,24.169,0.181341,ec0915.130218.178882_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,12,g,TEMPLATE,t,1.2394,1.323,0.119,4.464,23.46,1032.0,0.7803,0.1303
0,3460,1472,3,56341.28397,30.469,19.01,4.48,0.7,9,9,6.149e-07,1.448e-07,24.428,0.255694,ec0915.130218.178883_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,14,g,TEMPLATE,t,1.2343,1.191,0.045,5.725,23.19,1015.0,0.6149,0.1448
0,3460,1472,3,56341.286605,30.469,15.17,4.18,1.5,9,9,4.907e-07,1.351e-07,24.673,0.298946,ec0915.130218.178884_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,16,g,TEMPLATE,t,1.2383,1.282,0.106,5.205,23.264,1023.0,0.4907,0.13510000000000003
0,3460,1472,3,56418.9714,30.469,12.82,4.24,0.58,9,9,4.148e-07,1.373e-07,24.855,0.359326,ec0915.130506.204626_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,38,g,TEMPLATE,t,1.2225,1.332,0.188,5.184,23.296,1099.0,0.4148,0.1373
0,3460,1472,3,56487.982626,30.469,-7.29,5.13,0.65,9,9,-2.357e-07,1.658e-07,,,ec0915.130714.218754_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,44,g,TEMPLATE,t,1.2087,1.252,0.089,4.616,23.188,1486.0,-0.2357,0.1658
0,3460,1472,3,56488.982674,30.469,5.21,5.09,0.53,9,9,1.685e-07,1.646e-07,,,ec0915.130715.219198_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,50,g,TEMPLATE,t,1.2059,1.258,0.093,4.354,23.104,1858.0,0.1685,0.1646
0,3460,1472,3,56489.007577,30.469,-6.7,5.17,0.5,9,9,-2.168e-07,1.671e-07,,,ec0915.130716.219210_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,56,g,TEMPLATE,t,1.1748,1.247,0.092,4.521,23.014,1897.0,-0.21680000000000002,0.1671
0,3460,1472,3,56612.301256,30.469,-6.34,10.56,0.84,9,9,-2.05e-07,3.415e-07,,,ec0915.131116.254780_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,64,g,TEMPLATE,t,1.1217,1.255,0.057,6.325,22.017,6455.0,-0.205,0.34149999999999997
0,3460,1472,3,56668.205828,30.469,-5.39,5.99,1.07,9,9,-1.743e-07,1.937e-07,,,ec0915.140111.273121_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,70,g,TEMPLATE,t,1.1936,1.434,0.113,4.661,22.998,2242.0,-0.17429999999999998,0.19369999999999998
0,3460,1472,3,56668.214154,30.469,-13.22,6.09,1.03,9,9,-4.277e-07,1.971e-07,,,ec0915.140111.273125_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,76,g,TEMPLATE,t,1.2138,1.437,0.108,5.254,22.856,2107.0,-0.4277,0.19710000000000003
0,3460,1472,3,56676.353704,30.469,-0.9,7.72,0.46,9,9,-2.911e-08,2.496e-07,,,ec0915.140119.275865_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,106,g,TEMPLATE,t,1.1672,1.347,0.089,4.661,22.645,3722.0,-0.02911,0.24960000000000002
0,3460,1472,3,56690.219464,30.469,-3.34,3.66,0.65,9,9,-1.081e-07,1.184e-07,,,ec0915.140202.280402_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,111,g,TEMPLATE,t,1.1669,1.564,0.186,3.928,23.64,841.0,-0.1081,0.1184
0,3460,1472,3,56703.182058,30.469,0.89,10.56,0.6,9,9,2.886e-08,3.414e-07,,,ec0915.140215.285236_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,116,g,TEMPLATE,t,1.1453,1.283,0.069,5.457,22.082,7789.0,0.028859999999999997,0.34140000000000004
0,3460,1472,3,56703.18767,30.469,3.44,10.94,0.95,9,9,1.112e-07,3.539e-07,,,ec0915.140215.285239_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,121,g,TEMPLATE,t,1.15,1.284,0.066,5.856,22.017,7681.0,0.11120000000000001,0.3539
0,3460,1472,3,56713.191333,30.469,-5.43,4.1,0.51,9,9,-1.757e-07,1.325e-07,,,ec0915.140225.288120_ooi_g_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,126,g,TEMPLATE,t,1.187,1.615,0.201,4.312,23.591,848.0,-0.1757,0.1325
0,3460,1472,3,56745.058036,30.469,-10.72,4.34,2.18,9,9,-3.467e-07,1.405e-07,,,ec0915.140329.296580_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,132,g,TEMPLATE,t,1.1212,1.622,0.183,3.58,23.723,837.0,-0.3467,0.14049999999999999
0,3460,1472,3,56814.020511,30.469,-4.47,4.73,1.48,9,9,-1.447e-07,1.529e-07,,,ec0915.140606.320231_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,144,g,TEMPLATE,t,1.1501,1.46,0.133,6.106,22.857,1450.0,-0.1447,0.1529
0,3460,1472,3,56835.042635,30.469,1.24,4.03,2.77,9,9,4.01e-08,1.304e-07,,,ec0915.140627.331077_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,151,g,TEMPLATE,t,1.0805,1.612,0.217,7.472,22.901,778.0,0.040100000000000004,0.13040000000000002
0,3460,1472,3,56836.973106,30.469,4.32,3.88,1.15,9,9,1.398e-07,1.256e-07,,,ec0915.140628.331929_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,156,g,TEMPLATE,t,1.1392,1.612,0.185,4.296,23.544,802.0,0.1398,0.12560000000000002
0,3460,1472,3,56854.989274,30.469,-4.79,4.02,2.68,9,9,-1.549e-07,1.302e-07,,,ec0915.140716.337821_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,164,g,TEMPLATE,t,1.0666,1.58,0.204,5.465,23.282,815.0,-0.15489999999999998,0.13019999999999998
0,3460,1472,3,56866.986669,30.469,19.68,4.16,1.27,9,9,6.366e-07,1.346e-07,24.39,0.229649,ec0915.140728.341669_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,169,g,TEMPLATE,t,1.0244,1.573,0.195,6.437,23.059,818.0,0.6365999999999999,0.1346
