ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
0,3460,1472,3,56341.21111,30.15,21.97,5.82,2.46,9,0,9.535e-07,2.526e-07,23.952,0.287678,ec0915.130218.178843_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,7,i,TEMPLATE,t,1.0887,1.315,0.098,3.788,23.178,1144.0,0.9534999999999999,0.25260000000000005
0,3460,1472,3,56341.216066,30.15,28.15,5.8,0.87,9,0,1.222e-06,2.518e-07,23.683,0.223816,ec0915.130218.178844_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,9,i,TEMPLATE,t,1.0911,1.276,0.07,4.188,23.108,1127.0,1.222,0.2518
0,3460,1472,3,56341.219,30.15,29.27,5.1,1.71,9,0,1.27e-06,2.214e-07,23.64,0.189236,ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,11,i,TEMPLATE,t,1.0904,1.257,0.062,4.034,23.125,1142.0,1.27,0.2214
0,3460,1472,3,56343.220957,30.15,33.94,6.22,2.19,9,0,1.473e-06,2.698e-07,23.48,0.19891,ec0915.130220.179486_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,23,i,TEMPLATE,t,1.1051,1.274,0.078,4.009,23.064,1322.0,1.4729999999999999,0.2698
0,3460,1472,3,56343.222439,30.15,37.11,5.77,2.66,9,0,1.611e-06,2.505e-07,23.383,0.168848,ec0915.130220.179487_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,25,i,TEMPLATE,t,1.1025,1.258,0.064,4.075,23.029,1343.0,1.611,0.2505
0,3460,1472,3,56360.212694,30.15,43.28,5.35,1.67,9,0,1.878e-06,2.322e-07,23.216,0.134207,ec0915.130309.184934_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,29,i,TEMPLATE,t,1.0808,1.472,0.124,3.408,23.354,1032.0,1.8780000000000001,0.2322
0,3460,1472,3,56402.978833,30.15,29.84,11.15,1.72,9,0,1.295e-06,4.841e-07,,,ec0915.130420.199841_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,31,i,TEMPLATE,t,0.8679,1.175,0.081,4.0,22.268,3657.0,1.2950000000000002,0.4841
0,3460,1472,3,56402.980332,30.15,26.79,9.5,0.59,9,0,1.163e-06,4.121e-07,,,ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,33,i,TEMPLATE,t,0.8914,1.264,0.088,3.703,22.463,3208.0,1.1629999999999998,0.41209999999999997
0,3460,1472,3,56416.961472,30.15,35.82,7.3,0.93,9,0,1.554e-06,3.169e-07,23.421,0.221369,ec0915.130504.203991_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,35,i,TEMPLATE,t,1.0866,1.371,0.061,4.91,22.467,2464.0,1.554,0.31689999999999996
0,3460,1472,3,56416.962981,30.15,28.94,7.3,1.84,9,0,1.256e-06,3.166e-07,23.653,0.273715,ec0915.130504.203992_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,37,i,TEMPLATE,t,1.0854,1.18,0.048,5.648,22.341,2472.0,1.256,0.3166
0,3460,1472,3,56418.975542,30.15,24.95,6.92,0.3,9,0,1.083e-06,3.002e-07,23.814,0.300995,ec0915.130506.204628_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,42,i,TEMPLATE,t,1.0858,1.094,0.062,4.477,22.703,2036.0,1.083,0.3002
0,3460,1472,3,56487.986817,30.15,3.91,6.43,1.76,9,0,1.698e-07,2.792e-07,,,ec0915.130714.218756_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,48,i,TEMPLATE,t,1.067,1.219,0.06,4.218,22.758,1788.0,0.1698,0.2792
0,3460,1472,3,56488.986801,30.15,-0.13,7.36,0.83,9,0,-5.501e-09,3.195e-07,,,ec0915.130715.219200_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,54,i,TEMPLATE,t,1.0788,1.257,0.086,3.539,22.908,1898.0,-0.005501,0.3195
0,3460,1472,3,56489.01172,30.15,4.03,6.3,1.96,9,0,1.751e-07,2.732e-07,,,ec0915.130716.219212_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,60,i,TEMPLATE,t,1.0707,1.231,0.073,3.632,22.85,1875.0,0.1751,0.2732
0,3460,1472,3,56612.294949,30.15,-19.36,7.67,1.08,9,0,-8.4e-07,3.328e-07,,,ec0915.131116.254777_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,63,i,TEMPLATE,t,1.0711,1.276,0.054,5.351,22.272,2929.0,-0.84,0.33280000000000004
0,3460,1472,3,56612.305456,30.15,-1.3,7.78,1.16,9,0,-5.643e-08,3.375e-07,,,ec0915.131116.254782_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,68,i,TEMPLATE,t,1.0752,1.281,0.057,5.465,22.302,2775.0,-0.05643,0.3375
0,3460,1472,3,56668.209974,30.15,1.65,5.71,0.78,9,0,7.166e-08,2.477e-07,,,ec0915.140111.273123_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,74,i,TEMPLATE,t,1.1056,1.385,0.078,4.036,22.952,1534.0,0.07165999999999999,0.24769999999999998
0,3460,1472,3,56668.218307,30.15,-4.69,5.97,0.9,9,0,-2.033e-07,2.589e-07,,,ec0915.140111.273127_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,80,i,TEMPLATE,t,1.1096,1.395,0.09,4.101,22.91,1448.0,-0.2033,0.2589
