ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
0,3460,1472,3,56255.308881,30.236,165.6,7.38,0.86,9,0,6.639e-06,2.958e-07,21.845,0.048368,ec0915.121124.155041_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,5,r,TEMPLATE,t,1.0071,1.472,0.171,3.801,23.073,1522.0,6.639,0.2958
0,3460,1472,3,56341.294876,30.236,176.18,6.1,0.34,9,0,7.063e-06,2.444e-07,21.778,0.037568,ec0915.130218.178888_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,21,r,TEMPLATE,t,1.0603,1.495,0.201,4.05,23.064,1463.0,7.063,0.24439999999999998
0,3460,1472,3,56488.985316,30.236,155.34,7.64,0.97,9,0,6.228e-06,3.065e-07,21.914,0.053426,ec0915.130715.219199_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,52,r,TEMPLATE,t,1.0379,1.525,0.247,3.708,22.936,1835.0,6.228000000000001,0.3065
0,3460,1472,3,56489.010229,30.236,139.99,6.9,1.09,9,0,5.613e-06,2.766e-07,22.027,0.053513,ec0915.130716.219211_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,58,r,TEMPLATE,t,1.0247,1.472,0.211,3.821,22.909,1840.0,5.613,0.27659999999999996
0,3460,1472,3,56612.303937,30.236,147.74,9.23,1.0,9,0,5.923e-06,3.702e-07,21.969,0.067852,ec0915.131116.254781_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,66,r,TEMPLATE,t,1.0162,1.484,0.154,5.577,22.256,3289.0,5.923,0.37020000000000003
0,3460,1472,3,56703.184694,30.236,154.84,9.83,0.94,9,0,6.208e-06,3.94e-07,21.918,0.068916,ec0915.140215.285237_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,118,r,TEMPLATE,t,0.9816,1.413,0.126,5.263,22.201,3907.0,6.207999999999999,0.394
0,3460,1472,3,56703.190316,30.236,124.14,9.12,1.48,9,0,4.977e-06,3.656e-07,22.158,0.079745,ec0915.140215.285240_ooi_r_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,123,r,TEMPLATE,t,0.9933,1.409,0.098,5.266,22.22,3795.0,4.977,0.3656
0,3460,1472,3,56852.005984,30.236,142.29,11.27,0.77,9,0,5.705e-06,4.518e-07,22.01,0.085993,ec0915.140714.336064_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,160,r,TEMPLATE,t,0.8798,1.315,0.108,5.359,22.233,2925.0,5.704999999999999,0.45180000000000003
0,3460,1472,3,56998.343496,30.236,153.62,9.84,1.06,9,0,6.159e-06,3.945e-07,21.926,0.069545,ec0915.141207.384694_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,177,r,TEMPLATE,t,1.0147,1.495,0.154,4.523,22.543,2540.0,6.159,0.3945
0,3460,1472,3,57053.237528,30.236,183.37,8.31,1.97,9,0,7.352e-06,3.333e-07,21.734,0.049229,ec0915.150131.404891_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,193,r,TEMPLATE,t,1.0019,1.831,0.271,3.403,23.08,1513.0,7.352,0.3333
0,3460,1472,3,57056.25738,30.236,149.77,9.25,1.93,9,0,6.005e-06,3.709e-07,21.954,0.067067,ec0915.150203.405990_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,199,r,TEMPLATE,t,0.9718,1.363,0.165,3.473,22.622,2699.0,6.005,0.3709
0,3460,1472,3,57056.265651,30.236,144.57,9.23,2.03,9,0,5.796e-06,3.701e-07,21.992,0.069334,ec0915.150203.405994_ooi_r_ls9_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,205,r,TEMPLATE,t,0.973,1.409,0.186,3.692,22.597,2632.0,5.796,0.3701
0,3460,1472,3,57090.189029,30.236,163.5,10.31,0.7,9,0,6.555e-06,4.132e-07,21.859,0.068446,ec0915.150309.419767_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,224,r,TEMPLATE,t,0.9716,1.362,0.244,3.103,22.909,2398.0,6.555,0.4132
0,3460,1472,3,57198.957095,30.236,143.78,10.0,0.93,9,0,5.764e-06,4.007e-07,21.998,0.075483,ec0915.150625.453950_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,257,r,TEMPLATE,t,0.9621,1.065,0.117,4.828,22.323,2652.0,5.764,0.4007
0,3460,1472,3,57198.962738,30.236,132.87,8.1,1.07,9,0,5.327e-06,3.245e-07,22.084,0.06615,ec0915.150625.453953_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,261,r,TEMPLATE,t,0.9604,1.262,0.13,5.309,22.369,2091.0,5.327,0.32449999999999996
