mjd,mJyas2,mJyas2_err,phase,4model_flag
56255.304405,9.573062556493138,0.6072911931799605,-1174.6955949999974,True
56255.3059,9.87873766092665,0.6475691180746725,-1174.6941000000006,True
56256.304405,11.234401197008136,0.9529495011960938,-1173.6955949999974,True
56256.3059,9.995470878736075,0.9951748567375118,-1173.6941000000006,True
56257.304405,10.803958077553402,2.3099608654160986,-1172.6955949999974,True
56257.3059,11.211731120299227,2.413880865229439,-1172.6941000000006,True
56258.304405,6.3907377594095705,1.6257741815936215,-1171.6955949999974,True
56258.3059,7.538481130149631,1.7251357412964086,-1171.6941000000006,True
56258.3059,-17.515964530925196,10.881075267911326,-1171.6941000000006,True
56259.304405,9.791923450552805,0.853054542160811,-1170.6955949999974,True
56259.3059,8.381827404076354,0.9103990111231585,-1170.6941000000006,True
56260.304405,10.037816864500856,0.4553199102710063,-1169.6955949999974,True
56260.3059,10.586238088370461,0.4797205090004099,-1169.6941000000006,True
56261.304405,9.245314788039234,0.8039389724352383,-1168.6955949999974,True
56261.3059,9.411625510384438,0.8226255704515533,-1168.6941000000006,True
56262.304405,10.31472633219828,1.402289319236862,-1167.6955949999974,True
56262.3059,9.61758219766476,1.4282576399634703,-1167.6941000000006,True
56263.304405,10.551572263821216,1.0854877109297965,-1166.6955949999974,True
56263.3059,9.257923229148949,1.111245046443385,-1166.6941000000006,True
56264.304405,8.775691323627415,0.47865858206624784,-1165.6955949999974,True
56264.3059,8.682136218362281,0.47474117167593577,-1165.6941000000006,True
56265.304405,9.388775811347225,0.7433501461904957,-1164.6955949999974,True
56265.3059,10.942033611787526,0.7205411125297209,-1164.6941000000006,True
56266.304405,11.08341033839364,0.8754294474415658,-1163.6955949999974,True
56266.3059,7.860314805457338,0.8299744569013306,-1163.6941000000006,True
56267.304405,10.466721635958725,0.8459617727295743,-1162.6955949999974,True
56267.3059,10.773024901838093,0.8177238276036914,-1162.6941000000006,True
56268.304405,9.261057281806082,0.7360363172246239,-1161.6955949999974,True
56268.3059,9.519247276220758,0.7010385119448257,-1161.6941000000006,True
56269.304405,8.900132952283188,0.7009854884804075,-1160.6955949999974,True
56269.3059,8.566534802876193,0.6536900820287175,-1160.6941000000006,True
56270.304405,11.488370724791723,0.7608564731928338,-1159.6955949999974,True
56270.3059,11.056788071801202,0.7039406378874496,-1159.6941000000006,True
56271.304405,11.05382553166594,0.7293273340200466,-1158.6955949999974,True
56271.3059,10.939515949512689,0.685535494096547,-1158.6941000000006,True
56272.3059,9.245492898868534,0.707372690064538,-1157.6941000000006,True
56273.304405,10.208036180416471,0.6111067237712513,-1156.6955949999974,True
56273.3059,9.004740670851879,0.5827298168043874,-1156.6941000000006,True
56274.304405,9.34902936723114,0.5113786146112942,-1155.6955949999974,True
56274.3059,10.203719202063597,0.4898493202885912,-1155.6941000000006,True
56275.304405,10.959745827476983,0.5371889148708873,-1154.6955949999974,True
56275.3059,11.047809584013194,0.5191126701081914,-1154.6941000000006,True
56276.304405,11.33270961062175,0.5987860679025055,-1153.6955949999974,True
56276.3059,10.917455573805798,0.5910961783318398,-1153.6941000000006,True
56277.304405,9.149694920521336,0.3926670521880318,-1152.6955949999974,True
56277.3059,9.607101458597041,0.3974489460320078,-1152.6941000000006,True
56278.304405,9.49183253126665,0.34378705956384875,-1151.6955949999974,True
56278.3059,9.89361148602835,0.3456378647297376,-1151.6941000000006,True
56279.304405,9.334702799397075,0.3190803721721582,-1150.6955949999974,True
56279.3059,9.14073296828938,0.3244838174673011,-1150.6941000000006,True
56280.304405,10.765142121679643,0.6368874010552278,-1149.6955949999974,True
56280.3059,11.904968383091974,0.6660921143311289,-1149.6941000000006,True
56281.304405,9.70398926616373,0.33563136718777636,-1148.6955949999974,True
56281.3059,9.434703634350281,0.3479638685867691,-1148.6941000000006,True
56282.304405,10.24858646799266,0.4989666990653203,-1147.6955949999974,True
56282.3059,8.936267727944111,0.51985156545022,-1147.6941000000006,True
56283.304405,10.661184092773468,1.4492866288099515,-1146.6955949999974,True
56283.3059,8.246666806605,1.4788198056395772,-1146.6941000000006,True
56285.304405,4.8042020337321345,0.4536712336027781,-1144.6955949999974,True
56285.3059,4.882667184198024,0.42347403933257227,-1144.6941000000006,True
