ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
0,3460,1472,3,56255.3074,30.275,25.72,7.54,0.73,9,0,9.943e-07,2.915e-07,23.906,0.318332,ec0915.121124.155040_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,2,r,TEMPLATE,t,0.9965,1.261,0.102,3.849,23.087,1478.0,0.9943,0.2915,155040
0,3460,1472,3,56255.308881,30.275,19.34,7.94,1.0,9,0,7.479e-07,3.068e-07,,,ec0915.121124.155041_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,3,r,TEMPLATE,t,0.9979,1.254,0.099,3.801,23.073,1521.0,0.7479,0.3068,155041
0,3460,1472,3,56341.293398,30.275,25.23,6.67,0.97,9,0,9.755e-07,2.579e-07,23.927,0.287002,ec0915.130218.178887_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,12,r,TEMPLATE,t,1.0541,1.267,0.104,4.142,23.057,1428.0,0.9755,0.2579,178887
0,3460,1472,3,56341.294876,30.275,28.08,6.26,0.43,9,0,1.086e-06,2.421e-07,23.811,0.242129,ec0915.130218.178888_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,13,r,TEMPLATE,t,1.0543,1.275,0.113,4.05,23.064,1462.0,1.086,0.24209999999999998,178888
0,3460,1472,3,56418.974052,30.275,13.74,6.31,0.74,9,0,5.312e-07,2.438e-07,,,ec0915.130506.204627_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,24,r,TEMPLATE,t,1.0177,1.523,0.24,4.666,22.956,1418.0,0.5312,0.2438,204627
0,3460,1472,3,56487.98529,30.275,0.57,7.2,0.8,9,0,2.206e-08,2.782e-07,,,ec0915.130714.218755_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,28,r,TEMPLATE,t,1.0355,1.188,0.076,4.322,22.84,1837.0,0.02206,0.2782,218755
0,3460,1472,3,56488.985316,30.275,13.45,7.04,0.72,9,0,5.198e-07,2.723e-07,,,ec0915.130715.219199_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,32,r,TEMPLATE,t,1.0355,1.192,0.086,3.707,22.936,1835.0,0.5197999999999999,0.27230000000000004,219199
0,3460,1472,3,56489.010229,30.275,-3.47,6.41,0.49,9,0,-1.341e-07,2.477e-07,,,ec0915.130716.219211_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,36,r,TEMPLATE,t,1.0254,1.226,0.109,3.821,22.903,1840.0,-0.1341,0.24769999999999998,219211
0,3460,1472,3,56612.303937,30.275,-12.23,10.0,0.61,9,0,-4.73e-07,3.867e-07,,,ec0915.131116.254781_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,41,r,TEMPLATE,t,1.0088,1.349,0.088,5.577,22.256,3284.0,-0.47300000000000003,0.3867,254781
0,3460,1472,3,56668.208489,30.275,-2.6,7.62,1.75,9,0,-1.005e-07,2.946e-07,,,ec0915.140111.273122_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,45,r,TEMPLATE,t,1.0347,1.684,0.219,4.091,23.013,1573.0,-0.1005,0.29460000000000003,273122
0,3460,1472,3,56668.216806,30.275,-6.31,6.87,0.8,9,0,-2.439e-07,2.654e-07,,,ec0915.140111.273126_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,49,r,TEMPLATE,t,1.0388,1.68,0.191,4.437,22.891,1507.0,-0.2439,0.26539999999999997,273126
0,3460,1472,3,56676.356367,30.275,-4.29,8.86,0.51,9,0,-1.658e-07,3.425e-07,,,ec0915.140119.275866_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,65,r,TEMPLATE,t,1.0058,1.499,0.152,3.974,22.815,2248.0,-0.1658,0.3425,275866
0,3460,1472,3,56690.222125,30.275,-4.27,7.04,1.04,9,0,-1.652e-07,2.722e-07,,,ec0915.140202.280403_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,68,r,TEMPLATE,t,0.9994,1.664,0.306,3.635,23.311,1089.0,-0.16519999999999999,0.2722,280403
0,3460,1472,3,56703.184694,30.275,8.52,9.74,0.85,9,0,3.294e-07,3.767e-07,,,ec0915.140215.285237_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,71,r,TEMPLATE,t,0.9754,1.343,0.099,5.263,22.201,3908.0,0.3294,0.3767,285237
0,3460,1472,3,56703.190316,30.275,-14.95,9.36,1.28,9,0,-5.781e-07,3.618e-07,,,ec0915.140215.285240_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,74,r,TEMPLATE,t,0.9836,1.359,0.104,5.266,22.22,3794.0,-0.5781000000000001,0.3618,285240
0,3460,1472,3,56713.193999,30.275,-6.8,6.6,0.38,9,0,-2.627e-07,2.551e-07,,,ec0915.140225.288121_ooi_r_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,77,r,TEMPLATE,t,1.013,1.726,0.331,3.947,23.238,1100.0,-0.2627,0.2551,288121
0,3460,1472,3,56745.060695,30.275,-0.91,7.89,0.46,9,2,-3.5e-08,3.051e-07,,,ec0915.140329.296581_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,81,r,TEMPLATE,t,0.9711,1.479,0.245,3.085,23.373,1260.0,-0.035,0.3051,296581
0,3460,1472,3,56814.103311,30.275,17.31,6.52,1.72,9,0,6.692e-07,2.52e-07,,,ec0915.140606.320274_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,90,r,TEMPLATE,t,0.9795,1.588,0.197,5.988,22.532,1440.0,0.6692,0.252,320274
0,3460,1472,3,56835.053813,30.275,12.53,6.83,0.92,9,0,4.844e-07,2.641e-07,,,ec0915.140627.331082_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,94,r,TEMPLATE,t,0.9662,1.71,0.274,5.494,22.757,1245.0,0.4844,0.2641,331082
0,3460,1472,3,56852.005984,30.275,13.19,10.41,0.79,9,0,5.099e-07,4.023e-07,,,ec0915.140714.336064_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,98,r,TEMPLATE,t,0.8837,1.21,0.059,5.359,22.238,2918.0,0.5099,0.4023,336064
0,3460,1472,3,56866.976626,30.275,11.54,7.67,0.7,9,0,4.461e-07,2.965e-07,,,ec0915.140728.341664_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,103,r,TEMPLATE,t,0.9273,1.568,0.221,5.82,22.669,1265.0,0.4461,0.2965,341664
0,3460,1472,3,56998.343496,30.275,20.68,9.17,1.37,9,0,7.993e-07,3.546e-07,,,ec0915.141207.384694_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,109,r,TEMPLATE,t,1.0103,1.474,0.154,4.523,22.543,2539.0,0.7993,0.3546,384694
0,3460,1472,3,57050.239138,30.275,3.26,7.67,0.62,9,0,1.259e-07,2.967e-07,,,ec0915.150128.403909_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,116,r,TEMPLATE,t,0.9367,1.423,0.32,3.742,22.966,1387.0,0.1259,0.2967,403909
0,3460,1472,3,57053.237528,30.275,44.94,7.9,1.56,9,2,1.737e-06,3.056e-07,23.3,0.19096,ec0915.150131.404891_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,120,r,TEMPLATE,t,0.9943,1.617,0.196,3.403,23.08,1513.0,1.737,0.3056,404891
0,3460,1472,3,57056.25738,30.275,14.0,8.75,1.8,9,0,5.413e-07,3.382e-07,,,ec0915.150203.405990_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,124,r,TEMPLATE,t,0.9735,1.247,0.131,3.473,22.622,2698.0,0.5413,0.3382,405990
0,3460,1472,3,57056.265651,30.275,9.87,8.84,1.88,9,0,3.816e-07,3.417e-07,,,ec0915.150203.405994_ooi_r_ls9_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,128,r,TEMPLATE,t,0.9738,1.216,0.115,3.692,22.597,2631.0,0.3816,0.3417,405994
0,3460,1472,3,57083.230787,30.275,21.51,7.7,0.63,9,0,8.314e-07,2.975e-07,,,ec0915.150302.417213_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,133,r,TEMPLATE,t,0.9601,1.554,0.183,4.29,22.699,1631.0,0.8314,0.2975,417213
0,3460,1472,3,57090.189029,30.275,-3.01,9.6,0.7,9,2,-1.164e-07,3.712e-07,,,ec0915.150309.419767_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,141,r,TEMPLATE,t,0.9533,1.119,0.152,3.103,22.909,2398.0,-0.1164,0.3712,419767
0,3460,1472,3,57139.007316,30.275,14.39,9.11,0.81,9,0,5.565e-07,3.522e-07,,,ec0915.150427.437745_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,150,r,TEMPLATE,t,0.9554,1.041,0.128,6.067,22.304,2038.0,0.5565,0.3522,437745
0,3460,1472,3,57198.957095,30.275,12.42,9.31,1.06,9,0,4.802e-07,3.599e-07,,,ec0915.150625.453950_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,162,r,TEMPLATE,t,0.9591,0.998,0.106,4.828,22.323,2653.0,0.48019999999999996,0.3599,453950
0,3460,1472,3,57198.962738,30.275,1.22,7.8,0.59,9,0,4.722e-08,3.015e-07,,,ec0915.150625.453953_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,165,r,TEMPLATE,t,0.9587,1.101,0.095,5.309,22.369,2091.0,0.047220000000000005,0.3015,453953
0,3460,1472,3,57199.002336,30.275,-8.5,8.75,0.39,9,0,-3.285e-07,3.382e-07,,,ec0915.150626.453974_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,168,r,TEMPLATE,t,0.9536,0.945,0.099,5.025,22.357,2534.0,-0.3285,0.3382,453974
0,3460,1472,3,57387.337417,30.275,1.45,8.14,1.02,9,2,5.621e-08,3.147e-07,,,ec0915.151231.507218_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,174,r,TEMPLATE,t,0.9772,1.09,0.15,3.359,22.924,1913.0,0.056209999999999996,0.3147,507218
0,3460,1472,3,57388.331676,30.275,3.03,7.48,1.97,9,0,1.173e-07,2.891e-07,,,ec0915.160101.507559_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,178,r,TEMPLATE,t,0.9821,1.144,0.162,3.604,22.939,1650.0,0.1173,0.2891,507559
0,3460,1472,3,57545.097186,30.275,-3.35,7.26,0.39,9,0,-1.294e-07,2.808e-07,,,ec0915.160606.546815_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,199,r,TEMPLATE,t,0.9857,0.894,0.13,7.481,22.155,1668.0,-0.12940000000000002,0.28080000000000005,546815
0,3460,1472,3,57545.101308,30.275,-21.32,7.47,1.03,9,0,-8.242e-07,2.889e-07,,,ec0915.160606.546817_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,201,r,TEMPLATE,t,0.7749,1.182,0.145,6.992,22.166,1129.0,-0.8241999999999999,0.2889,546817
0,3460,1472,3,57545.102798,30.275,-10.17,7.9,0.75,9,0,-3.931e-07,3.053e-07,,,ec0915.160606.546818_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,202,r,TEMPLATE,t,0.7066,1.115,0.106,8.035,21.968,1062.0,-0.3931,0.3053,546818
0,3460,1472,3,57566.037228,30.275,-9.02,8.26,0.28,9,0,-3.488e-07,3.194e-07,,,ec0915.160627.549000_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,208,r,TEMPLATE,t,0.9059,1.047,0.149,4.828,22.574,1680.0,-0.3488,0.3194,549000
0,3460,1472,3,57778.252702,30.275,-25.05,6.19,0.56,9,0,-9.686e-07,2.392e-07,,,ec0915.170125.612774_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,222,r,TEMPLATE,t,0.8908,1.519,0.268,4.73,22.895,916.0,-0.9685999999999999,0.23920000000000002,612774
0,3460,1472,3,57778.256835,30.275,-14.36,6.93,1.65,9,0,-5.552e-07,2.68e-07,,,ec0915.170125.612776_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,225,r,TEMPLATE,t,0.8897,1.21,0.214,4.09,22.945,1070.0,-0.5552,0.268,612776
0,3460,1472,3,57782.268868,30.275,-31.03,7.4,0.86,9,0,-1.199e-06,2.861e-07,,,ec0915.170129.614187_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,227,r,TEMPLATE,t,0.9271,1.192,0.189,3.598,23.023,1308.0,-1.199,0.2861,614187
0,3460,1472,3,57782.272997,30.275,-20.25,6.49,1.01,9,0,-7.829e-07,2.508e-07,,,ec0915.170129.614189_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits,0x0000,229,r,TEMPLATE,t,0.9285,1.171,0.183,3.979,22.945,1239.0,-0.7828999999999999,0.2508,614189
