                                                                                                                               fitsfile                                                                FITSNAME PHOTCODE       MJD-OBS SSSIG00 SSSCAT00 FSIG00 FSCAT00  X2NRM00                                                                                                TARGET                                                                                           TEMPLATE KSUM00     SKYSIG   DSGDNSIG                                                                                               IM_dcmp                                                                                          TMPL_dcmp    IM_FWHM IM_M5SIGMA IM_EXPTIME IM_MAGZERO IM_ZPTMAG IM_UFZPTMAG IM_ZPTNSTAR TMPL_FWHM TMPL_M5SIGMA TMPL_EXPTIME TMPL_MAGZERO TMPL_ZPTMAG TMPL_UFZPTMAG TMPL_ZPTNSTAR
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.231227.1262443_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits ec0915.231227.1262443_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  60305.257142  0.6477   0.0963 1.3806  0.2107  10.5368 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.231227.1262443_ooi_z_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 0.5386  24.699951       None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.231227.1262443_ooi_z_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp    7.48573    21.7495      100.0    30.1591   30.1591     30.1591        4439  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.220118.1073328_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits ec0915.220118.1073328_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015   59597.27236  0.8491   0.0760 1.1409  0.1108   6.6677 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.220118.1073328_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 1.0114  25.699951   1.896944 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.220118.1073328_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   3.293208    22.6147      100.0    30.1759   30.1759     30.1759        6377  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.240625.1305569_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits ec0915.240625.1305569_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014  60486.969729  0.5632   0.0818 1.7566  0.2951  34.5642 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.240625.1305569_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 1.0067  14.199951   3.705121 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.240625.1305569_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp   6.071448    22.7204      100.0    30.3016   30.3016     30.3016        3572  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.211114.1051152_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits ec0915.211114.1051152_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014  59532.333137  0.7260   0.1250 1.7309  0.3109   5.5315 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.211114.1051152_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 1.0153  15.199951   2.158311 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.211114.1051152_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp   3.915645    23.1344      100.0    30.3133   30.3133     30.3133        4628  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
    /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits     ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015     56341.219  0.6155   0.0369 1.2756  0.0696   4.4507     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.130218.178845_ooi_i_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 1.0905  14.600098   1.924919     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.130218.178845_ooi_i_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   4.034897    23.1255      100.0    30.2932   30.2932     30.2932        4552  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.170502.646137_ooi_z_vx_N22_160306.523733_ooi_z_v1_N22.diff.fits  ec0915.170502.646137_ooi_z_vx_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  57875.018706  0.7638   0.0525 1.1087  0.0817   1.6514  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170502.646137_ooi_z_vx_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 0.5031  39.100098    1.24246  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170502.646137_ooi_z_vx_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp   3.246668    22.1452      200.0    30.1465   30.1465     30.1465        7414  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.180124.715078_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits  ec0915.180124.715078_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits 0x365013  58142.344464  0.7780   0.0939 1.1651  0.1547  26.2833  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.180124.715078_ooi_g_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.fits 0.9883  13.300049   1.673209  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.180124.715078_ooi_g_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.dcmp   4.218041    23.3121      200.0    30.4268   30.4268     30.4268        3120  3.010413      24.0855        200.0      30.4687     30.4687       30.4687          3019
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.160606.547142_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits  ec0915.160606.547142_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  57545.965079  0.5457   0.0371 1.1390  0.0757   1.6394  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160606.547142_ooi_z_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 0.5751  24.899902   1.631962  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160606.547142_ooi_z_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp   4.454476    22.4643      100.0    30.3191   30.3191     30.3191        8605  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.240625.1305583_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits ec0915.240625.1305583_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  60486.991345  0.5501   0.0310 1.2716  0.0705   5.1755 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.240625.1305583_ooi_z_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 0.5759  22.800049   2.645937 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.240625.1305583_ooi_z_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp    5.07113    22.3962      100.0    30.2961   30.2961     30.2961        7818  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.160225.519764_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits  ec0915.160225.519764_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015  57443.173579  0.7679   0.0460 1.1873  0.0738   1.2971  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160225.519764_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 1.0040  21.300049   1.390707  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160225.519764_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   3.878553    22.5785      100.0    30.1134   30.1134     30.1134        6442  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.170701.657443_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits  ec0915.170701.657443_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014  57935.017948  0.6903   0.1123 1.2054  0.1956   7.7242  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170701.657443_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 0.9638  18.300049   1.371792  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170701.657443_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp   3.119315    23.0493      100.0    30.1828   30.1828     30.1828        4956  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.160804.559651_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits  ec0915.160804.559651_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015  57604.978412  0.6571   0.0453 1.2298  0.0835   2.2002  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160804.559651_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 1.0381  16.399902     1.6811  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160804.559651_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   4.006022    22.9396      100.0    30.2257   30.2257     30.2257        6145  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
